Run,Fitness1,Solution1,Fitness2,Solution2
1,132.0,d9834838533b1ed5b15db693be519b7d57ee0f74aec3719d26bfd25368ecd3ff,131.0,b433a5fd5593b119a0ffd98e40c5fb84ad91361d28d83a9dcdda4b9592147840
1,131.0,b433a5fd5593b119a0ffd98e40c5fb84ad91361d28d83a9dcdda4b9592147840,117.0,0124567e71852250633f1f294b007aad30bae52c3cd3099974e96d1ebac54ec1
1,117.0,0124567e71852250633f1f294b007aad30bae52c3cd3099974e96d1ebac54ec1,111.0,b9b33f2f8698e5e3289d20acfca21266508285dbc0f8b3d9cba9eb04cdba9a18
1,111.0,b9b33f2f8698e5e3289d20acfca21266508285dbc0f8b3d9cba9eb04cdba9a18,110.0,7e9bd131b4f560c2bc43f663e2375e7075ef90149d9e375bfe989498c5a50ac6
1,110.0,7e9bd131b4f560c2bc43f663e2375e7075ef90149d9e375bfe989498c5a50ac6,109.0,15ffedc8260b98e3b1364308aa1637d7d4ee2fdaf8c0789a00750e0049ac97a7
2,133.0,f8e1fe9622c73e14987ef971e823558c07647b7158f4e1ad3a872424bcf178a6,114.0,634ff1bcda8551878de6b4caf07d6554ad47e8a34493c3067487ea93418d6fe2
2,114.0,634ff1bcda8551878de6b4caf07d6554ad47e8a34493c3067487ea93418d6fe2,111.0,5d5b1e8921b3c5de27c75caf838bc36ad7ad7c0a435bb1ca558bacdfba4fd2e2
2,111.0,5d5b1e8921b3c5de27c75caf838bc36ad7ad7c0a435bb1ca558bacdfba4fd2e2,110.0,35d0f0dad489e8829ee737a3389c938bc64f32db991dbf974de410b4bde3b888
2,110.0,35d0f0dad489e8829ee737a3389c938bc64f32db991dbf974de410b4bde3b888,109.0,cd1b55ad051679b4a3ebcfa2f821acece9791fd47f182b240e078750d7854f08
3,132.0,a47bfe2ff7ba2e2c2d786613b06303cd48ece65d2877051b666ee757e6219fa5,116.0,a3931f9b82548ec91e35c093925d1bc2cac5c228813e94c11412f17811d98950
3,116.0,a3931f9b82548ec91e35c093925d1bc2cac5c228813e94c11412f17811d98950,112.0,cc28a3fb8ff8378784f58c75d8f91a195be6cdadb23b184fe204d4a9b7f6cbe9
3,112.0,cc28a3fb8ff8378784f58c75d8f91a195be6cdadb23b184fe204d4a9b7f6cbe9,110.0,b32adbfc4eb1a5621d370adeebd59ded5d6b51e9d11a096183fc6d346eedda27
3,110.0,b32adbfc4eb1a5621d370adeebd59ded5d6b51e9d11a096183fc6d346eedda27,109.0,813f9f92716d6b51bc68bd9dcac726228cb81bbdaa1e5ecd34f55e5468a34277
4,133.0,600ce8ab11ddd09d394d65a93671fc9ddff43c0b401f9ad927196191712d75ab,132.0,f76a4a786ff7abac80ea88b6c31bc71c073941efb7540fefdfa28343aef84e24
4,132.0,f76a4a786ff7abac80ea88b6c31bc71c073941efb7540fefdfa28343aef84e24,113.0,4201e0153d2bc74794c7592379455f46fc6f656727a5bdd17849ec5d1bd93945
4,113.0,4201e0153d2bc74794c7592379455f46fc6f656727a5bdd17849ec5d1bd93945,112.0,b27a42ff535b93c4e444d81f0a567bca33d78752247e22dbb7d360643b80a11a
4,112.0,b27a42ff535b93c4e444d81f0a567bca33d78752247e22dbb7d360643b80a11a,111.0,92ef20f9f4ad349e73787c3738c46216bdb0037ddf24443e32bee41090fb0785
4,111.0,92ef20f9f4ad349e73787c3738c46216bdb0037ddf24443e32bee41090fb0785,110.0,19aa05854cdd12412c8cc17a56977c1784db31f93f402f2f96dc0035127a4b54
4,110.0,19aa05854cdd12412c8cc17a56977c1784db31f93f402f2f96dc0035127a4b54,109.0,c1dfd930c609ff8cce20d8acbd4b6f3d791b8ab310e1553642eb40b1f7c3201c
5,136.0,5f1345eb8ad6cc01b30fafbf6930b98be14626e53bbaef38de4ebae2e2ec5bfa,133.0,7805083c7920c43022c78c4dd5c969d7f9a234d2a25184dcefc19d6840b24946
5,133.0,7805083c7920c43022c78c4dd5c969d7f9a234d2a25184dcefc19d6840b24946,132.0,dac69b884862f9ab8dbe089d90125bf19fb58960c20567600645cb95e01e07a6
