Run,Fitness1,Solution1,Fitness2,Solution2
1,136.0,612355c16b1adb65c357b814aba45ccf8608b94e2dbe4de75ffc217321ca61cb,132.0,30b4377c39f9d712685f3e1a8c8006373e6cd3525b52a39c0b6ede4176bc7135
1,132.0,30b4377c39f9d712685f3e1a8c8006373e6cd3525b52a39c0b6ede4176bc7135,122.0,37613e22aee10a5f1db2633cb48501a18da16de7be5f0bc1497f26e331caafbc
1,122.0,37613e22aee10a5f1db2633cb48501a18da16de7be5f0bc1497f26e331caafbc,123.0,57cd491bb12a252a16fe25d230689fb87b5f5e9e016c79223213bd00a8120b21
1,123.0,57cd491bb12a252a16fe25d230689fb87b5f5e9e016c79223213bd00a8120b21,122.0,37613e22aee10a5f1db2633cb48501a18da16de7be5f0bc1497f26e331caafbc
1,122.0,37613e22aee10a5f1db2633cb48501a18da16de7be5f0bc1497f26e331caafbc,120.0,0fed8dd5bdd5a04f259ad95e63a0d8a069f72db3bd975520d9af5dff257be1a2
1,120.0,0fed8dd5bdd5a04f259ad95e63a0d8a069f72db3bd975520d9af5dff257be1a2,119.0,0ff36296d27482f0e01e27f889dee0d8d1a6411580aec437bd81ccb7e97f5add
1,119.0,0ff36296d27482f0e01e27f889dee0d8d1a6411580aec437bd81ccb7e97f5add,118.0,97f91c98abf2e6a8cf7b07357c1c3f0cd911cd27c7087cdd64635d603ece07a3
1,118.0,97f91c98abf2e6a8cf7b07357c1c3f0cd911cd27c7087cdd64635d603ece07a3,115.0,57eb548dc8ae287e152d9058155a595e7e29d5d95ca68fbb91f29d50e508efca
1,115.0,57eb548dc8ae287e152d9058155a595e7e29d5d95ca68fbb91f29d50e508efca,113.0,64493bada5a90fbd879c88002e239afe4ab9411ef9604082d047b00f1dac8b54
1,113.0,64493bada5a90fbd879c88002e239afe4ab9411ef9604082d047b00f1dac8b54,115.0,f35975af1a8560b16442ab232d06d5f8d401ea42066da0eca67b9771906e22ec
1,115.0,f35975af1a8560b16442ab232d06d5f8d401ea42066da0eca67b9771906e22ec,113.0,64493bada5a90fbd879c88002e239afe4ab9411ef9604082d047b00f1dac8b54
1,113.0,64493bada5a90fbd879c88002e239afe4ab9411ef9604082d047b00f1dac8b54,112.0,df2343176e69c78fb836ae656c0567333599547b2e07cbb782e789a6624fbf99
2,133.0,2ece0d60dbb2d51fd1b4e16f0b95c60a97a0793ff1161025a6293227f073453d,131.0,61a90dfd93b6377c03263e586b93910f1123f9f7962929ed73398326c72c6f49
2,131.0,61a90dfd93b6377c03263e586b93910f1123f9f7962929ed73398326c72c6f49,125.0,8678925dc2d57acba5ea1e107e796d44e2144e5c1ad8720f284c7b86b631a655
2,125.0,8678925dc2d57acba5ea1e107e796d44e2144e5c1ad8720f284c7b86b631a655,123.0,654cd723060544d23770b5b6c3f474b0aa164c2303f1ec56f2a946277f24a4d5
2,123.0,654cd723060544d23770b5b6c3f474b0aa164c2303f1ec56f2a946277f24a4d5,121.0,4edbf471272564daa19db7bba3ae008312d3a742186596e54a52530156c56b03
2,121.0,4edbf471272564daa19db7bba3ae008312d3a742186596e54a52530156c56b03,120.0,1f1ab4068ac95ae664a77f83da2d845f668fe1142fea7605630bfc462c0aa692
2,120.0,1f1ab4068ac95ae664a77f83da2d845f668fe1142fea7605630bfc462c0aa692,118.0,806452f7d003c9d2375bca53e9d4f256aee8bf5c0f7e52455359880dd8c450ad
2,118.0,806452f7d003c9d2375bca53e9d4f256aee8bf5c0f7e52455359880dd8c450ad,117.0,1c11f8ef19c7ecd68f42e6aa83300c0562dfb1dbce57129bc1768b76558c1151
2,117.0,1c11f8ef19c7ecd68f42e6aa83300c0562dfb1dbce57129bc1768b76558c1151,115.0,fb47f2bb7a7ff3990ff149e685fd45b29a4aee43f6aa04b2822b71830bac84c3
2,115.0,fb47f2bb7a7ff3990ff149e685fd45b29a4aee43f6aa04b2822b71830bac84c3,114.0,dc00941997f3b66d9de36f51a6093aaf63771911ac6d7a8dac031317c09bc5f4
2,114.0,dc00941997f3b66d9de36f51a6093aaf63771911ac6d7a8dac031317c09bc5f4,111.0,7d73a7e8d5f9039b01084d3461f0188585ed323e80f8900dbf18d08e7f9753bb
2,111.0,7d73a7e8d5f9039b01084d3461f0188585ed323e80f8900dbf18d08e7f9753bb,112.0,71ee911fbc98b9e5ec384b47b65d7bce7e168b94d973db2ac4f6184b6114fc37
2,112.0,71ee911fbc98b9e5ec384b47b65d7bce7e168b94d973db2ac4f6184b6114fc37,111.0,a65acb7311da626e951d5196e062a056b7c0261b5532b34dc094615b21c981f6
3,203.0,179b1a3e9e319cff0ca6671e07a62dad7d087b0f2a89eef0202612c3cb46baf9,195.0,9d6e32f3fb6610b1d88da27f8e5f0575ab246769f4992fd708b77d8a9908ce65
3,195.0,9d6e32f3fb6610b1d88da27f8e5f0575ab246769f4992fd708b77d8a9908ce65,196.0,2a5daa9a787f9c86631a40139ccc8dc75fb16fc9fe873974aa5e4c0901ade268
3,196.0,2a5daa9a787f9c86631a40139ccc8dc75fb16fc9fe873974aa5e4c0901ade268,134.0,d68be09ec73a8ab4bfb0542f570f69a056c4b2f96d8f4a4ffa0dbb9dbb2c8cbd
3,134.0,d68be09ec73a8ab4bfb0542f570f69a056c4b2f96d8f4a4ffa0dbb9dbb2c8cbd,120.0,742493fba922f2544425db7cf921a366fafce3544c64d8cf682267dcac429fe4
3,120.0,742493fba922f2544425db7cf921a366fafce3544c64d8cf682267dcac429fe4,119.0,1e29c9e9ceb6768be103cdd5ac036d7f2f64957155329fd0a15afd9bb97b26c5
3,119.0,1e29c9e9ceb6768be103cdd5ac036d7f2f64957155329fd0a15afd9bb97b26c5,118.0,0933c2586d9d3d880d3fc0121a8256d0b18c2a545ccd4a6639e67d6eef763c34
3,118.0,0933c2586d9d3d880d3fc0121a8256d0b18c2a545ccd4a6639e67d6eef763c34,116.0,4c6530d0ed635494a3f0bf0a92a72241089517bebb4139f38431fdc3f7668b9e
3,116.0,4c6530d0ed635494a3f0bf0a92a72241089517bebb4139f38431fdc3f7668b9e,115.0,240a41ace4129cbb42fd32e40a936151cafa49a38709695e8df2abce124f6c44
3,115.0,240a41ace4129cbb42fd32e40a936151cafa49a38709695e8df2abce124f6c44,114.0,6c481b2a1be15c49a03b60756aa38f7950ee8e374f59c0bc5306692f6f741075
3,114.0,6c481b2a1be15c49a03b60756aa38f7950ee8e374f59c0bc5306692f6f741075,113.0,e0f83b7e429ab9653f932de2f80b506cc1c196666f195631b45d6784ad3e147c
3,113.0,e0f83b7e429ab9653f932de2f80b506cc1c196666f195631b45d6784ad3e147c,112.0,df2343176e69c78fb836ae656c0567333599547b2e07cbb782e789a6624fbf99
4,202.0,72e00f9d45a963ff9ca8f167f2a215da588a1fe8b3537182c39ad893e683896b,115.0,9587ae09ee0ff22f25b135f75f8b4809404ede503c514094be0fe91985eabbca
4,115.0,9587ae09ee0ff22f25b135f75f8b4809404ede503c514094be0fe91985eabbca,132.0,b84070c7e46d6d704a03ea0f3ca11aaea8ce6be669c05d65e459af844c00e2a9
4,132.0,b84070c7e46d6d704a03ea0f3ca11aaea8ce6be669c05d65e459af844c00e2a9,130.0,ed22f698de2bf2571e4ad94619212491fa29ce937cfcea3abd5485677a752d50
