Run,Fitness1,Solution1,Fitness2,Solution2
1,129.0,c1d17b87a5a3905071d821268e78cd9f8b4741d3162de825054ef9d0543b5116,126.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47
1,126.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47,111.0,72b209306c1a1031b9b3dbec63cf58b0beabbf3e3f0a40c63ef5df093b62dfb8
1,111.0,72b209306c1a1031b9b3dbec63cf58b0beabbf3e3f0a40c63ef5df093b62dfb8,127.0,8566ee8cc961a20f2f00208063764cfc75082eff5b90f989b36e4da08f935e2a
1,127.0,8566ee8cc961a20f2f00208063764cfc75082eff5b90f989b36e4da08f935e2a,126.0,13068ca63ad0eddea5ba6641cc284b2da0b670b7a8db6f139961c7e065bd9096
1,126.0,13068ca63ad0eddea5ba6641cc284b2da0b670b7a8db6f139961c7e065bd9096,109.0,90ee7f52a4de94f36a61af8a991b6fd69283c876f4d0aedb6873018c4eec50db
2,129.0,c1d17b87a5a3905071d821268e78cd9f8b4741d3162de825054ef9d0543b5116,127.0,83dc8ab9acc8e45c2d2dec3e34a08e2c1e84c91cef7262fb086f0192040fa4cf
2,127.0,83dc8ab9acc8e45c2d2dec3e34a08e2c1e84c91cef7262fb086f0192040fa4cf,126.0,82243db0f119039859f6dd169e3009b23971cfa5634eec63b6f5a3246313d7f0
2,126.0,82243db0f119039859f6dd169e3009b23971cfa5634eec63b6f5a3246313d7f0,111.0,72b209306c1a1031b9b3dbec63cf58b0beabbf3e3f0a40c63ef5df093b62dfb8
2,111.0,72b209306c1a1031b9b3dbec63cf58b0beabbf3e3f0a40c63ef5df093b62dfb8,111.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068
2,111.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068,109.0,ddf3ff7c110ced585a4061e3a3c66f7051fe6847fd4b561f03bbad2b072a9cf0
