Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,fbfe9b778c43b6256993e8c708f98285498569b34fd8794d17d47c758adb018f,195.0,18c7e936d3fdabc2d422db01611258446129cc793a3c5523de55dc4c69ae9aa1
1,195.0,18c7e936d3fdabc2d422db01611258446129cc793a3c5523de55dc4c69ae9aa1,130.0,b7ae7b2beb4926e6d4e2f16a3f04cf00b27ab19ab858c70622d1492073cd9392
1,130.0,b7ae7b2beb4926e6d4e2f16a3f04cf00b27ab19ab858c70622d1492073cd9392,121.0,6a3587f041a06d88f54e8b064c3b5343e7244b99e0a69853cedb8be0132a7606
1,121.0,6a3587f041a06d88f54e8b064c3b5343e7244b99e0a69853cedb8be0132a7606,126.0,37192c060b26fe33e89e6970d234244b0b9a7495e4f181e9df332173d2a0794a
1,126.0,37192c060b26fe33e89e6970d234244b0b9a7495e4f181e9df332173d2a0794a,109.0,b3f8223c25d95ee051b4f07a3d42b02847ea447419318633e34610f5c9c04e22
2,205.0,10c0871bc15f020a2c32dad860ed8978d3e97d647a7d305b16a121b39e191132,129.0,9fd6b57c0c5a7345b19655d75c062f4cab3b4bcd59bcfa7478d62e25dda3e8ee
2,129.0,9fd6b57c0c5a7345b19655d75c062f4cab3b4bcd59bcfa7478d62e25dda3e8ee,129.0,1774fc79cd1126f62fa1729f58e6633ac80cbc581a5ea464725fe5ecfaff8534
2,129.0,1774fc79cd1126f62fa1729f58e6633ac80cbc581a5ea464725fe5ecfaff8534,128.0,c457046a60acb5d8f6e0b5b450895b600db220077f0dbcdff072d565d0a4c3a3
2,128.0,c457046a60acb5d8f6e0b5b450895b600db220077f0dbcdff072d565d0a4c3a3,109.0,43efea92d94ad7fab03d88c9979cf9f72cb53fe66f555ca55743ead3790e1825
2,109.0,43efea92d94ad7fab03d88c9979cf9f72cb53fe66f555ca55743ead3790e1825,110.0,50e530f5ba6da31861965e392d5e5703142bdddcb4ef071cec2757b291ca0980
2,110.0,50e530f5ba6da31861965e392d5e5703142bdddcb4ef071cec2757b291ca0980,109.0,306e599c954b5ca1cd5b0526e0f24fd9932d7bfa26dc4d721ea2c4b2908449f1
3,195.0,b1a0dad592054ec9c234f4b512e2e69ab45538514a9754ad8406598acd9cd600,136.0,f6cd0238a73464e7082d54d6f47f094b86fe691b56980a13185d4f299c0962a5
3,136.0,f6cd0238a73464e7082d54d6f47f094b86fe691b56980a13185d4f299c0962a5,134.0,45f056c44d452b53edb5334b28e1bc62caa60c46b3bc696b4fea5a3afb8956db
3,134.0,45f056c44d452b53edb5334b28e1bc62caa60c46b3bc696b4fea5a3afb8956db,127.0,203169463881c559e7871bd17933525ad4a1f68e79162fdb09bd8449949e42ae
3,127.0,203169463881c559e7871bd17933525ad4a1f68e79162fdb09bd8449949e42ae,111.0,58a33a2ea2eb881d8f96918102b2054e1f44dd61e245c51bd1b0cc2a2c20dcf9
3,111.0,58a33a2ea2eb881d8f96918102b2054e1f44dd61e245c51bd1b0cc2a2c20dcf9,110.0,2ef3b2a8d012fffdd56d99ba8cc5432e068daf3ec6a65f77c3b738b94881e311
3,110.0,2ef3b2a8d012fffdd56d99ba8cc5432e068daf3ec6a65f77c3b738b94881e311,109.0,b3f8223c25d95ee051b4f07a3d42b02847ea447419318633e34610f5c9c04e22
4,191.0,bf4e11e4e2a34929bb002c787b5898a2da20b4e132449bca2f81d858645076e8,130.0,a85931d3edccb53bda3fdf8e8eb5c410fe6ec7d16357c1ca1fee98a07c6fcd5f
4,130.0,a85931d3edccb53bda3fdf8e8eb5c410fe6ec7d16357c1ca1fee98a07c6fcd5f,131.0,1c11f8ef19c7ecd68f42e6aa83300c0562dfb1dbce57129bc1768b76558c1151
4,131.0,1c11f8ef19c7ecd68f42e6aa83300c0562dfb1dbce57129bc1768b76558c1151,129.0,9fd6b57c0c5a7345b19655d75c062f4cab3b4bcd59bcfa7478d62e25dda3e8ee
4,129.0,9fd6b57c0c5a7345b19655d75c062f4cab3b4bcd59bcfa7478d62e25dda3e8ee,127.0,bb4716d4fc5b51fc7211757afad9ca00f27298563a44a7ea09a4e5105ddb8fdc
4,127.0,bb4716d4fc5b51fc7211757afad9ca00f27298563a44a7ea09a4e5105ddb8fdc,109.0,b3f8223c25d95ee051b4f07a3d42b02847ea447419318633e34610f5c9c04e22
4,109.0,b3f8223c25d95ee051b4f07a3d42b02847ea447419318633e34610f5c9c04e22,109.0,306e599c954b5ca1cd5b0526e0f24fd9932d7bfa26dc4d721ea2c4b2908449f1
4,109.0,306e599c954b5ca1cd5b0526e0f24fd9932d7bfa26dc4d721ea2c4b2908449f1,109.0,b3f8223c25d95ee051b4f07a3d42b02847ea447419318633e34610f5c9c04e22
5,196.0,455d62583051c51df76ee2a80512337b4242a122c5d23d8354fd75314b094edf,134.0,3953f249199645504d1e65d8ffde0621ab8ee653d2ac67d786f74d2fe13aa76c
5,134.0,3953f249199645504d1e65d8ffde0621ab8ee653d2ac67d786f74d2fe13aa76c,124.0,4cac689b6c345be95caf131bc898ea3cf96d31e9552b52892cb5106263a40e5f
5,124.0,4cac689b6c345be95caf131bc898ea3cf96d31e9552b52892cb5106263a40e5f,131.0,772086b9dd1e2733e3f8f39421d7a7c4b1a07e2ae42c2dddf4910b26af2c175a
5,131.0,772086b9dd1e2733e3f8f39421d7a7c4b1a07e2ae42c2dddf4910b26af2c175a,129.0,3afb56e77fdd6edd4b2fd84e2ff57c3a8138ee88ae2f46167ba30d4c716de0a4
5,129.0,3afb56e77fdd6edd4b2fd84e2ff57c3a8138ee88ae2f46167ba30d4c716de0a4,128.0,e80decc62eea86099be5985609dd2c3968c004ede4141e07638b0874e55b5079
5,128.0,e80decc62eea86099be5985609dd2c3968c004ede4141e07638b0874e55b5079,110.0,ed22f698de2bf2571e4ad94619212491fa29ce937cfcea3abd5485677a752d50
5,110.0,ed22f698de2bf2571e4ad94619212491fa29ce937cfcea3abd5485677a752d50,109.0,b68405cacf55201ddf8f7f21ac89622fb4b5e2bfd0bb9db9a4534e70686d08d6
6,193.0,0c6d7a8b9e6b1065b1d034a17aa0f3b72db4be5f8b51d41fcdd2b845118f54d5,134.0,928aeb851e43cea847b910745a5e6496a433e2d7f525a7de020098c2636d8321
6,134.0,928aeb851e43cea847b910745a5e6496a433e2d7f525a7de020098c2636d8321,130.0,1ac9a4fbdc4d65fae8973558300e3ad626fed8a3cb46f591e1c8e1ea35f930d2
6,130.0,1ac9a4fbdc4d65fae8973558300e3ad626fed8a3cb46f591e1c8e1ea35f930d2,129.0,34f42a082dd807912357fd9d4d010bb0d334fbcbfd815a7d48c4d09609bf2cd1
6,129.0,34f42a082dd807912357fd9d4d010bb0d334fbcbfd815a7d48c4d09609bf2cd1,127.0,decbc071475419f628af045eb22504f1520e96d68ab1eb5170d03abaca3c4651
6,127.0,decbc071475419f628af045eb22504f1520e96d68ab1eb5170d03abaca3c4651,126.0,910308a7bb469849899fe9634df15521b48d90e70f0d41d8305af8e068dc657b
6,126.0,910308a7bb469849899fe9634df15521b48d90e70f0d41d8305af8e068dc657b,111.0,5a2d88b8a8fef09dadacaacdc18cf85d517f924dd10fbcef56dda69da10c0957
6,111.0,5a2d88b8a8fef09dadacaacdc18cf85d517f924dd10fbcef56dda69da10c0957,110.0,73cb70b6cfc0254a1ad7e3add1ac7bc43447c93b9461e782050e7bfedd8599e1
6,110.0,73cb70b6cfc0254a1ad7e3add1ac7bc43447c93b9461e782050e7bfedd8599e1,109.0,9474a21b6c53c75794fc5323e6c826dd204e98014dad1247ed0eb513931537d3
7,200.0,da7605f58413c84770119996fccce6513f176b6568f5115b95b3294ff9b8d009,139.0,fe6f0d84ba4fdd4d8e73beafef87f1c159b8db3feffeed35a68ebbcaf060fa8c
7,139.0,fe6f0d84ba4fdd4d8e73beafef87f1c159b8db3feffeed35a68ebbcaf060fa8c,135.0,f51d8cae48b2e322c581f9e4ca4d389889baaad241b1ac92ecc843fe3fe6f753
7,135.0,f51d8cae48b2e322c581f9e4ca4d389889baaad241b1ac92ecc843fe3fe6f753,129.0,0df93b22560393c6b551bcbe472c4108a8b59762107bb15c68d41257b4c8e9cd
7,129.0,0df93b22560393c6b551bcbe472c4108a8b59762107bb15c68d41257b4c8e9cd,130.0,a85931d3edccb53bda3fdf8e8eb5c410fe6ec7d16357c1ca1fee98a07c6fcd5f
7,130.0,a85931d3edccb53bda3fdf8e8eb5c410fe6ec7d16357c1ca1fee98a07c6fcd5f,129.0,0df93b22560393c6b551bcbe472c4108a8b59762107bb15c68d41257b4c8e9cd
7,129.0,0df93b22560393c6b551bcbe472c4108a8b59762107bb15c68d41257b4c8e9cd,128.0,968e9591ba58f619e2c66b0fdea211adbe62b091e69f10af1e3e44e12d6f2b7e
7,128.0,968e9591ba58f619e2c66b0fdea211adbe62b091e69f10af1e3e44e12d6f2b7e,110.0,50e530f5ba6da31861965e392d5e5703142bdddcb4ef071cec2757b291ca0980
7,110.0,50e530f5ba6da31861965e392d5e5703142bdddcb4ef071cec2757b291ca0980,109.0,306e599c954b5ca1cd5b0526e0f24fd9932d7bfa26dc4d721ea2c4b2908449f1
8,201.0,ff880617ba564b9371f1fbd7ecf168f96095403bd305b0f8815d105fb20d593d,193.0,9b6d4ebe1c96c5d5d24963a7d4d9dd905f8f658f22293c94170f1780fea2f43d
8,193.0,9b6d4ebe1c96c5d5d24963a7d4d9dd905f8f658f22293c94170f1780fea2f43d,136.0,21c8eca3083323f02075f4fc5bfc37a52a190f4df1c430f56dbc4bf594da9fd2
8,136.0,21c8eca3083323f02075f4fc5bfc37a52a190f4df1c430f56dbc4bf594da9fd2,120.0,e0f83b7e429ab9653f932de2f80b506cc1c196666f195631b45d6784ad3e147c
8,120.0,e0f83b7e429ab9653f932de2f80b506cc1c196666f195631b45d6784ad3e147c,130.0,a85931d3edccb53bda3fdf8e8eb5c410fe6ec7d16357c1ca1fee98a07c6fcd5f
8,130.0,a85931d3edccb53bda3fdf8e8eb5c410fe6ec7d16357c1ca1fee98a07c6fcd5f,130.0,5c0414d743ea3e96468abbc3644996b1a0051ca58b5ef7d49e7bd24102a8b429
