Run,Fitness1,Solution1,Fitness2,Solution2
1,136.0,4b3f8eace8a45f535b2b5a32bef42231dff66a0ee947f1325e9b36e2b52c394c,132.0,e981330021c4748acf2364ead367519173bd830fe3a3f19f23425b88731544e5
1,132.0,e981330021c4748acf2364ead367519173bd830fe3a3f19f23425b88731544e5,130.0,6e37c7133dddb6e6f30c96cdb12ff4c3f8dfda1e2c4931b68d0a7b3b63faef9e
1,130.0,6e37c7133dddb6e6f30c96cdb12ff4c3f8dfda1e2c4931b68d0a7b3b63faef9e,126.0,fad769ab8b7c4c1a635cf948a8ea571a9e66d305cabaf4dc7dde857f2bd5423a
1,126.0,fad769ab8b7c4c1a635cf948a8ea571a9e66d305cabaf4dc7dde857f2bd5423a,123.0,f91405f008ad9637d63fff7df53f0484550dccc30a52029c6e76a25c95980ac0
1,123.0,f91405f008ad9637d63fff7df53f0484550dccc30a52029c6e76a25c95980ac0,122.0,0d5d4000a02d17c3b7911f3417d36c543cf7695f43518a1c556af75d80934d34
1,122.0,0d5d4000a02d17c3b7911f3417d36c543cf7695f43518a1c556af75d80934d34,121.0,2166644121d04ef433d5e58a4ff62df707c4bc2c3d77ae59b611d6bba43aa5b5
1,121.0,2166644121d04ef433d5e58a4ff62df707c4bc2c3d77ae59b611d6bba43aa5b5,120.0,ef6ca928d039112c061bf48f1954067e5cca5d80abf2eab16432d21bd91bb785
1,120.0,ef6ca928d039112c061bf48f1954067e5cca5d80abf2eab16432d21bd91bb785,119.0,d7b1d80966acbd29921b60fe9a3d83b9307a1434a8a4167238a6ce0897505baa
1,119.0,d7b1d80966acbd29921b60fe9a3d83b9307a1434a8a4167238a6ce0897505baa,118.0,fe9054eda1853da19031783c3cd7c5bc0098026001670a41bd2efb4581bf71cf
1,118.0,fe9054eda1853da19031783c3cd7c5bc0098026001670a41bd2efb4581bf71cf,117.0,5d18fac9b2cf12f389204d2d0e0442f3308f2d251739e6b96f538f81a9f02eb3
1,117.0,5d18fac9b2cf12f389204d2d0e0442f3308f2d251739e6b96f538f81a9f02eb3,113.0,f5ed88f425ba8e4ae627dff294628e52e57c7433210112d150e4479a2d97951f
1,113.0,f5ed88f425ba8e4ae627dff294628e52e57c7433210112d150e4479a2d97951f,115.0,26e511252865226f9ecb3a1b26651067bbf6516a2b0ba8b64853310e8ab4754a
1,115.0,26e511252865226f9ecb3a1b26651067bbf6516a2b0ba8b64853310e8ab4754a,114.0,054bc5b957b52d7b6f0102693d0d1b844f276089fd780dcb0bc9178850b1ab71
1,114.0,054bc5b957b52d7b6f0102693d0d1b844f276089fd780dcb0bc9178850b1ab71,113.0,f5ed88f425ba8e4ae627dff294628e52e57c7433210112d150e4479a2d97951f
1,113.0,f5ed88f425ba8e4ae627dff294628e52e57c7433210112d150e4479a2d97951f,112.0,0cb38597daf8f197f034e696be89e7ac739595a3f9c484be68813f028c864c8d
2,133.0,dd1bef28e707644a7be8ba7e8138a3ca8bf943bae914ae370118b5d290f72775,131.0,a92ee158724495ae052ee4fd28cb3cd5571623995fbea1674f9f5df655ec3590
