Run,Fitness1,Solution1,Fitness2,Solution2
1,136.0,ca31862d948507d8602d297fb83efad2a792d99eb8ad508416a9419369a79ed3,132.0,e94709919c543f44065b0fcde399251f7ec0090ee2e75674adf9dc6dbb62ed3f
1,132.0,e94709919c543f44065b0fcde399251f7ec0090ee2e75674adf9dc6dbb62ed3f,122.0,b8c150656e5d620274f3cdf8f671991d2d6b84d2a0726a401d8f19d14bf35140
1,122.0,b8c150656e5d620274f3cdf8f671991d2d6b84d2a0726a401d8f19d14bf35140,123.0,47fec3db7cd49c78853bf91ddceabc490433a3bef09615e375761c55e86bb7da
1,123.0,47fec3db7cd49c78853bf91ddceabc490433a3bef09615e375761c55e86bb7da,122.0,b8c150656e5d620274f3cdf8f671991d2d6b84d2a0726a401d8f19d14bf35140
1,122.0,b8c150656e5d620274f3cdf8f671991d2d6b84d2a0726a401d8f19d14bf35140,121.0,aed6f418a236c1acc2ac3acd1f615fad2eba43e29917be79bfc08f99d6820b07
1,121.0,aed6f418a236c1acc2ac3acd1f615fad2eba43e29917be79bfc08f99d6820b07,120.0,426f239c48a4e01f1dc28f83f9224751b8e0d310a9d7fdd59d8d9b6e5e47c1d7
1,120.0,426f239c48a4e01f1dc28f83f9224751b8e0d310a9d7fdd59d8d9b6e5e47c1d7,119.0,5bd65b2b64a0fe05158c8b211728da31ab01139d1163df90614f9d60ddf6beaf
1,119.0,5bd65b2b64a0fe05158c8b211728da31ab01139d1163df90614f9d60ddf6beaf,118.0,2b9130ddb3904a5b3463c0100850635cf434f477d96d234e08b00928ec8fa89f
1,118.0,2b9130ddb3904a5b3463c0100850635cf434f477d96d234e08b00928ec8fa89f,117.0,39614dc8db1fd334d1075596e6da9b81ef7364a90355e1bf4b068bb018b08947
1,117.0,39614dc8db1fd334d1075596e6da9b81ef7364a90355e1bf4b068bb018b08947,113.0,05b35a4d1af1283a4f6303af858029c78e0feae4a3aa0a4f47b9d5c18d6b6f32
1,113.0,05b35a4d1af1283a4f6303af858029c78e0feae4a3aa0a4f47b9d5c18d6b6f32,115.0,0dc12e9978a7b18fd4c3acb1d27693b1b002520b492f124c0836cf6dd75ab955
1,115.0,0dc12e9978a7b18fd4c3acb1d27693b1b002520b492f124c0836cf6dd75ab955,114.0,0fc913d485bdcacea51a5b3d2c5d630d2b1661f2ab852f68b66c881f6d089202
1,114.0,0fc913d485bdcacea51a5b3d2c5d630d2b1661f2ab852f68b66c881f6d089202,113.0,05b35a4d1af1283a4f6303af858029c78e0feae4a3aa0a4f47b9d5c18d6b6f32
1,113.0,05b35a4d1af1283a4f6303af858029c78e0feae4a3aa0a4f47b9d5c18d6b6f32,112.0,67c1d203db9de1b6e5d561cc7297e531a96c2da2a713e877c1096f096901e6ec
2,133.0,d8ad2d5978b725679069ce17ffdc9cff69ece48e97ba50116891fceabf3fc95e,131.0,9cd9a73f1a9680ed509c59ad8b11d42d06926637875ff55059dbc3ba56f5eddc
2,131.0,9cd9a73f1a9680ed509c59ad8b11d42d06926637875ff55059dbc3ba56f5eddc,125.0,b3c3dffba4a32f29198cf895be663ec3c5adaab655f9897a0891474f91fe992d
2,125.0,b3c3dffba4a32f29198cf895be663ec3c5adaab655f9897a0891474f91fe992d,124.0,091692fa8ae4216288e4c39b469ce7fd8499150d3d22d2d77a66d5cd0f9f1dbc
2,124.0,091692fa8ae4216288e4c39b469ce7fd8499150d3d22d2d77a66d5cd0f9f1dbc,123.0,c6ac94d790699875dfa4187a057226f16b4271e55068f52a5973c99bff7b3957
2,123.0,c6ac94d790699875dfa4187a057226f16b4271e55068f52a5973c99bff7b3957,121.0,75d8e6c5eda810c98e06db350aea7d1953e363b016dd1908266aaa38c44d91f6
2,121.0,75d8e6c5eda810c98e06db350aea7d1953e363b016dd1908266aaa38c44d91f6,120.0,b677d7c32d358aedaf09f8580daff2fc0f3c58525dd81b411d3adc027123a8fe
2,120.0,b677d7c32d358aedaf09f8580daff2fc0f3c58525dd81b411d3adc027123a8fe,118.0,24abdc599bf569c6d8ef1c5125d7c8376bc9ccdc82b9ca46498b3d2bc8d220f8
2,118.0,24abdc599bf569c6d8ef1c5125d7c8376bc9ccdc82b9ca46498b3d2bc8d220f8,117.0,a3c44072e8b48edd031f6606b757ea81f851af12ad5692c1ee011365bbcb5f5f
2,117.0,a3c44072e8b48edd031f6606b757ea81f851af12ad5692c1ee011365bbcb5f5f,115.0,af62c0ddfc07169d54f787e109eee73ef8539485c1c6ae570a9a44b1a2ceee02
2,115.0,af62c0ddfc07169d54f787e109eee73ef8539485c1c6ae570a9a44b1a2ceee02,114.0,90bf2d74fb48725b07bc6d8b809d82230a0f13f635fa143c9bc68bd2bab96914
2,114.0,90bf2d74fb48725b07bc6d8b809d82230a0f13f635fa143c9bc68bd2bab96914,113.0,f88126146088880dbad6fb19ef46c54005b23b85caa00239f331f34e76006f83
2,113.0,f88126146088880dbad6fb19ef46c54005b23b85caa00239f331f34e76006f83,112.0,6fae5bee5f42d9d2f7c84eec29ed1d77105563cdd8df6873845090bd90a0f27c
2,112.0,6fae5bee5f42d9d2f7c84eec29ed1d77105563cdd8df6873845090bd90a0f27c,111.0,a5acd2c7edd42b690f9b0c37ddd23abd9738fcdcd47051b1901df55c1b02d05d
3,203.0,23a6e01ebf4608999babe20888f5fa7bc4a7d8c4fdadafdc2dab8f310c447dd1,198.0,91488a8634125ecedb28c94ba81d53d8cfddd3ccb68c475c0c549f53d93e40fd
3,198.0,91488a8634125ecedb28c94ba81d53d8cfddd3ccb68c475c0c549f53d93e40fd,196.0,0beb1a98634b4a51c9b3aa3b84f5bc3bffcfe8bc666d5c414bf5c64eeef226a8
3,196.0,0beb1a98634b4a51c9b3aa3b84f5bc3bffcfe8bc666d5c414bf5c64eeef226a8,134.0,606c574bb4d142d124c5b9015172f99af1b6c179c53fab1923455aae7a50e1fe
3,134.0,606c574bb4d142d124c5b9015172f99af1b6c179c53fab1923455aae7a50e1fe,125.0,096e7ac8ba51bec4feabe9e8ab5b4afd1b019fff3330481fe00ced90318ef508
3,125.0,096e7ac8ba51bec4feabe9e8ab5b4afd1b019fff3330481fe00ced90318ef508,120.0,9a483176a619d797842f3716f582122f0eae1d081159fc97160fb6257554eab1
3,120.0,9a483176a619d797842f3716f582122f0eae1d081159fc97160fb6257554eab1,119.0,5f029ae2c0a19b821fb7df37dd59e1e03a5493b118fe8269c57ac7188c2fb8b4
3,119.0,5f029ae2c0a19b821fb7df37dd59e1e03a5493b118fe8269c57ac7188c2fb8b4,118.0,b27e27388ab429d86e43d91332bc697c55db12cbdc409f94a31bf9613dbd9fb2
3,118.0,b27e27388ab429d86e43d91332bc697c55db12cbdc409f94a31bf9613dbd9fb2,116.0,fa8d9ae33652694a74933e939f804858ad121e6321c746b8121b586900b56044
