Run,Fitness1,Solution1,Fitness2,Solution2
1,132.0,97df3f068fd9daebce2d399fd35190ca37bf5d266fb02ce3b2f31b030d77e888,131.0,536322c74042624dc045b81c01a9a1b7bb4c496fa2820f9dee30e06557868cff
1,131.0,536322c74042624dc045b81c01a9a1b7bb4c496fa2820f9dee30e06557868cff,117.0,683458402f851d35d973353d1b959400d044941770ac041a776edd041f9adba0
1,117.0,683458402f851d35d973353d1b959400d044941770ac041a776edd041f9adba0,111.0,94b84c9b954f9e9d342d729d0968286dafa16d86a2af96c4dac0cfa5d44be817
1,111.0,94b84c9b954f9e9d342d729d0968286dafa16d86a2af96c4dac0cfa5d44be817,110.0,10db55db14bddfe4f0401bf658781a87da597ae96c2e476bc5cb53ae8dc4f684
1,110.0,10db55db14bddfe4f0401bf658781a87da597ae96c2e476bc5cb53ae8dc4f684,109.0,aa13383dbe42b2d2efdb01250cadbd2b1846e5dd280d0ab96632df8d90d1728e
2,133.0,3cb5c45143f63446e41a85082831165830fe10c4cd5cc04162716f2987c0621c,114.0,4aa5526d9eacbb189298165fc71b5604a80f1900357d94567c2353a0dfaf0b7d
2,114.0,4aa5526d9eacbb189298165fc71b5604a80f1900357d94567c2353a0dfaf0b7d,111.0,e8e19815d255cf731f05135c87f91bb44b996746c27742b438fdb9ef23b2ac6a
2,111.0,e8e19815d255cf731f05135c87f91bb44b996746c27742b438fdb9ef23b2ac6a,110.0,4a5f9c123f13e940ebc1980072734c175bb0538db7cb8f1c741805e17e5d782e
2,110.0,4a5f9c123f13e940ebc1980072734c175bb0538db7cb8f1c741805e17e5d782e,109.0,9d51b3fe8251d6af32a438c9f84384521e1c0e57816d05f539609c1f4048bf23
3,132.0,0b435bc7bf7a7935c5fa5d20eaadbfd37eb7a83265a3f6fce8c18a2d29d32f3d,116.0,29e765f40ec103d0d1cf345aa59fac8b746a63ba108dc936d2ca236cf6d24b88
3,116.0,29e765f40ec103d0d1cf345aa59fac8b746a63ba108dc936d2ca236cf6d24b88,112.0,4dc671ea6c1bcb189c84192e7d037a8c022ee2c631c147d8ad34a72890be493f
3,112.0,4dc671ea6c1bcb189c84192e7d037a8c022ee2c631c147d8ad34a72890be493f,110.0,ff1298aa2642dc4c9f1e18a72f02322c6ee9d960fe487ed10bed415370da58ee
3,110.0,ff1298aa2642dc4c9f1e18a72f02322c6ee9d960fe487ed10bed415370da58ee,109.0,801523e6c60d31de377c840972b0a105cb66687b18d8432ba60a38bf6dfbd60a
4,133.0,92c740bb6aa5e72ac327b72fd5775645907fac6a521cd6d4801e4fb883498d8d,132.0,6df430eca3b008f2a1e2588c2668c6762a6552997e4e44071a7b4162c225d094
4,132.0,6df430eca3b008f2a1e2588c2668c6762a6552997e4e44071a7b4162c225d094,113.0,2e4d00a522d671057747a318d1d5ed62523d63dc0f4ac5ad1629050dfe555374
