Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,105a267fbb80f9bdd34fa1df357576fb846e6d22fb20d9c014bc7b3642aa5a8d,195.0,db896a8e1724e84f3680f3e7292ed95b442bda7429254718ea9c95e3c77ca19b
1,195.0,db896a8e1724e84f3680f3e7292ed95b442bda7429254718ea9c95e3c77ca19b,130.0,6fd0648d7a0e8da807f023c69c7bd1a498585e4dcd072fdf8cf83d4b07ea84db
1,130.0,6fd0648d7a0e8da807f023c69c7bd1a498585e4dcd072fdf8cf83d4b07ea84db,128.0,e3b870a020cba021743c3e440d6beda956a4593982af486c6fa5ff1e4785acb1
1,128.0,e3b870a020cba021743c3e440d6beda956a4593982af486c6fa5ff1e4785acb1,126.0,eb9a8926696cdbb3efc8770f11140644baa8a5f5d651cdae703858a4701f60fa
1,126.0,eb9a8926696cdbb3efc8770f11140644baa8a5f5d651cdae703858a4701f60fa,110.0,40a8615c0b8078565802490df935db749065598da303ded3550aba70db5a38fd
1,110.0,40a8615c0b8078565802490df935db749065598da303ded3550aba70db5a38fd,109.0,15a89ceeb289a49852db4a90d93ba6a69bbcfb2c2e50784580f06f88db493aa4
2,205.0,0a1f512e5e775bd4af7f3326dda617598b9ad4f1f071cd9d2e8961ce1b2b8d14,135.0,c8d22d47af7d1e05006bbbda26716d4c91fb220dbeba8e4b788ab42bdc13511e
2,135.0,c8d22d47af7d1e05006bbbda26716d4c91fb220dbeba8e4b788ab42bdc13511e,129.0,8264a725c7fddf9d62bae7a78b7bd1d9f8a2d980b5b1c943db80d8cd48cdae85
2,129.0,8264a725c7fddf9d62bae7a78b7bd1d9f8a2d980b5b1c943db80d8cd48cdae85,128.0,41d32d76d894137a18c89f791117c533ff68f08bfb59224ab247e272caed8588
2,128.0,41d32d76d894137a18c89f791117c533ff68f08bfb59224ab247e272caed8588,111.0,d6f68646c2ab21869f89b7b221c1038519fc1189eea7a5afb32bfc741827444e
2,111.0,d6f68646c2ab21869f89b7b221c1038519fc1189eea7a5afb32bfc741827444e,110.0,487732fbe7550b8750679142322f68d9a29bc999d39dccda1df7966200dbd9bb
2,110.0,487732fbe7550b8750679142322f68d9a29bc999d39dccda1df7966200dbd9bb,109.0,0346cd46c7cfdf076a142aede3c75ef480f951da08fccf8243415e83340cbf4e
3,195.0,6319599df2066c974c330bcd20793b490c28b0d2e86a8b82d7704fa854b75c21,136.0,733de04a4d829c9aee56a0a2738b830a62506512e7d29343986a98f7b8c93441
3,136.0,733de04a4d829c9aee56a0a2738b830a62506512e7d29343986a98f7b8c93441,134.0,05ea985d93c95c0671741e5dd85f8d5a835f248ca365899da6a3093fc89154e5
3,134.0,05ea985d93c95c0671741e5dd85f8d5a835f248ca365899da6a3093fc89154e5,127.0,8ee984af2035811e54ed982ad1889082c5771833c0c1d39f83487ceb27ab564a
3,127.0,8ee984af2035811e54ed982ad1889082c5771833c0c1d39f83487ceb27ab564a,111.0,0a77900d631e32e02698fb9396aa6761d85f516116dc330a183aee8fc8e6503b
3,111.0,0a77900d631e32e02698fb9396aa6761d85f516116dc330a183aee8fc8e6503b,110.0,242b57e4d4914908eabb91df67d7951a46d985a93159e889597a2be0f844111c
3,110.0,242b57e4d4914908eabb91df67d7951a46d985a93159e889597a2be0f844111c,109.0,5b8343560dbf56f1e819c9047f2246cbf86a60a3bbd03c1792d0f6151151f817
4,191.0,5e09fb1ad0cbdabc550c4308e2cc75f629441990328250cbce23cf33934c5c0e,134.0,6e0081c0e7a03a965ce6977e314190940a9802226d0b55374760f2ab52d7a9f6
4,134.0,6e0081c0e7a03a965ce6977e314190940a9802226d0b55374760f2ab52d7a9f6,131.0,f1f6d97e14487aa1834652f6b84bf56b70edbbc494a9e834a6d69238627cfc27
4,131.0,f1f6d97e14487aa1834652f6b84bf56b70edbbc494a9e834a6d69238627cfc27,129.0,2cf6ecffa796dd364989e483403b64456d5dbbdf403320cae76db9dd5773d0b8
4,129.0,2cf6ecffa796dd364989e483403b64456d5dbbdf403320cae76db9dd5773d0b8,127.0,bf4be4a50c186c3f6fb663575d21af43cf2789997c496a07c087679ba99d8cbf
4,127.0,bf4be4a50c186c3f6fb663575d21af43cf2789997c496a07c087679ba99d8cbf,111.0,7410778a9d3aac2fd8d7c372a39b43adbdb1aa5106b6bce33418493c8a7072de
4,111.0,7410778a9d3aac2fd8d7c372a39b43adbdb1aa5106b6bce33418493c8a7072de,110.0,2278888d6bd76f41a82eba3144dae46c4586d398c32cf1425100b13bb7a68faa
4,110.0,2278888d6bd76f41a82eba3144dae46c4586d398c32cf1425100b13bb7a68faa,109.0,0346cd46c7cfdf076a142aede3c75ef480f951da08fccf8243415e83340cbf4e
5,196.0,5773b72c1c2baf3e54b81a95aa765edc9245e924e6bcd2c2fe37467e20f5fe9d,138.0,4c3a0ef3b917c9e5237c381c08cc9cec42cdc983252b325225f9fff9b252aaf9
5,138.0,4c3a0ef3b917c9e5237c381c08cc9cec42cdc983252b325225f9fff9b252aaf9,132.0,1993d27d056c9bebf6b968da200f29b6d06d3b420c899de3340e8b80d45b4bbd
5,132.0,1993d27d056c9bebf6b968da200f29b6d06d3b420c899de3340e8b80d45b4bbd,131.0,e9f6516315ab834d3176672f286e50ebaf0ea88ee8b5b2c4805176b87dfc5d01
5,131.0,e9f6516315ab834d3176672f286e50ebaf0ea88ee8b5b2c4805176b87dfc5d01,129.0,d8acec8bb7be869bb4d07e283edae7c3408ba2f5af58a71ec020935d085547f6
5,129.0,d8acec8bb7be869bb4d07e283edae7c3408ba2f5af58a71ec020935d085547f6,128.0,992eddd9f041d6fe9c15ab9e136cc95a0d47681e932f4097dfa20bb78b80fbfa
