Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,5d31006f1984e113e08a987cbaa73010b4bef23ad629ef4df2f6372e7b26c03d,116.0,f16b614903647c5067ca6e2c38d73bd8ff0ab060730401ec8cddf0e54d42953b
1,116.0,f16b614903647c5067ca6e2c38d73bd8ff0ab060730401ec8cddf0e54d42953b,130.0,6da21f8975f53c826ca0cd92588799a8dbda30d89a445605f0b6cc62d070b2df
1,130.0,6da21f8975f53c826ca0cd92588799a8dbda30d89a445605f0b6cc62d070b2df,119.0,4473a6adde40d6083e08b703b58d3d1b57145f4ddd0b7b47c6c294cd620b2f4a
1,119.0,4473a6adde40d6083e08b703b58d3d1b57145f4ddd0b7b47c6c294cd620b2f4a,123.0,e070dafd7da3bb480b624e7718218d408a67caadf66b383455db1233fc9de87b
1,123.0,e070dafd7da3bb480b624e7718218d408a67caadf66b383455db1233fc9de87b,109.0,4bfa1a09ac70d3b9342ebd344d5548ddcf1435475ec86a8b045988b8303eb0ae
2,132.0,24a7a23d749cdc6c5ca653f853c96f2866f95c38c4efa5245b6719e32f5312a7,116.0,7b3501e374e4f16a737a0f5074f58ac42b209d7638bf98400e4e3015e0ab1e55
2,116.0,7b3501e374e4f16a737a0f5074f58ac42b209d7638bf98400e4e3015e0ab1e55,127.0,89c1531ee0bd93aefb7d6cbe04d6e8af01e7ea4474f8c3b31f2f3d95223ae243
2,127.0,89c1531ee0bd93aefb7d6cbe04d6e8af01e7ea4474f8c3b31f2f3d95223ae243,115.0,adc21379db07774ce00c60b60a6f6762da1d7e6edddef1ed41fd499492c3f76f
2,115.0,adc21379db07774ce00c60b60a6f6762da1d7e6edddef1ed41fd499492c3f76f,109.0,7f46fa5c4f93f6c495b76f93d85d193780665390eb872d135f0147ef08126ecb
2,109.0,7f46fa5c4f93f6c495b76f93d85d193780665390eb872d135f0147ef08126ecb,109.0,878dd8e27a6b7f78c3a197628f745b7ca6afbef9d1db64d717c22a93242a106b
2,109.0,878dd8e27a6b7f78c3a197628f745b7ca6afbef9d1db64d717c22a93242a106b,109.0,7f46fa5c4f93f6c495b76f93d85d193780665390eb872d135f0147ef08126ecb
3,115.0,f2eaf2eac5785450568f3d325f5b98fc4f6f1e3e51d856e9d52a9dcbc3e67add,130.0,6da21f8975f53c826ca0cd92588799a8dbda30d89a445605f0b6cc62d070b2df
3,130.0,6da21f8975f53c826ca0cd92588799a8dbda30d89a445605f0b6cc62d070b2df,134.0,dcab1cd3c8d5128b52c28e0a02321212fa360a9060805e042b3009a7735cba6c
3,134.0,dcab1cd3c8d5128b52c28e0a02321212fa360a9060805e042b3009a7735cba6c,127.0,ce8e85c9de6ad62d7443085e42b8f73dabdbac62a1a5e3eddd5c97b3b44c1e24
3,127.0,ce8e85c9de6ad62d7443085e42b8f73dabdbac62a1a5e3eddd5c97b3b44c1e24,111.0,de81fca8d47e37f6f9798317687cd0c8967063fc57d3605c3ab8905a56043e5b
3,111.0,de81fca8d47e37f6f9798317687cd0c8967063fc57d3605c3ab8905a56043e5b,110.0,f615873a351b17717c649516e39a0b2e7b7f413dd203befb1fa0801764844a9b
3,110.0,f615873a351b17717c649516e39a0b2e7b7f413dd203befb1fa0801764844a9b,109.0,967076aa17da56428cfebd22ec27b7a6f525dd80a2666783eb1a8234227a32bd
4,127.0,0de4cca5b46c115d1814f3d9a126970ec7e7418d13738284912522c94ce97ee9,129.0,30b3a50f9cd967c3922fecec893a7f8a7d7b8501799b6da673e7f8860c3ccdbd
4,129.0,30b3a50f9cd967c3922fecec893a7f8a7d7b8501799b6da673e7f8860c3ccdbd,131.0,210dd3fb6e52a66321e425a27512cf543abde64bd218d7493e3d39f84b649b91
4,131.0,210dd3fb6e52a66321e425a27512cf543abde64bd218d7493e3d39f84b649b91,119.0,9aca59a52eb60c95aa155b1b780dd6cb50a53dec677b3906fed583e65a0dd871
4,119.0,9aca59a52eb60c95aa155b1b780dd6cb50a53dec677b3906fed583e65a0dd871,115.0,adc21379db07774ce00c60b60a6f6762da1d7e6edddef1ed41fd499492c3f76f
4,115.0,adc21379db07774ce00c60b60a6f6762da1d7e6edddef1ed41fd499492c3f76f,109.0,967076aa17da56428cfebd22ec27b7a6f525dd80a2666783eb1a8234227a32bd
4,109.0,967076aa17da56428cfebd22ec27b7a6f525dd80a2666783eb1a8234227a32bd,110.0,83a5b71701e0414736e3eb25de6bac0659203d3b2adf79923eece695ee9d5b98
4,110.0,83a5b71701e0414736e3eb25de6bac0659203d3b2adf79923eece695ee9d5b98,109.0,4bfa1a09ac70d3b9342ebd344d5548ddcf1435475ec86a8b045988b8303eb0ae
5,196.0,c32c4c935a2a9ddc656132ac9436a966d1d0ff34c1f5de6309cdc09501036768,115.0,2c5380f048180786de88692149782cf8ebbbf8fa9934f2c82a1702553227922e
5,115.0,2c5380f048180786de88692149782cf8ebbbf8fa9934f2c82a1702553227922e,132.0,24a7a23d749cdc6c5ca653f853c96f2866f95c38c4efa5245b6719e32f5312a7
5,132.0,24a7a23d749cdc6c5ca653f853c96f2866f95c38c4efa5245b6719e32f5312a7,129.0,3710b9adddae141c5bd4227077dce199cd382eeb4617e8e4ef72a30391c609f3
5,129.0,3710b9adddae141c5bd4227077dce199cd382eeb4617e8e4ef72a30391c609f3,109.0,967076aa17da56428cfebd22ec27b7a6f525dd80a2666783eb1a8234227a32bd
5,109.0,967076aa17da56428cfebd22ec27b7a6f525dd80a2666783eb1a8234227a32bd,110.0,0ef57417d7badd171c40917aa49820c5a937fa05677092ed2c4fda01b174e5e6
5,110.0,0ef57417d7badd171c40917aa49820c5a937fa05677092ed2c4fda01b174e5e6,109.0,878dd8e27a6b7f78c3a197628f745b7ca6afbef9d1db64d717c22a93242a106b
6,114.0,834c6a5a2bfa9c89f57764263bce8e9da7c4f94d22432c2d71d5fde2b26f7321,134.0,aca712a820047dcc3c512e34f70f041aa6d6c6e61b5515722dfc214d29a75c50
6,134.0,aca712a820047dcc3c512e34f70f041aa6d6c6e61b5515722dfc214d29a75c50,130.0,48cd9372dbb4a141855a6f2dcfa91571c97187d0b92f6ed3babbf88e6ae012f3
6,130.0,48cd9372dbb4a141855a6f2dcfa91571c97187d0b92f6ed3babbf88e6ae012f3,109.0,4bfa1a09ac70d3b9342ebd344d5548ddcf1435475ec86a8b045988b8303eb0ae
6,109.0,4bfa1a09ac70d3b9342ebd344d5548ddcf1435475ec86a8b045988b8303eb0ae,127.0,04b06a853dccee9e7c5f4e6ad46fa29977122f2ce0a78804487396f2085df218
6,127.0,04b06a853dccee9e7c5f4e6ad46fa29977122f2ce0a78804487396f2085df218,121.0,c4a7db19b72fcf706f8282a5ab0419bcec16ed555bb392eeb4471703f3c496a4
6,121.0,c4a7db19b72fcf706f8282a5ab0419bcec16ed555bb392eeb4471703f3c496a4,109.0,7f46fa5c4f93f6c495b76f93d85d193780665390eb872d135f0147ef08126ecb
