Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,3a309295bbbc06e44816c67fe6541adf246b0074f0a0b694500a0ad996fd750b,195.0,1cb9c67d2dc11040febbb156d999b3bb0601ab468c0956a687621c8261793ea9
1,195.0,1cb9c67d2dc11040febbb156d999b3bb0601ab468c0956a687621c8261793ea9,130.0,14264792c9da095d8ff0351db09ad97e85697a4f800a670f45f3a63fa71f0175
1,130.0,14264792c9da095d8ff0351db09ad97e85697a4f800a670f45f3a63fa71f0175,128.0,76701a20b9b85ba0719c665576b71100dc184fc12c8c1920746f361b360b30cb
1,128.0,76701a20b9b85ba0719c665576b71100dc184fc12c8c1920746f361b360b30cb,126.0,fbe8ac6517eaab355920f2cb83dac1515464c5075b7170d011e5150f414b64fd
1,126.0,fbe8ac6517eaab355920f2cb83dac1515464c5075b7170d011e5150f414b64fd,110.0,1087ff9e662a7a8e853043e65694cc3c96a3cf26c8f0310cff76f1722aa8db43
1,110.0,1087ff9e662a7a8e853043e65694cc3c96a3cf26c8f0310cff76f1722aa8db43,109.0,61c52c61b112f1ddfe47790f769b5fd15bd2b30a57b44395e3583969ac8a281e
2,205.0,f3884825b069d1de1a57cabfb66e8e41464ac73943dd802f616503dc3dfeb91a,135.0,36755c74cb4d2477bc3c3ac1d07c9b23c258a1d9dc3c347264f11f7e48e3950d
2,135.0,36755c74cb4d2477bc3c3ac1d07c9b23c258a1d9dc3c347264f11f7e48e3950d,129.0,37179ce9cbe87b18ddc1e93bb22b818e8ceb7cba56e813e2f9823dd5f7d7bcfb
2,129.0,37179ce9cbe87b18ddc1e93bb22b818e8ceb7cba56e813e2f9823dd5f7d7bcfb,128.0,94109b28f56beb0daa83fb26aa4c03647d1522a972c79dab13bfb17eee16b412
2,128.0,94109b28f56beb0daa83fb26aa4c03647d1522a972c79dab13bfb17eee16b412,111.0,d7e09dfc6ca41584dfe1ca56dcb176997933b0c15897ed5c21cf9537af72554c
2,111.0,d7e09dfc6ca41584dfe1ca56dcb176997933b0c15897ed5c21cf9537af72554c,110.0,e88e4c90ffd9907d631c7ebb7b1db888e40918f4d43ea804443bb02e75b5b43f
2,110.0,e88e4c90ffd9907d631c7ebb7b1db888e40918f4d43ea804443bb02e75b5b43f,109.0,e72463eb3528862e84afc6a26da38c56f2c5e268f19a70000a1d85df37bb790c
3,195.0,47fbaa1e7e3bcd7f1afcb2ccc70b3b1e3a934b7d34a0f293f2322b81be3a0811,136.0,841afb5fd51f1068f3cafa01af04529a973c879a2b5b2622b79637888363d822
3,136.0,841afb5fd51f1068f3cafa01af04529a973c879a2b5b2622b79637888363d822,134.0,e855c5ceee7ee4d0c43e3c3cbde1e7dfbd34a790a2301d6a997d86226a8e3114
3,134.0,e855c5ceee7ee4d0c43e3c3cbde1e7dfbd34a790a2301d6a997d86226a8e3114,127.0,d87c57ebbb3782cf1f3ffad1a977be3ad8469cd8cfec166ace8c8a0df00f8a98
3,127.0,d87c57ebbb3782cf1f3ffad1a977be3ad8469cd8cfec166ace8c8a0df00f8a98,111.0,9388e632c29f085e37e25ac1529d948c9714e897368f1986f47bdbe2949f28e9
3,111.0,9388e632c29f085e37e25ac1529d948c9714e897368f1986f47bdbe2949f28e9,110.0,2eceadadd3933902aa1ea131fbc0d3cef0d087574c93be8ad1c0c69105c6fe85
3,110.0,2eceadadd3933902aa1ea131fbc0d3cef0d087574c93be8ad1c0c69105c6fe85,109.0,3b25af93c7378dec9dd515017d122897270f6873638422b692b12f65f52e3e79
4,191.0,f977a554ca6da265e8644a4ab1877a06e412635bbf55de35d51f40ae19f3f765,134.0,7a2c59bb32b30e6b311895c611ceaea1414e375c76dda4a87978d29d55594741
4,134.0,7a2c59bb32b30e6b311895c611ceaea1414e375c76dda4a87978d29d55594741,131.0,cbbb5e549f2c5d53eaf63a630cf10017246763d2c65c883f4e2f368c174251e7
4,131.0,cbbb5e549f2c5d53eaf63a630cf10017246763d2c65c883f4e2f368c174251e7,129.0,412aaaefb6081c5423f84fe0c070bd8f1ac76512fb61b240e4ee52792f7b9239
4,129.0,412aaaefb6081c5423f84fe0c070bd8f1ac76512fb61b240e4ee52792f7b9239,127.0,14328c6567d584c73192441e0c0ae18151f89ec1ac5f28214520239762375898
4,127.0,14328c6567d584c73192441e0c0ae18151f89ec1ac5f28214520239762375898,111.0,8c2089f1eeb5dd04b85d06c4d48a2a9af6923e907595585d120f9061b9c09745
4,111.0,8c2089f1eeb5dd04b85d06c4d48a2a9af6923e907595585d120f9061b9c09745,110.0,245c71643e5ac5fe5a7f2cecdad007127b023694a6cbd19276d2febbc5df3a27
4,110.0,245c71643e5ac5fe5a7f2cecdad007127b023694a6cbd19276d2febbc5df3a27,109.0,0b33fb00f87c747c1fb4a6959189733436b07754f2c2622b7e0c95b4d1215f7c
5,196.0,11fc3d25766bf6d959358b1080c839f31ad12ca23adeed4988d2cd33447d0b31,138.0,39f2f029bbaff80cb144ecd38a1c558e366b16e3674e053b208f0f38a8f9ced9
5,138.0,39f2f029bbaff80cb144ecd38a1c558e366b16e3674e053b208f0f38a8f9ced9,132.0,1ef015af007d6fba30e1f9a6cdc494ccffb5304bfd604d220e99871fa2b66d0f
5,132.0,1ef015af007d6fba30e1f9a6cdc494ccffb5304bfd604d220e99871fa2b66d0f,131.0,38c737c7a593a2fabea8c694886694624c82d1bcd62e4ac2fc217258fdf3589a
5,131.0,38c737c7a593a2fabea8c694886694624c82d1bcd62e4ac2fc217258fdf3589a,129.0,65408566d35aa4127cfb5da4abd5d54ceaf766d14b3c2addf5e14dcdbf53ff78
5,129.0,65408566d35aa4127cfb5da4abd5d54ceaf766d14b3c2addf5e14dcdbf53ff78,128.0,c4310cce3c13b4f7fab4b407fa5c21589a9a34f1c35ed32cd95d630b5c04c5ae
5,128.0,c4310cce3c13b4f7fab4b407fa5c21589a9a34f1c35ed32cd95d630b5c04c5ae,110.0,5d9f117a0ab36a775df479b029904f8d85b267f728bef5a7598a692b922e9a8a
5,110.0,5d9f117a0ab36a775df479b029904f8d85b267f728bef5a7598a692b922e9a8a,109.0,aa1374428b7848bd740d6cdba0b315bf49be86a1fac2faf0c7143bfea3d24bd6
6,193.0,73782bf970cc583456665f4e4f582e4a28f39b3e0f7114c166d1c39e611d44b4,134.0,2f41fc95eb5834357a73e91d12eb9cd1fca1d5628c74293f1f236b4d917231b8
6,134.0,2f41fc95eb5834357a73e91d12eb9cd1fca1d5628c74293f1f236b4d917231b8,130.0,b05c9475293e5248cb6fc08f2d578119f43baa2ba765052c9467ca0d315df92e
6,130.0,b05c9475293e5248cb6fc08f2d578119f43baa2ba765052c9467ca0d315df92e,129.0,d8b1cb4f3fc3be5dd97c774d1cbbc0e76b25b66d7ce8284e6eccf5c725baf097
6,129.0,d8b1cb4f3fc3be5dd97c774d1cbbc0e76b25b66d7ce8284e6eccf5c725baf097,127.0,78ba30e5d864e219c7eee620257fbc84921e07e0ec1f56234af3b3587be0e43b
6,127.0,78ba30e5d864e219c7eee620257fbc84921e07e0ec1f56234af3b3587be0e43b,126.0,21fe7cf717087991d27ee13b2b919d6a297f3ff8008cd5f24bb543c0a39c1f71
6,126.0,21fe7cf717087991d27ee13b2b919d6a297f3ff8008cd5f24bb543c0a39c1f71,111.0,801530ee19107e581a05a46edae96a3b3ade1760a47548e7e545ea8c89765a32
6,111.0,801530ee19107e581a05a46edae96a3b3ade1760a47548e7e545ea8c89765a32,110.0,eb9700973596ab589b81da194ef068b1e79812a812e3c83f95308cfecc10cbaf
6,110.0,eb9700973596ab589b81da194ef068b1e79812a812e3c83f95308cfecc10cbaf,109.0,7a40055523f40c8df916eb9a1a7bd7d1fd2b81bc5134ce492a327ac7d2fc10bf
7,200.0,3b3aba728440ca17ae638cd468f7de0f88474fce1785a328539f4fd9d14b1105,139.0,f9b63b5c80a6a66bb438399c23718be52dd7920ed6ba0544ed47f027d1c4b1c7
7,139.0,f9b63b5c80a6a66bb438399c23718be52dd7920ed6ba0544ed47f027d1c4b1c7,135.0,b8dcfac3754824670bb27c69793d537c655cef9cf46e7495a4dc997e67cf9943
7,135.0,b8dcfac3754824670bb27c69793d537c655cef9cf46e7495a4dc997e67cf9943,134.0,d1f753e83f7c9c8774c29b5ae60256b3fffee3cc7e6ebaa0ae705c81ff2d46fe
7,134.0,d1f753e83f7c9c8774c29b5ae60256b3fffee3cc7e6ebaa0ae705c81ff2d46fe,130.0,d4798593d33892968a8f202d1186d5aab5a6a1d67d8ae6f08dbfbd0a599ecd1c
7,130.0,d4798593d33892968a8f202d1186d5aab5a6a1d67d8ae6f08dbfbd0a599ecd1c,129.0,275a5af053702eb9e9364b8d5e0de059965839548a5870dd2f38884f1993f8fc
7,129.0,275a5af053702eb9e9364b8d5e0de059965839548a5870dd2f38884f1993f8fc,128.0,e807198a3d6df8737bc6a9ed821f6085da2b8e476a2a3783f70f8455e540409a
7,128.0,e807198a3d6df8737bc6a9ed821f6085da2b8e476a2a3783f70f8455e540409a,115.0,80476af0f454c5d3476b5552d53e12419d79335783271cec5d34236f6c75154d
7,115.0,80476af0f454c5d3476b5552d53e12419d79335783271cec5d34236f6c75154d,110.0,37bf90176e98c131530e91a01965231fe6b4d1df97d2d6aebd69e129bec9edc6
7,110.0,37bf90176e98c131530e91a01965231fe6b4d1df97d2d6aebd69e129bec9edc6,109.0,a2ac3b1167021a54a80935c80a985521a9246715a5d61c21a1cf23cf6695cc2a
8,201.0,9c79ccdb1ebb1c85149c6fde6ff262a5efb97e4c0dd320be84140190d200bf4a,193.0,e3b4bf3abea67852563231db7d4d821eaa5f5b1d4368fb23652ac373667a4121
8,193.0,e3b4bf3abea67852563231db7d4d821eaa5f5b1d4368fb23652ac373667a4121,136.0,0767c86ca413bf1fff3702c6a9504ccf1dda88fc734afaf1a754903fbe8c9259
8,136.0,0767c86ca413bf1fff3702c6a9504ccf1dda88fc734afaf1a754903fbe8c9259,135.0,8e55b9c21ec35f1ab71243a35ce271c3e4d7edbc93bb9b64162f7beb77b5737b
