Run,Fitness1,Solution1,Fitness2,Solution2
1,112.0,d18263b5cb3d81e3e7ef830d4e5143f0e98c9fd7a07bab73d2844fd0dc58d07d,116.0,4c1d77cf5e1123c03e8cbe8e01dcdeb6d4b146ca1d6c157fdf312d42713c3ea6
1,116.0,4c1d77cf5e1123c03e8cbe8e01dcdeb6d4b146ca1d6c157fdf312d42713c3ea6,121.0,939649169115a9550927fe0079f6a7f32da18e923676d7e49a349bf73a3c6a9e
1,121.0,939649169115a9550927fe0079f6a7f32da18e923676d7e49a349bf73a3c6a9e,114.0,7618f66753db7ec069c83ed8c197708e1402396774f60961065addd678933871
1,114.0,7618f66753db7ec069c83ed8c197708e1402396774f60961065addd678933871,119.0,6a7bd1b72911ab800d1f1806f3d0f2b0d44dbb87ed4411fc841c40b8e704687a
1,119.0,6a7bd1b72911ab800d1f1806f3d0f2b0d44dbb87ed4411fc841c40b8e704687a,109.0,b18e24d6972b3ee28b88c76930c18361fe8a6c0c1e435e68f4684f88a4fcb969
2,122.0,51bc366093bf71200a278c545a303778aa7173cd835031bbf585407bc1971fae,116.0,1b527626476d0b34565bc1ed5db94a5afbd946fa618ea3441dd5bae7dc84a97a
2,116.0,1b527626476d0b34565bc1ed5db94a5afbd946fa618ea3441dd5bae7dc84a97a,110.0,a9d1db23ed4264a618413b69269ca8291f59bfa2df569408c382bb60717e272f
2,110.0,a9d1db23ed4264a618413b69269ca8291f59bfa2df569408c382bb60717e272f,115.0,d3718bc7b24679cca7327014275ee1e5a741de337e893ca249b90ea17ab65ad4
2,115.0,d3718bc7b24679cca7327014275ee1e5a741de337e893ca249b90ea17ab65ad4,109.0,01949ad79c88b74c8799592029b613ab94055f9e7b938f68a021ea0c2262f1e6
2,109.0,01949ad79c88b74c8799592029b613ab94055f9e7b938f68a021ea0c2262f1e6,109.0,2d1b48bcb5f89d4789523f0bc68bc8ccb1855e98fd34fc8ee35be1499b81844f
2,109.0,2d1b48bcb5f89d4789523f0bc68bc8ccb1855e98fd34fc8ee35be1499b81844f,109.0,01949ad79c88b74c8799592029b613ab94055f9e7b938f68a021ea0c2262f1e6
3,115.0,e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75,121.0,939649169115a9550927fe0079f6a7f32da18e923676d7e49a349bf73a3c6a9e
3,121.0,939649169115a9550927fe0079f6a7f32da18e923676d7e49a349bf73a3c6a9e,134.0,205b2cce1d0220683fcd07cd08731ccf2b1398583f32f22ae05aea31dd0995e3
3,134.0,205b2cce1d0220683fcd07cd08731ccf2b1398583f32f22ae05aea31dd0995e3,119.0,bcb15f821479b4d5772bd0ca866c00ad5f926e3580720659cc80d39c9d09802a
3,119.0,bcb15f821479b4d5772bd0ca866c00ad5f926e3580720659cc80d39c9d09802a,111.0,8162e509861bf0b9ccdb512d6abb780ed03beacb777c62b761562a9c2458de5d
3,111.0,8162e509861bf0b9ccdb512d6abb780ed03beacb777c62b761562a9c2458de5d,110.0,acc494ea40d1e917d049091a704e38f40a1691cb9c96344f6cf4f3b2d3358aeb
3,110.0,acc494ea40d1e917d049091a704e38f40a1691cb9c96344f6cf4f3b2d3358aeb,109.0,a196abe9912783d3ec50f8395e8ad30bfdb0388ce0b25bf56de1b223eabf16b1
4,127.0,02d3838b75d7e187845c6f0860489937330ee479c4cb5d94f016072c32189554,129.0,fbfcfb829348a5bf40064ad642931ea07ada814820a3c3ad98247dab5a00c72d
4,129.0,fbfcfb829348a5bf40064ad642931ea07ada814820a3c3ad98247dab5a00c72d,131.0,d3dd01b70a42b6e091eb12e5a2d55912c73d8abac3ab97c0fcf39aa35fc35927
4,131.0,d3dd01b70a42b6e091eb12e5a2d55912c73d8abac3ab97c0fcf39aa35fc35927,119.0,6a7bd1b72911ab800d1f1806f3d0f2b0d44dbb87ed4411fc841c40b8e704687a
4,119.0,6a7bd1b72911ab800d1f1806f3d0f2b0d44dbb87ed4411fc841c40b8e704687a,115.0,d3718bc7b24679cca7327014275ee1e5a741de337e893ca249b90ea17ab65ad4
4,115.0,d3718bc7b24679cca7327014275ee1e5a741de337e893ca249b90ea17ab65ad4,109.0,a196abe9912783d3ec50f8395e8ad30bfdb0388ce0b25bf56de1b223eabf16b1
4,109.0,a196abe9912783d3ec50f8395e8ad30bfdb0388ce0b25bf56de1b223eabf16b1,110.0,f08f388091e1784c01710b8aa51ca3a009071c61900c280b30c2634a90e2edd7
4,110.0,f08f388091e1784c01710b8aa51ca3a009071c61900c280b30c2634a90e2edd7,109.0,b18e24d6972b3ee28b88c76930c18361fe8a6c0c1e435e68f4684f88a4fcb969
5,112.0,1c24f7f4f0b13a0f08c04ba315a765ae800fc1555dfbdf4bd66ec3861d12aedf,113.0,c1087a9f7483ef7bd2cef1c2fb1e63fccff9cb733f17c629d5e7573f4711ef03
5,113.0,c1087a9f7483ef7bd2cef1c2fb1e63fccff9cb733f17c629d5e7573f4711ef03,122.0,51bc366093bf71200a278c545a303778aa7173cd835031bbf585407bc1971fae
5,122.0,51bc366093bf71200a278c545a303778aa7173cd835031bbf585407bc1971fae,109.0,1875e9921945f51e3f39d59b252c6b741597333583ecab95adcdbc431f2c79a6
5,109.0,1875e9921945f51e3f39d59b252c6b741597333583ecab95adcdbc431f2c79a6,109.0,a196abe9912783d3ec50f8395e8ad30bfdb0388ce0b25bf56de1b223eabf16b1
5,109.0,a196abe9912783d3ec50f8395e8ad30bfdb0388ce0b25bf56de1b223eabf16b1,110.0,a9d1db23ed4264a618413b69269ca8291f59bfa2df569408c382bb60717e272f
5,110.0,a9d1db23ed4264a618413b69269ca8291f59bfa2df569408c382bb60717e272f,109.0,2d1b48bcb5f89d4789523f0bc68bc8ccb1855e98fd34fc8ee35be1499b81844f
6,114.0,1e6c30ab91d1f1d61996ae17bc9af1ca8bcded8a0414de79258dc0c52d2215ee,134.0,740b504574f2bc5d27b06c79a4477194c40990c8f066d5df34faa285c30c23ba
6,134.0,740b504574f2bc5d27b06c79a4477194c40990c8f066d5df34faa285c30c23ba,130.0,a78b7c21dc8ed6694424e4afcd8ccc7e45f9b454f2deec3e84bbb1befe1baeb9
6,130.0,a78b7c21dc8ed6694424e4afcd8ccc7e45f9b454f2deec3e84bbb1befe1baeb9,109.0,b18e24d6972b3ee28b88c76930c18361fe8a6c0c1e435e68f4684f88a4fcb969
6,109.0,b18e24d6972b3ee28b88c76930c18361fe8a6c0c1e435e68f4684f88a4fcb969,127.0,d8e5345f84c30ae46cd3756beaee6455f8349d21ed6e33e951ca6a496ab504ae
6,127.0,d8e5345f84c30ae46cd3756beaee6455f8349d21ed6e33e951ca6a496ab504ae,116.0,1b527626476d0b34565bc1ed5db94a5afbd946fa618ea3441dd5bae7dc84a97a
6,116.0,1b527626476d0b34565bc1ed5db94a5afbd946fa618ea3441dd5bae7dc84a97a,109.0,01949ad79c88b74c8799592029b613ab94055f9e7b938f68a021ea0c2262f1e6
6,109.0,01949ad79c88b74c8799592029b613ab94055f9e7b938f68a021ea0c2262f1e6,110.0,4250041a2c9a323864ef0d88195fa1d5a71aa837f78f7fa4a77bd3f3d8a875fd
6,110.0,4250041a2c9a323864ef0d88195fa1d5a71aa837f78f7fa4a77bd3f3d8a875fd,109.0,1875e9921945f51e3f39d59b252c6b741597333583ecab95adcdbc431f2c79a6
7,117.0,81c5cd1bcca9c78d8d51c76dfb1770bf6509f09c3760179060f12057cf2281ee,139.0,3e88cbd17f70ce4affa0d5a73cfb918a715ae1cbfda235edf432230a5f0e94fa
7,139.0,3e88cbd17f70ce4affa0d5a73cfb918a715ae1cbfda235edf432230a5f0e94fa,131.0,28c5cc9f0c3cfd9d1e6a1bba44f47e520688275184e8e935d6c26f5eec2297d3
7,131.0,28c5cc9f0c3cfd9d1e6a1bba44f47e520688275184e8e935d6c26f5eec2297d3,121.0,939649169115a9550927fe0079f6a7f32da18e923676d7e49a349bf73a3c6a9e
7,121.0,939649169115a9550927fe0079f6a7f32da18e923676d7e49a349bf73a3c6a9e,129.0,fbfcfb829348a5bf40064ad642931ea07ada814820a3c3ad98247dab5a00c72d
7,129.0,fbfcfb829348a5bf40064ad642931ea07ada814820a3c3ad98247dab5a00c72d,129.0,969dec739dc7361d7100168b1adc48f69a2158ad065b4524ede34e40f6c626c9
7,129.0,969dec739dc7361d7100168b1adc48f69a2158ad065b4524ede34e40f6c626c9,114.0,e97a44fa6d92742292eb3f4694badacf96540a2f3405f2d57c52fffe9f3c4ee7
7,114.0,e97a44fa6d92742292eb3f4694badacf96540a2f3405f2d57c52fffe9f3c4ee7,109.0,1875e9921945f51e3f39d59b252c6b741597333583ecab95adcdbc431f2c79a6
7,109.0,1875e9921945f51e3f39d59b252c6b741597333583ecab95adcdbc431f2c79a6,109.0,01949ad79c88b74c8799592029b613ab94055f9e7b938f68a021ea0c2262f1e6
8,112.0,4639346f504e511dca2c51d4429f26f1e9bd758a65d87135fe8bbdcb54c033a1,193.0,f836f436ed8f47dc82e4fc3b5d4a2ffb2bb4df116c16a5c4c4b89f120ec18ee4
8,193.0,f836f436ed8f47dc82e4fc3b5d4a2ffb2bb4df116c16a5c4c4b89f120ec18ee4,136.0,ac4c8e9867776e5909e2ed257a850642230962adba12e34121f05ce03642ae8f
8,136.0,ac4c8e9867776e5909e2ed257a850642230962adba12e34121f05ce03642ae8f,135.0,73d6a4f41269146becc132a7b3622abe2413c3754fce7111a54f69bc63f69709
8,135.0,73d6a4f41269146becc132a7b3622abe2413c3754fce7111a54f69bc63f69709,131.0,28c5cc9f0c3cfd9d1e6a1bba44f47e520688275184e8e935d6c26f5eec2297d3
8,131.0,28c5cc9f0c3cfd9d1e6a1bba44f47e520688275184e8e935d6c26f5eec2297d3,115.0,d3718bc7b24679cca7327014275ee1e5a741de337e893ca249b90ea17ab65ad4
8,115.0,d3718bc7b24679cca7327014275ee1e5a741de337e893ca249b90ea17ab65ad4,110.0,a9d1db23ed4264a618413b69269ca8291f59bfa2df569408c382bb60717e272f
8,110.0,a9d1db23ed4264a618413b69269ca8291f59bfa2df569408c382bb60717e272f,109.0,b18e24d6972b3ee28b88c76930c18361fe8a6c0c1e435e68f4684f88a4fcb969
8,109.0,b18e24d6972b3ee28b88c76930c18361fe8a6c0c1e435e68f4684f88a4fcb969,109.0,2d1b48bcb5f89d4789523f0bc68bc8ccb1855e98fd34fc8ee35be1499b81844f
9,119.0,6a7bd1b72911ab800d1f1806f3d0f2b0d44dbb87ed4411fc841c40b8e704687a,131.0,e13733d9305592cb21939f9525f2e216866b2d85cbf12c1ea3f3fce754e47997
9,131.0,e13733d9305592cb21939f9525f2e216866b2d85cbf12c1ea3f3fce754e47997,129.0,fbfcfb829348a5bf40064ad642931ea07ada814820a3c3ad98247dab5a00c72d
9,129.0,fbfcfb829348a5bf40064ad642931ea07ada814820a3c3ad98247dab5a00c72d,113.0,0a1d18a485f77dcee53ea81f1010276b67153b745219afc4eac4288045f5ca3d
9,113.0,0a1d18a485f77dcee53ea81f1010276b67153b745219afc4eac4288045f5ca3d,111.0,8162e509861bf0b9ccdb512d6abb780ed03beacb777c62b761562a9c2458de5d
9,111.0,8162e509861bf0b9ccdb512d6abb780ed03beacb777c62b761562a9c2458de5d,110.0,4250041a2c9a323864ef0d88195fa1d5a71aa837f78f7fa4a77bd3f3d8a875fd
9,110.0,4250041a2c9a323864ef0d88195fa1d5a71aa837f78f7fa4a77bd3f3d8a875fd,109.0,1875e9921945f51e3f39d59b252c6b741597333583ecab95adcdbc431f2c79a6
10,132.0,91b4d142823f7d20c5f08df69122de43f35f057a988d9619f6d3138485c9a203,109.0,a196abe9912783d3ec50f8395e8ad30bfdb0388ce0b25bf56de1b223eabf16b1
