Run,Fitness1,Solution1,Fitness2,Solution2
1,134.0,1e6c30ab91d1f1d61996ae17bc9af1ca8bcded8a0414de79258dc0c52d2215ee,126.0,4c1d77cf5e1123c03e8cbe8e01dcdeb6d4b146ca1d6c157fdf312d42713c3ea6
1,126.0,4c1d77cf5e1123c03e8cbe8e01dcdeb6d4b146ca1d6c157fdf312d42713c3ea6,111.0,1875e9921945f51e3f39d59b252c6b741597333583ecab95adcdbc431f2c79a6
1,111.0,1875e9921945f51e3f39d59b252c6b741597333583ecab95adcdbc431f2c79a6,127.0,f836f436ed8f47dc82e4fc3b5d4a2ffb2bb4df116c16a5c4c4b89f120ec18ee4
1,127.0,f836f436ed8f47dc82e4fc3b5d4a2ffb2bb4df116c16a5c4c4b89f120ec18ee4,126.0,acc494ea40d1e917d049091a704e38f40a1691cb9c96344f6cf4f3b2d3358aeb
1,126.0,acc494ea40d1e917d049091a704e38f40a1691cb9c96344f6cf4f3b2d3358aeb,109.0,605495d4fb634b06466ff9d0b25343091690585401cc94f47e71c4b68a4f2611
2,134.0,1e6c30ab91d1f1d61996ae17bc9af1ca8bcded8a0414de79258dc0c52d2215ee,127.0,d3dd01b70a42b6e091eb12e5a2d55912c73d8abac3ab97c0fcf39aa35fc35927
2,127.0,d3dd01b70a42b6e091eb12e5a2d55912c73d8abac3ab97c0fcf39aa35fc35927,126.0,73d6a4f41269146becc132a7b3622abe2413c3754fce7111a54f69bc63f69709
2,126.0,73d6a4f41269146becc132a7b3622abe2413c3754fce7111a54f69bc63f69709,111.0,1875e9921945f51e3f39d59b252c6b741597333583ecab95adcdbc431f2c79a6
2,111.0,1875e9921945f51e3f39d59b252c6b741597333583ecab95adcdbc431f2c79a6,111.0,f08f388091e1784c01710b8aa51ca3a009071c61900c280b30c2634a90e2edd7
2,111.0,f08f388091e1784c01710b8aa51ca3a009071c61900c280b30c2634a90e2edd7,109.0,caf42c350b933954e087b008bb5f8457f6cd247f4c06788ecd804a3a8c35cfe1
3,195.0,2a057642222a878bc360f52f8e1f0dfd2af93196f123269397423155a4ec4884,136.0,3bb78535cc9555ff19fe3556aaa41c78a0a45c64d49ba2bc564507648a8e77a1
3,136.0,3bb78535cc9555ff19fe3556aaa41c78a0a45c64d49ba2bc564507648a8e77a1,126.0,acc494ea40d1e917d049091a704e38f40a1691cb9c96344f6cf4f3b2d3358aeb
3,126.0,acc494ea40d1e917d049091a704e38f40a1691cb9c96344f6cf4f3b2d3358aeb,127.0,f836f436ed8f47dc82e4fc3b5d4a2ffb2bb4df116c16a5c4c4b89f120ec18ee4
3,127.0,f836f436ed8f47dc82e4fc3b5d4a2ffb2bb4df116c16a5c4c4b89f120ec18ee4,111.0,1875e9921945f51e3f39d59b252c6b741597333583ecab95adcdbc431f2c79a6
3,111.0,1875e9921945f51e3f39d59b252c6b741597333583ecab95adcdbc431f2c79a6,109.0,605495d4fb634b06466ff9d0b25343091690585401cc94f47e71c4b68a4f2611
3,109.0,605495d4fb634b06466ff9d0b25343091690585401cc94f47e71c4b68a4f2611,109.0,caf42c350b933954e087b008bb5f8457f6cd247f4c06788ecd804a3a8c35cfe1
4,191.0,9273c499a75ff31fcd1444f6b1bac768ab93ed86475a4202c7ad5466363f0cfe,127.0,cf30dd9cb78f6ac2b479da8e9f6952160d28e0589c53368d64ca9505d5202181
4,127.0,cf30dd9cb78f6ac2b479da8e9f6952160d28e0589c53368d64ca9505d5202181,126.0,73d6a4f41269146becc132a7b3622abe2413c3754fce7111a54f69bc63f69709
4,126.0,73d6a4f41269146becc132a7b3622abe2413c3754fce7111a54f69bc63f69709,127.0,cf30dd9cb78f6ac2b479da8e9f6952160d28e0589c53368d64ca9505d5202181
