Run,Fitness1,Solution1,Fitness2,Solution2
1,132.0,1b9317e00c027abf9df3e2626888e54412f0bf8cc7e0280704e170fabd2b2dd9,131.0,fde236cac862deda34450aa2b68e1b44689cc5b9a2220bcb97a765bc140fc4dc
1,131.0,fde236cac862deda34450aa2b68e1b44689cc5b9a2220bcb97a765bc140fc4dc,117.0,6800e3598f1ff5d029cfccfb1531a49119edb769bc87e4f5e13cfa513ccae4f3
1,117.0,6800e3598f1ff5d029cfccfb1531a49119edb769bc87e4f5e13cfa513ccae4f3,111.0,dc001a7af65531f65370e9a1ff90e40f36241de666bb3622a67117c0bb854c7c
1,111.0,dc001a7af65531f65370e9a1ff90e40f36241de666bb3622a67117c0bb854c7c,110.0,1603b65d75c464a5373134628d0984b565fe2b909cfe1fe643b860e4e730ca23
1,110.0,1603b65d75c464a5373134628d0984b565fe2b909cfe1fe643b860e4e730ca23,109.0,e9135e2f3fff661167137b1d6d54334c69fdd42aa9745034fcda9360ac549d49
2,133.0,86e14da3ca93be28bdefc8d0f6e33884657831a2925ad8779509127046b750d6,114.0,3259069a68eca77c814fa5ff0e2408cdaf2c9e25464fa76143b7889d638ea632
2,114.0,3259069a68eca77c814fa5ff0e2408cdaf2c9e25464fa76143b7889d638ea632,111.0,f1e15c3fcab5198d26c8130d6ee3fe435eaf88012d7b51f75a527dc8f905a11e
2,111.0,f1e15c3fcab5198d26c8130d6ee3fe435eaf88012d7b51f75a527dc8f905a11e,110.0,d6c68046cbfcfa2e23b41d62026569aac1538fc2d24f94c528daaeafdaa5141a
2,110.0,d6c68046cbfcfa2e23b41d62026569aac1538fc2d24f94c528daaeafdaa5141a,109.0,f9143788aa205e5bbe2d53f030a9e1c30afbf62b053ede8285212255955fb037
3,132.0,b25d1bcfec66a8f1ca9869bce4a3154ef2bab6b6f5524a000d9244204c559556,116.0,7c95e83817057db4b8a801d57e9cda68e5539049b1735d39a6f223a308416331
3,116.0,7c95e83817057db4b8a801d57e9cda68e5539049b1735d39a6f223a308416331,112.0,98a0a333bf237c183c15ed5dd38fd1d7eef1b0caa1c84c03ae72e34edf86fca9
3,112.0,98a0a333bf237c183c15ed5dd38fd1d7eef1b0caa1c84c03ae72e34edf86fca9,110.0,08c953cfef8d45ac44c0d68239889edd796a8ac403d44f2fed406b4486594264
3,110.0,08c953cfef8d45ac44c0d68239889edd796a8ac403d44f2fed406b4486594264,109.0,1811df242a380d9305ca032c57583988b63b4a64b2117f152ef70a38bfb6508e
4,133.0,a3074e93be41512962948966915281b6bb64e777ca53e88c92e891727656f37d,132.0,0b253c10c1ca23a702801091d482f4caa952400c2264d08d32dfd85371efbe96
4,132.0,0b253c10c1ca23a702801091d482f4caa952400c2264d08d32dfd85371efbe96,113.0,6c75ed74f0747a58699ff5553df91076c5c79162dfcf9fa6dcadaab802cad9cf
4,113.0,6c75ed74f0747a58699ff5553df91076c5c79162dfcf9fa6dcadaab802cad9cf,112.0,2ceccd483918b29326099933af1cd0e5d45286b31467234b47bd1de9e5c3ef60
4,112.0,2ceccd483918b29326099933af1cd0e5d45286b31467234b47bd1de9e5c3ef60,111.0,d9f402cae7a0dd537a398b0aedce1173873bd8449669ae27654cf9551cb36458
4,111.0,d9f402cae7a0dd537a398b0aedce1173873bd8449669ae27654cf9551cb36458,110.0,e0e24f5d77034cd1ba859250bec6d91dd53a3dd84513c88a662b02c945330276
4,110.0,e0e24f5d77034cd1ba859250bec6d91dd53a3dd84513c88a662b02c945330276,109.0,faae2f43810ada08b6f5ac7a96fad5c3eaf4741bd93adbebc469d07a0983e466
