Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,530b389f2ed237d55ab7b91556486a0d33bd191bab438cdde1ae561055be08dd,195.0,25cfa13e246c64701b4cb3d10df0cf5f6fa9970af8b3e961b01de097f050c059
1,195.0,25cfa13e246c64701b4cb3d10df0cf5f6fa9970af8b3e961b01de097f050c059,130.0,a5e014904d9cb493f79e152ec91ed6c86b1ec2da13619d7728e8e53fb615be3f
1,130.0,a5e014904d9cb493f79e152ec91ed6c86b1ec2da13619d7728e8e53fb615be3f,128.0,3e3385196198c7793a2f30e428a364cd15b5658f7d3341502a9a11a7ab0d5ef6
1,128.0,3e3385196198c7793a2f30e428a364cd15b5658f7d3341502a9a11a7ab0d5ef6,126.0,db94fc81f8cc1dd82a14953d678ad72678fe09c170ce7a9b7d29f05ca585015c
1,126.0,db94fc81f8cc1dd82a14953d678ad72678fe09c170ce7a9b7d29f05ca585015c,110.0,519a10d630ecbee85864cfab49f00d37a3233c94beec253df912b9a7a02f4574
1,110.0,519a10d630ecbee85864cfab49f00d37a3233c94beec253df912b9a7a02f4574,109.0,8928d61fdde5c57c84de21c2653c83a213bb05e997f2d4d72fdadc5fc34d4afc
2,205.0,40af5f9f48773de4f71b85d7a16c8e1beef263ffe19adf3aa3f8dab7ba6e0209,135.0,ee0175dac0d0f54eafa58174813b27b8a7f1c407b77f9e6455fd5ab69e367a2b
2,135.0,ee0175dac0d0f54eafa58174813b27b8a7f1c407b77f9e6455fd5ab69e367a2b,129.0,e9e0fbae7f764bf085c277809b0c3c9d363162b64b86d2bdfdd2a1ccc88bbec1
2,129.0,e9e0fbae7f764bf085c277809b0c3c9d363162b64b86d2bdfdd2a1ccc88bbec1,128.0,5e21df1d9e26c3495edb6679ded46f2ddfe213a64dd528a2674c91e839695624
2,128.0,5e21df1d9e26c3495edb6679ded46f2ddfe213a64dd528a2674c91e839695624,109.0,2bc62c3189b8edf03fd28398b4d82daafc2e7df05f2e72dbcaea98c1c3ac1a71
2,109.0,2bc62c3189b8edf03fd28398b4d82daafc2e7df05f2e72dbcaea98c1c3ac1a71,110.0,2135a3ba3bf2d74842db90daea6f88d5fbffd1bc3689856308f8d439737a52f4
2,110.0,2135a3ba3bf2d74842db90daea6f88d5fbffd1bc3689856308f8d439737a52f4,109.0,aac8be6e3fd233459f90babe39952c6d8ed2f679db48a648362375f876fef717
3,195.0,3fcc0d01f10464307c4b15209b54e0f6766b4c0f015f816ddd8f9c08c71695cd,136.0,117027ff5ccf8ac81f5a2491a8a813e6213f540b48d17614bafafd63b9f80c8b
3,136.0,117027ff5ccf8ac81f5a2491a8a813e6213f540b48d17614bafafd63b9f80c8b,134.0,22017a254066834a83126d2d8dffdd9f47b371c3c8c589f3c2ed2128e95416af
3,134.0,22017a254066834a83126d2d8dffdd9f47b371c3c8c589f3c2ed2128e95416af,127.0,5d8569ec522b7460be98e26a21f375e0c0277dd3d82ca0fd6dd606f0625a7c08
3,127.0,5d8569ec522b7460be98e26a21f375e0c0277dd3d82ca0fd6dd606f0625a7c08,111.0,383c45d0afe9981eba9d621e3d51f3761b2bd24c4b521b477450bfe3a842c092
3,111.0,383c45d0afe9981eba9d621e3d51f3761b2bd24c4b521b477450bfe3a842c092,110.0,8fc8a95ada2a65246da8dc7d70a3b19d32f12d004320f6e5b4fb4db6153a5b6f
3,110.0,8fc8a95ada2a65246da8dc7d70a3b19d32f12d004320f6e5b4fb4db6153a5b6f,109.0,86cc3afb240b87a285a23bdfb58e9a9379a13b8f394e18a32295caf5264f943e
