Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,06263edac2cc10e87010b24d67287b4f324330bdca3bac364d4968310df6cd2e,195.0,153e2d7499952c0b570654f955fb31a15c7205c040ad79b8affd282d71611aa7
1,195.0,153e2d7499952c0b570654f955fb31a15c7205c040ad79b8affd282d71611aa7,130.0,3f56e0a2fee5f5eb47551a3357afb5304836c51deed68735c131bb6137bc8ef5
1,130.0,3f56e0a2fee5f5eb47551a3357afb5304836c51deed68735c131bb6137bc8ef5,128.0,1f7b6d37936911029cf079549cb5e5503f5fc0122f502a67e27cbe3c9d2cffd6
1,128.0,1f7b6d37936911029cf079549cb5e5503f5fc0122f502a67e27cbe3c9d2cffd6,126.0,58218f940b75733367d0e0391e1368be8e89613374de4efa216b2b9b4dce9723
1,126.0,58218f940b75733367d0e0391e1368be8e89613374de4efa216b2b9b4dce9723,110.0,4ee53a3aea40e2a075ba097f805e7d8a13b8980730cd2b30cded9a1a50a521f6
1,110.0,4ee53a3aea40e2a075ba097f805e7d8a13b8980730cd2b30cded9a1a50a521f6,109.0,f42b6cd39b87da5cc7ab48611ff1910e8ed9a8899bf94cfaf4c9f45e8cd10610
2,205.0,a6244a713bd446d68325a2782b2060f8e2baa1aef96aadb96c48bdea18e9ed97,135.0,4a1532582a800e055af64be2df2a42ee64c27f81aeb1e09cdc7f3294c7381804
2,135.0,4a1532582a800e055af64be2df2a42ee64c27f81aeb1e09cdc7f3294c7381804,129.0,5b06048775b0ac49170f5ad16b791e76cc77d46fbaa454299de09e38f10159c8
2,129.0,5b06048775b0ac49170f5ad16b791e76cc77d46fbaa454299de09e38f10159c8,128.0,9b2b9fa1cdede111b357aec08436b5ce2d78fd3faf67aaf0a1dabe3e91350ced
2,128.0,9b2b9fa1cdede111b357aec08436b5ce2d78fd3faf67aaf0a1dabe3e91350ced,109.0,315d045eee74d4d88af409992d00083ce8a9b2b2629c626737a6168910945994
2,109.0,315d045eee74d4d88af409992d00083ce8a9b2b2629c626737a6168910945994,110.0,baf68d95ac0e4c403f65ebfd709440393b1f6d21ac173b6e7da6bfc3b4f6c717
2,110.0,baf68d95ac0e4c403f65ebfd709440393b1f6d21ac173b6e7da6bfc3b4f6c717,109.0,e9a2b0eaa52ebff8f5035672fa29a6c35c724a30056366821429f85018b78d3a
3,195.0,a158b6740c76e32a08e783c71c2c7ee50f75d250fb54b4290f62bba769816964,136.0,dfc9b436a6dbe6f512675edf2e756de5e44dd5ce19784abad0a71d9422da30d0
3,136.0,dfc9b436a6dbe6f512675edf2e756de5e44dd5ce19784abad0a71d9422da30d0,134.0,5169e4b0b7e5d60885120685ec0450a95402aadc14f582ed3717b50495b7d4ca
3,134.0,5169e4b0b7e5d60885120685ec0450a95402aadc14f582ed3717b50495b7d4ca,127.0,a0b4a78e2525188bc47cef9e7c7b4c66870dc8c359aeeeac13e5d09a99f4f92f
3,127.0,a0b4a78e2525188bc47cef9e7c7b4c66870dc8c359aeeeac13e5d09a99f4f92f,111.0,32b021f6177abcbdef40655a8fb7d6a4b1a23ad92a7b53bb5d178be6be44ddc7
3,111.0,32b021f6177abcbdef40655a8fb7d6a4b1a23ad92a7b53bb5d178be6be44ddc7,110.0,11b004fa0bd56f6932ddc42430f17e70bd247da8598471183e03c7df1edfb1ad
3,110.0,11b004fa0bd56f6932ddc42430f17e70bd247da8598471183e03c7df1edfb1ad,109.0,e3d4dc206eb0325531ddd4c04da73f0619944c1c2d73dd1279168e6af78ab829
4,191.0,7feaf167bc0715519d8b8cb7c70c724d917b6f46248f1c404ee38b73696b1ac0,134.0,fa19d0c2f21ec773b5fd441e0c12de6f763edf3f2b46c1968cb62543e80cdb01
4,134.0,fa19d0c2f21ec773b5fd441e0c12de6f763edf3f2b46c1968cb62543e80cdb01,131.0,3a507eca6e323550d27c705ef1c92c048d132796a2968305bf1cb1c21f73c44a
4,131.0,3a507eca6e323550d27c705ef1c92c048d132796a2968305bf1cb1c21f73c44a,129.0,2e16cb01ba7d16291863181932e3fe10f0b91fafa7843059142af43530e80cf5
4,129.0,2e16cb01ba7d16291863181932e3fe10f0b91fafa7843059142af43530e80cf5,127.0,5c8d6bdba6495433da6fa8a6f30e12e40132b93a4337b0db54f4491dc40b160d
4,127.0,5c8d6bdba6495433da6fa8a6f30e12e40132b93a4337b0db54f4491dc40b160d,111.0,3a1aa1219d328df6e13d2e3dc08fd4c59559787a595315b8a986f10b6122afe1
4,111.0,3a1aa1219d328df6e13d2e3dc08fd4c59559787a595315b8a986f10b6122afe1,110.0,97816633743b3ada07b7c2bfd545c06f77b42ebee1ded93e4fa1ba91c9895631
4,110.0,97816633743b3ada07b7c2bfd545c06f77b42ebee1ded93e4fa1ba91c9895631,109.0,f42b6cd39b87da5cc7ab48611ff1910e8ed9a8899bf94cfaf4c9f45e8cd10610
5,196.0,055b6c59401901dfbcd19f3eb2264b0f62930a93603f6b7b5368d994b57192c9,138.0,35b813c205e7b3ae5b27f76580457bef1c46d12afd10adaa1e4f13c2c6881552
5,138.0,35b813c205e7b3ae5b27f76580457bef1c46d12afd10adaa1e4f13c2c6881552,132.0,b67e04eb989a7937e9ef7ff1f5097c25474e4ba9a0e40b70ba07bf3662663466
5,132.0,b67e04eb989a7937e9ef7ff1f5097c25474e4ba9a0e40b70ba07bf3662663466,131.0,df78ebba0e8cbcc715931300f63408e20d6916b2fcaaa68172da93b6f396bb6d
5,131.0,df78ebba0e8cbcc715931300f63408e20d6916b2fcaaa68172da93b6f396bb6d,129.0,88e49e64f13bbd65be382ad23ac5172e6c561bb75bfa367f2090c9d9070c6048
5,129.0,88e49e64f13bbd65be382ad23ac5172e6c561bb75bfa367f2090c9d9070c6048,128.0,c0f0b571c73fd6bc9723325b0ad52947cf8af2eea0696723f5ff417abebb910e
5,128.0,c0f0b571c73fd6bc9723325b0ad52947cf8af2eea0696723f5ff417abebb910e,110.0,876e1ec882983348899557f12531f606b7211111750f3f9fb4969f37c23efafc
5,110.0,876e1ec882983348899557f12531f606b7211111750f3f9fb4969f37c23efafc,109.0,d40a2293d97963941301bc6a01179d3ac1e321cbead75a66fcf1c0b5b0b8b4d5
6,193.0,4782b8f82e55e9390685be244aac03b401ad4233da320dd3638e10f4dd8be400,134.0,b8e089022dd03b681ce1a31d601e2d1b5cb6dd9a3e740d71be692bdff0267a42
6,134.0,b8e089022dd03b681ce1a31d601e2d1b5cb6dd9a3e740d71be692bdff0267a42,130.0,d8ef75c66b29b9465e986121687fb59ed13f27585fc5666ba7a5de36f6bc8e1b
6,130.0,d8ef75c66b29b9465e986121687fb59ed13f27585fc5666ba7a5de36f6bc8e1b,129.0,272dedc0ac23f88226b7a99af7a120f0baaacccc4e77127e62c441f33fcc5079
6,129.0,272dedc0ac23f88226b7a99af7a120f0baaacccc4e77127e62c441f33fcc5079,127.0,ec4ff8c57be93280450909b7196c50d89211e4b5b293cc3538dfe5341c596118
6,127.0,ec4ff8c57be93280450909b7196c50d89211e4b5b293cc3538dfe5341c596118,126.0,bfefdb634ee751de683bd4d6e51b3ed7cbae17afa4bfc2c90af6b6dddfabf8ed
6,126.0,bfefdb634ee751de683bd4d6e51b3ed7cbae17afa4bfc2c90af6b6dddfabf8ed,111.0,54cde335bc6f2adfeb260ad95579ab60bfb657ef37226cb2c80a535801ea3f65
6,111.0,54cde335bc6f2adfeb260ad95579ab60bfb657ef37226cb2c80a535801ea3f65,110.0,ca227b339bb916226cc78a2cf9afcf4af58dac9f7b0cd66d6462bbc4fd1f1140
6,110.0,ca227b339bb916226cc78a2cf9afcf4af58dac9f7b0cd66d6462bbc4fd1f1140,109.0,5739e302ab6350777113a5d339721ef9c1ff4d64d7d9feab98482b463c546f27
7,200.0,597253215f53e6162b01a3ad0a013da21e478228d9d763c9b4571e896360d1e6,139.0,d2004d8f7f3cd487cf768f086a73fff4fac86c47501f00f527a644e0e8b094e9
7,139.0,d2004d8f7f3cd487cf768f086a73fff4fac86c47501f00f527a644e0e8b094e9,135.0,da467eb234959a00719cb4d4b20dbc489bdc43d366006287e546fd03618fd63a
7,135.0,da467eb234959a00719cb4d4b20dbc489bdc43d366006287e546fd03618fd63a,134.0,0bfcf746048f35b55ee87d2793d5d2918e00116c840f3f628a58df023ef2d7d4
7,134.0,0bfcf746048f35b55ee87d2793d5d2918e00116c840f3f628a58df023ef2d7d4,130.0,57e481f520adbdfd3400b2c673d8c153eacbaea0d1325b81d1fbaed010ad2a50
7,130.0,57e481f520adbdfd3400b2c673d8c153eacbaea0d1325b81d1fbaed010ad2a50,129.0,bd678d13fcf4161435a8b5da9ba4eb20c98cd3702e4143e8193177c137bf1e24
7,129.0,bd678d13fcf4161435a8b5da9ba4eb20c98cd3702e4143e8193177c137bf1e24,128.0,7cdf219bc5414c6185c62c9495d0cd20c57cb91670d1751ff86780aeab620423
7,128.0,7cdf219bc5414c6185c62c9495d0cd20c57cb91670d1751ff86780aeab620423,115.0,589d790c3f204040c1a93f48d53d5af84b9ffd5ecfe7057ee9575d303a843f8c
7,115.0,589d790c3f204040c1a93f48d53d5af84b9ffd5ecfe7057ee9575d303a843f8c,109.0,e9a2b0eaa52ebff8f5035672fa29a6c35c724a30056366821429f85018b78d3a
