Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,d7ff0d8807d99658dbd4ba429ae1c9afb98acc2b1911fcc779bf9faed235e863,195.0,1f99ef2c555f19469fadca597d369750bd4db9ff13575aaadf2670377811774d
1,195.0,1f99ef2c555f19469fadca597d369750bd4db9ff13575aaadf2670377811774d,130.0,2ff85885e1a4c54399f6ffa4fe00a7cc5423af5fa8195758bbc2dbf6cb079029
1,130.0,2ff85885e1a4c54399f6ffa4fe00a7cc5423af5fa8195758bbc2dbf6cb079029,128.0,1a2526a0a96df5bfb5570ac489836bb052ee775c16aad08f946415556eb4ae05
1,128.0,1a2526a0a96df5bfb5570ac489836bb052ee775c16aad08f946415556eb4ae05,126.0,47fda738b5f60467db9eb6a36dc69e50479edc783ae9180de172ad73bfb6e903
1,126.0,47fda738b5f60467db9eb6a36dc69e50479edc783ae9180de172ad73bfb6e903,110.0,f6ac8bbf48ddf99a65b57658ce3fcfef375faf5f505612beb71761d1f90f3e0e
1,110.0,f6ac8bbf48ddf99a65b57658ce3fcfef375faf5f505612beb71761d1f90f3e0e,109.0,ebed918e093705a357680d05db4426239dd1a389d84f33bf5d6f84d4fe1a4ae3
2,205.0,ac3c9b869b5bf9849c4b8a7121e1ea9845b4a71b52c743f76bc20a8e12a30401,135.0,96e404b6b824a10ea2765bb56d42186d25520938eac74d0d27856278c17f5a72
2,135.0,96e404b6b824a10ea2765bb56d42186d25520938eac74d0d27856278c17f5a72,129.0,bbfff354852a4a0c376acecd4790a11932b416e3ac8b3340ff3e8306c95ea635
2,129.0,bbfff354852a4a0c376acecd4790a11932b416e3ac8b3340ff3e8306c95ea635,128.0,3a46a353a7b23e52eec35f9454d47d61639f20bdaa73009b198b7274efde4aaf
2,128.0,3a46a353a7b23e52eec35f9454d47d61639f20bdaa73009b198b7274efde4aaf,111.0,3462c4307d48ff56bfc87ab880ee6c259242b2976bfc995db3359bd73d390f0c
2,111.0,3462c4307d48ff56bfc87ab880ee6c259242b2976bfc995db3359bd73d390f0c,110.0,0e92a6d49cf170631c2c84a3d5d0dc0205ca3ebf87534adaeaaa94963c6762bb
2,110.0,0e92a6d49cf170631c2c84a3d5d0dc0205ca3ebf87534adaeaaa94963c6762bb,109.0,bc0beedcd169ec9b9eca7ddf10de4543726a1d2ebf1d516a3166c339f1c541b7
3,195.0,15b9d474fc07b3f962cd6d4a09a02a8527fc299436a0c16ab929d953a33977ae,136.0,78114cf865e2553648827ecae28c55068396e20c7e95c01a316502535a0b63f0
3,136.0,78114cf865e2553648827ecae28c55068396e20c7e95c01a316502535a0b63f0,134.0,13752c3e95e0bcc01b76024625bb18b529a8c69716e2ef848147cac431f83d9f
3,134.0,13752c3e95e0bcc01b76024625bb18b529a8c69716e2ef848147cac431f83d9f,127.0,75b8360dce3ead3a5a6f6a47496b1dbd56206bd13c297f0f2354ad14ec8368ff
3,127.0,75b8360dce3ead3a5a6f6a47496b1dbd56206bd13c297f0f2354ad14ec8368ff,111.0,80aae24b5f0b86f39682a7e27abd546151af87eab611f982f945f7890919d1d5
3,111.0,80aae24b5f0b86f39682a7e27abd546151af87eab611f982f945f7890919d1d5,110.0,3ddddb9589230baa71d0dd0ef91c9071b5899120d68f552c19dc16d1abc2bd2a
3,110.0,3ddddb9589230baa71d0dd0ef91c9071b5899120d68f552c19dc16d1abc2bd2a,109.0,c007c3f2fb3657c1fe1d2de3f1bbd4f865aab5d23126b23b50d4db58e4f77b51
4,191.0,23985dad8f5050c895fbfc74e2aecf8f803158ce4e3470b052653f4c021c3129,134.0,2f3999217b21c1081d1dceeae9f3d31d3787079c6990ab91f1dd9da74408e3e3
4,134.0,2f3999217b21c1081d1dceeae9f3d31d3787079c6990ab91f1dd9da74408e3e3,131.0,6ff41b630e278fbe98f578b53978363726838f2f7cc930813b7c4148ff61e591
4,131.0,6ff41b630e278fbe98f578b53978363726838f2f7cc930813b7c4148ff61e591,129.0,56a155e90464436d4c4f442ce7e47af2e12d4052163e5bb69223d4ebb4f2d457
4,129.0,56a155e90464436d4c4f442ce7e47af2e12d4052163e5bb69223d4ebb4f2d457,127.0,638cb6c2c735371a535169486252eaf8256f5fd3487d8684b7621d2694c193b4
4,127.0,638cb6c2c735371a535169486252eaf8256f5fd3487d8684b7621d2694c193b4,111.0,3b1ddf3dadd7d899919bc5f51961508b836753122091df97a3bcd75d279f5dd3
4,111.0,3b1ddf3dadd7d899919bc5f51961508b836753122091df97a3bcd75d279f5dd3,110.0,1b15df304f0af82fd937318ad0e43c97c32dd7c6e235ef4969a84dc6640697a8
4,110.0,1b15df304f0af82fd937318ad0e43c97c32dd7c6e235ef4969a84dc6640697a8,109.0,bd3086eb2d66d2cd92772fd8480ae0014d6fa46199eb1c864589e7943a65b2e5
5,196.0,0364fcf46cc3a3fb24b9e7b8915f03a8bb87c72f002374f28922a822879e045f,138.0,00f12067da13e17c0383e234b42f11d8a1d7b8450e618370acba637e95e0b6a0
5,138.0,00f12067da13e17c0383e234b42f11d8a1d7b8450e618370acba637e95e0b6a0,132.0,814823bc07af62ba7ea38f8fefdce9b672bbc724f637d73a29141787b5970822
5,132.0,814823bc07af62ba7ea38f8fefdce9b672bbc724f637d73a29141787b5970822,131.0,1ceecd06a65b11ae00efc8dec5f0448a60a64a31f236ecfd4f22280c392be6e2
5,131.0,1ceecd06a65b11ae00efc8dec5f0448a60a64a31f236ecfd4f22280c392be6e2,129.0,daada9831af953b9f686fb988faad3240e525fc1735d67ca52f06d816cde3e39
5,129.0,daada9831af953b9f686fb988faad3240e525fc1735d67ca52f06d816cde3e39,128.0,054c21c111275ff6c0398c570cd6561d725209ab1a11bb3230c02c755f5d77be
5,128.0,054c21c111275ff6c0398c570cd6561d725209ab1a11bb3230c02c755f5d77be,110.0,06e4ae331b6445cf81e6a5b5284d8d6efc4ec0d6d1f7a3ab9042109501faff7e
5,110.0,06e4ae331b6445cf81e6a5b5284d8d6efc4ec0d6d1f7a3ab9042109501faff7e,109.0,1b85d508f3343b26c40af651a5ad3a8d602847508b5795b308b9b429ab2efd46
6,193.0,293858a458f4096538da0b8169dfdef95babe88de216a59a2e9061fe4dd1621c,134.0,279b96a016155595b60f78ee3786608dc5bcc4a05075205ccbe8b25e7809cfb7
6,134.0,279b96a016155595b60f78ee3786608dc5bcc4a05075205ccbe8b25e7809cfb7,130.0,9efcb53a13665fbe6c507b069b3fb41622cd1294d001661bd0e5ff4075c81574
6,130.0,9efcb53a13665fbe6c507b069b3fb41622cd1294d001661bd0e5ff4075c81574,129.0,9fc0a5a448a857b3fed3f8a8be695c0ab03c5c80ad1bd1a0663c6765c40ea077
6,129.0,9fc0a5a448a857b3fed3f8a8be695c0ab03c5c80ad1bd1a0663c6765c40ea077,127.0,07981644481ce3d2ece5118178a581bee06fdc7df582a95e34522abb8dfd6b58
6,127.0,07981644481ce3d2ece5118178a581bee06fdc7df582a95e34522abb8dfd6b58,126.0,a60f05f629e9f3f0d1799f1ba2f64268e6d434feafb018c83dd54386c67ce651
6,126.0,a60f05f629e9f3f0d1799f1ba2f64268e6d434feafb018c83dd54386c67ce651,111.0,b17e3dcaeac4061941d8195f05d1125d68de8f74a4c07a8e269d440770e7e6df
6,111.0,b17e3dcaeac4061941d8195f05d1125d68de8f74a4c07a8e269d440770e7e6df,110.0,a4aa70ca88d90c7f4ca62827635b0ad6f76b9ff72bcb609542ec52cb576af110
6,110.0,a4aa70ca88d90c7f4ca62827635b0ad6f76b9ff72bcb609542ec52cb576af110,109.0,57c45cadd3b47164497b5aa4e5d2785f93d72a7499ccd1c9da60359c481610a0
7,200.0,7e733f6ad864844e0c0828c23f977722453f29e89f9de475b5bac4667cf534c8,139.0,2d7b5e4dce9e89032bb35a6c217b0b73eea9b30820eed9607d7049ba339cb812
7,139.0,2d7b5e4dce9e89032bb35a6c217b0b73eea9b30820eed9607d7049ba339cb812,135.0,ee6040a51cf047113a0a1ea1d61d472bae4f591718c1d09030ee7663b8cbe009
7,135.0,ee6040a51cf047113a0a1ea1d61d472bae4f591718c1d09030ee7663b8cbe009,134.0,4e75aeecc67707111023a360b96fc2ae44f7d6d73c249493713e1d7cf8de8ec0
7,134.0,4e75aeecc67707111023a360b96fc2ae44f7d6d73c249493713e1d7cf8de8ec0,130.0,4a4d08b53bc11aedf86ddb8968566fbe8be08b498d273723a3e46c9eeb6349c0
7,130.0,4a4d08b53bc11aedf86ddb8968566fbe8be08b498d273723a3e46c9eeb6349c0,129.0,f12bb28bb52f0dbabf165683ce325b5f277e5a8f6304fda14344069d8219ab9d
7,129.0,f12bb28bb52f0dbabf165683ce325b5f277e5a8f6304fda14344069d8219ab9d,128.0,2deb1a5fc4badb8648ed3154d16258153bbed6d21945e717d531b22ec999d0f3
7,128.0,2deb1a5fc4badb8648ed3154d16258153bbed6d21945e717d531b22ec999d0f3,115.0,4d31c919ba465e5103ae042b73976bebed5198c474c0544bd57c9adceb176593
7,115.0,4d31c919ba465e5103ae042b73976bebed5198c474c0544bd57c9adceb176593,110.0,8341d42bdfc7fb2da3b6652ed634d21055852467f8d841c2d6cf7db898163167
7,110.0,8341d42bdfc7fb2da3b6652ed634d21055852467f8d841c2d6cf7db898163167,109.0,333435d103a3b451fd1b950f69c9df666d051e9f666836d110bac8e6f0f3431a
8,201.0,36927a3f977a0dab44a5cfd6ef57c5dd2eb629170ce95797da358a6d0254ba9f,193.0,c02a171e4ecdb45d0aedb2e00ea6b415aaed990bf2ab231eab2d82773ea33fa6
8,193.0,c02a171e4ecdb45d0aedb2e00ea6b415aaed990bf2ab231eab2d82773ea33fa6,136.0,13c472bd0fd2faf7577f2456f40bdcb85a3a41cdeaaaa5ecb8afaed4b3e52c14
8,136.0,13c472bd0fd2faf7577f2456f40bdcb85a3a41cdeaaaa5ecb8afaed4b3e52c14,135.0,d4e6f82daa29e17a4e27006eb200aea24338841b0bdaaab25e6213e96cd50ac3
8,135.0,d4e6f82daa29e17a4e27006eb200aea24338841b0bdaaab25e6213e96cd50ac3,131.0,436b6b06955afd9bf14b6a5775d2ec2beb53cc30bad8bd13df7c04ce3e020ed4
8,131.0,436b6b06955afd9bf14b6a5775d2ec2beb53cc30bad8bd13df7c04ce3e020ed4,130.0,b67c6be723678ddbdd02bf55811dd131a6b2cace22d6326378f4910105f347d9
8,130.0,b67c6be723678ddbdd02bf55811dd131a6b2cace22d6326378f4910105f347d9,127.0,441f07f6cc22bc03253a5da6a061eed91611c6391ee5015d0c298422b3769977
8,127.0,441f07f6cc22bc03253a5da6a061eed91611c6391ee5015d0c298422b3769977,110.0,1509dd272dfce03c70c97fc6c008d11642cfd138eace4e5bbda093a4ddbf2569
8,110.0,1509dd272dfce03c70c97fc6c008d11642cfd138eace4e5bbda093a4ddbf2569,109.0,52a272a13e2f6829b1ad27c8affda826e0648f79a07f821c4ed26a2b1c85bacb
9,132.0,660f9f4884acf96a771761486d6318eec023e95024ac260f8b0dad85e5edd8e1,131.0,165a488bf0066148d8ac9c2e7d76f1bc64be8b72e4327357bd9a5ffc4e84710b
9,131.0,165a488bf0066148d8ac9c2e7d76f1bc64be8b72e4327357bd9a5ffc4e84710b,129.0,062b694ffc837b4d103300cc6e86d1163622dbd02cae52c81b7cc084b053e4ff
9,129.0,062b694ffc837b4d103300cc6e86d1163622dbd02cae52c81b7cc084b053e4ff,128.0,dcac7069eb8e7c35198870c980e5844247769a6ab0140e824c2c9973ef22f72b
9,128.0,dcac7069eb8e7c35198870c980e5844247769a6ab0140e824c2c9973ef22f72b,111.0,a71525b137d413228d1db89d75460b6a70b679d802bd3b7e9137749c47eedd34
9,111.0,a71525b137d413228d1db89d75460b6a70b679d802bd3b7e9137749c47eedd34,110.0,f1ec8945f7f0ad37716c06b54c48c02c256970eac34eeb862318ffa50a3fd911
9,110.0,f1ec8945f7f0ad37716c06b54c48c02c256970eac34eeb862318ffa50a3fd911,109.0,31021823a6e697160a18aae4735ba636a6eadd3b0d96d9a75af557751c7eff1f
10,209.0,72b533dac4d3170cb8de7e48f3afeb695f69eb07faf083dc5fc7e0f71de26002,201.0,0b48fd45d4cbf530b7c71adcd86b1812beec0bf95d02199ee64c959ea5fcdca5
10,201.0,0b48fd45d4cbf530b7c71adcd86b1812beec0bf95d02199ee64c959ea5fcdca5,195.0,7aa616f28ed17dc641853953aa0791b662807763042d230e4e72165ca29b8efb
10,195.0,7aa616f28ed17dc641853953aa0791b662807763042d230e4e72165ca29b8efb,135.0,c93f82158d439f6c1bcfc2ce54143643e9079162c0ada56ced158e23c7e3de90
10,135.0,c93f82158d439f6c1bcfc2ce54143643e9079162c0ada56ced158e23c7e3de90,126.0,cf75d97df3f1530f5d83198cc1d746f95fbb1c6126053df8d48e946563433ad3
10,126.0,cf75d97df3f1530f5d83198cc1d746f95fbb1c6126053df8d48e946563433ad3,112.0,b3369c5737ff0d32df962cb697323e72b6a98c3bde6fda6e85eefc6c068e19df
10,112.0,b3369c5737ff0d32df962cb697323e72b6a98c3bde6fda6e85eefc6c068e19df,110.0,2e440ba344e82fccd4f214d96f637a93f0c63fc0917476f011ee256762ae6545
10,110.0,2e440ba344e82fccd4f214d96f637a93f0c63fc0917476f011ee256762ae6545,109.0,c15e371e5fbdb281f450f8cd6089bd18587b26265a2c9acb7c149c4933de84f6
