Run,Fitness1,Solution1,Fitness2,Solution2
1,115.0,e872e5dd519be7bb325bc6847a030a7e34ddbc0fd3b71fb41b5472146a82862a,113.0,83b01594a2e122339a56e438b9b214fd6e52c0764bb656b9924cec1cd07245fc
1,113.0,83b01594a2e122339a56e438b9b214fd6e52c0764bb656b9924cec1cd07245fc,109.0,81f02f38fbb07afd9b206fc23b23b252b7541a85c2d14cbedda6e9014dc5dcd8
1,109.0,81f02f38fbb07afd9b206fc23b23b252b7541a85c2d14cbedda6e9014dc5dcd8,113.0,83b01594a2e122339a56e438b9b214fd6e52c0764bb656b9924cec1cd07245fc
1,113.0,83b01594a2e122339a56e438b9b214fd6e52c0764bb656b9924cec1cd07245fc,109.0,81f02f38fbb07afd9b206fc23b23b252b7541a85c2d14cbedda6e9014dc5dcd8
1,109.0,81f02f38fbb07afd9b206fc23b23b252b7541a85c2d14cbedda6e9014dc5dcd8,113.0,83b01594a2e122339a56e438b9b214fd6e52c0764bb656b9924cec1cd07245fc
1,113.0,83b01594a2e122339a56e438b9b214fd6e52c0764bb656b9924cec1cd07245fc,110.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708
2,114.0,25f0d9bd686d3b5c80d5ab7119f9a9dcedccb13195042e3b632278029a0343f6,112.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47
2,112.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47,120.0,db757b73dcd501203e0148fb2ac8cb90c76be44c207d981bcc2dcf9c3c78d5d0
2,120.0,db757b73dcd501203e0148fb2ac8cb90c76be44c207d981bcc2dcf9c3c78d5d0,118.0,90ee7f52a4de94f36a61af8a991b6fd69283c876f4d0aedb6873018c4eec50db
2,118.0,90ee7f52a4de94f36a61af8a991b6fd69283c876f4d0aedb6873018c4eec50db,111.0,ddf3ff7c110ced585a4061e3a3c66f7051fe6847fd4b561f03bbad2b072a9cf0
2,111.0,ddf3ff7c110ced585a4061e3a3c66f7051fe6847fd4b561f03bbad2b072a9cf0,115.0,8597f1e3043654da36e26467d59c6c6bbc9c44d498cc15ab2f91fc84440bbc35
2,115.0,8597f1e3043654da36e26467d59c6c6bbc9c44d498cc15ab2f91fc84440bbc35,111.0,e443169117a184f91186b401133b20be670c7c0896f9886075e5d9b81e9d076b
2,111.0,e443169117a184f91186b401133b20be670c7c0896f9886075e5d9b81e9d076b,112.0,e961ba8ecc78e96392273dd9021ae3908f7148716455a4d5fa83739bb1476154
2,112.0,e961ba8ecc78e96392273dd9021ae3908f7148716455a4d5fa83739bb1476154,111.0,ddf3ff7c110ced585a4061e3a3c66f7051fe6847fd4b561f03bbad2b072a9cf0
3,110.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068,120.0,81c7883d08afb46d4bc0d118dd96d30124701ef1c6e0e90e70a6b37f9383f951
3,120.0,81c7883d08afb46d4bc0d118dd96d30124701ef1c6e0e90e70a6b37f9383f951,130.0,75d28d201d1167eda893ccff2d4bf03b19d425625678bdd5bbc3dd5765014589
3,130.0,75d28d201d1167eda893ccff2d4bf03b19d425625678bdd5bbc3dd5765014589,117.0,4c9bf88bc02a3ea8c292f151e5d7895abc5f963363613f5d52764350df2cb869
3,117.0,4c9bf88bc02a3ea8c292f151e5d7895abc5f963363613f5d52764350df2cb869,114.0,24dc9bebea86dd4149d86b7ab672714b2c60b6e76e3f8809133c7f29b5c2d180
3,114.0,24dc9bebea86dd4149d86b7ab672714b2c60b6e76e3f8809133c7f29b5c2d180,111.0,c1d17b87a5a3905071d821268e78cd9f8b4741d3162de825054ef9d0543b5116
3,111.0,c1d17b87a5a3905071d821268e78cd9f8b4741d3162de825054ef9d0543b5116,110.0,e7042ac7d09c7bc41c8cfa5749e41858f6980643bc0db1a83cc793d3e24d3f77
3,110.0,e7042ac7d09c7bc41c8cfa5749e41858f6980643bc0db1a83cc793d3e24d3f77,111.0,c1d17b87a5a3905071d821268e78cd9f8b4741d3162de825054ef9d0543b5116
3,111.0,c1d17b87a5a3905071d821268e78cd9f8b4741d3162de825054ef9d0543b5116,113.0,b76ceb1259540da2d4d97657e25450dfb9fd522995b0e340100c420931aa61a4
3,113.0,b76ceb1259540da2d4d97657e25450dfb9fd522995b0e340100c420931aa61a4,110.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708
4,131.0,83dc8ab9acc8e45c2d2dec3e34a08e2c1e84c91cef7262fb086f0192040fa4cf,112.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47
4,112.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47,110.0,e7042ac7d09c7bc41c8cfa5749e41858f6980643bc0db1a83cc793d3e24d3f77
4,110.0,e7042ac7d09c7bc41c8cfa5749e41858f6980643bc0db1a83cc793d3e24d3f77,115.0,8597f1e3043654da36e26467d59c6c6bbc9c44d498cc15ab2f91fc84440bbc35
4,115.0,8597f1e3043654da36e26467d59c6c6bbc9c44d498cc15ab2f91fc84440bbc35,127.0,82243db0f119039859f6dd169e3009b23971cfa5634eec63b6f5a3246313d7f0
4,127.0,82243db0f119039859f6dd169e3009b23971cfa5634eec63b6f5a3246313d7f0,120.0,81c7883d08afb46d4bc0d118dd96d30124701ef1c6e0e90e70a6b37f9383f951
4,120.0,81c7883d08afb46d4bc0d118dd96d30124701ef1c6e0e90e70a6b37f9383f951,119.0,d17f25ecfbcc7857f7bebea469308be0b2580943e96d13a3ad98a13675c4bfc2
4,119.0,d17f25ecfbcc7857f7bebea469308be0b2580943e96d13a3ad98a13675c4bfc2,111.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42
4,111.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42,110.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708
4,110.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708,114.0,24dc9bebea86dd4149d86b7ab672714b2c60b6e76e3f8809133c7f29b5c2d180
4,114.0,24dc9bebea86dd4149d86b7ab672714b2c60b6e76e3f8809133c7f29b5c2d180,110.0,e7042ac7d09c7bc41c8cfa5749e41858f6980643bc0db1a83cc793d3e24d3f77
5,119.0,d17f25ecfbcc7857f7bebea469308be0b2580943e96d13a3ad98a13675c4bfc2,110.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068
5,110.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068,110.0,e7042ac7d09c7bc41c8cfa5749e41858f6980643bc0db1a83cc793d3e24d3f77
5,110.0,e7042ac7d09c7bc41c8cfa5749e41858f6980643bc0db1a83cc793d3e24d3f77,115.0,e872e5dd519be7bb325bc6847a030a7e34ddbc0fd3b71fb41b5472146a82862a
5,115.0,e872e5dd519be7bb325bc6847a030a7e34ddbc0fd3b71fb41b5472146a82862a,111.0,c1d17b87a5a3905071d821268e78cd9f8b4741d3162de825054ef9d0543b5116
5,111.0,c1d17b87a5a3905071d821268e78cd9f8b4741d3162de825054ef9d0543b5116,131.0,83dc8ab9acc8e45c2d2dec3e34a08e2c1e84c91cef7262fb086f0192040fa4cf
5,131.0,83dc8ab9acc8e45c2d2dec3e34a08e2c1e84c91cef7262fb086f0192040fa4cf,110.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708
5,110.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708,111.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42
5,111.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42,110.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708
5,110.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708,109.0,72b209306c1a1031b9b3dbec63cf58b0beabbf3e3f0a40c63ef5df093b62dfb8
5,109.0,72b209306c1a1031b9b3dbec63cf58b0beabbf3e3f0a40c63ef5df093b62dfb8,109.0,4a01ae2c6a1801146dcb069e710f702f1292edfca9a9c302e7fe18d2eed0cea0
5,109.0,4a01ae2c6a1801146dcb069e710f702f1292edfca9a9c302e7fe18d2eed0cea0,110.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068
6,109.0,48a26f566b1a8decc716b50b26d67708882b46e1ab6d5771606a271d276b4e0e,115.0,e872e5dd519be7bb325bc6847a030a7e34ddbc0fd3b71fb41b5472146a82862a
6,115.0,e872e5dd519be7bb325bc6847a030a7e34ddbc0fd3b71fb41b5472146a82862a,118.0,90ee7f52a4de94f36a61af8a991b6fd69283c876f4d0aedb6873018c4eec50db
6,118.0,90ee7f52a4de94f36a61af8a991b6fd69283c876f4d0aedb6873018c4eec50db,113.0,83b01594a2e122339a56e438b9b214fd6e52c0764bb656b9924cec1cd07245fc
6,113.0,83b01594a2e122339a56e438b9b214fd6e52c0764bb656b9924cec1cd07245fc,110.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068
6,110.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068,109.0,81f02f38fbb07afd9b206fc23b23b252b7541a85c2d14cbedda6e9014dc5dcd8
6,109.0,81f02f38fbb07afd9b206fc23b23b252b7541a85c2d14cbedda6e9014dc5dcd8,111.0,e443169117a184f91186b401133b20be670c7c0896f9886075e5d9b81e9d076b
7,109.0,13068ca63ad0eddea5ba6641cc284b2da0b670b7a8db6f139961c7e065bd9096,112.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47
7,112.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47,109.0,48a26f566b1a8decc716b50b26d67708882b46e1ab6d5771606a271d276b4e0e
7,109.0,48a26f566b1a8decc716b50b26d67708882b46e1ab6d5771606a271d276b4e0e,115.0,e872e5dd519be7bb325bc6847a030a7e34ddbc0fd3b71fb41b5472146a82862a
7,115.0,e872e5dd519be7bb325bc6847a030a7e34ddbc0fd3b71fb41b5472146a82862a,109.0,48a26f566b1a8decc716b50b26d67708882b46e1ab6d5771606a271d276b4e0e
7,109.0,48a26f566b1a8decc716b50b26d67708882b46e1ab6d5771606a271d276b4e0e,115.0,e872e5dd519be7bb325bc6847a030a7e34ddbc0fd3b71fb41b5472146a82862a
7,115.0,e872e5dd519be7bb325bc6847a030a7e34ddbc0fd3b71fb41b5472146a82862a,114.0,25f0d9bd686d3b5c80d5ab7119f9a9dcedccb13195042e3b632278029a0343f6
7,114.0,25f0d9bd686d3b5c80d5ab7119f9a9dcedccb13195042e3b632278029a0343f6,112.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47
8,111.0,c1d17b87a5a3905071d821268e78cd9f8b4741d3162de825054ef9d0543b5116,120.0,81c7883d08afb46d4bc0d118dd96d30124701ef1c6e0e90e70a6b37f9383f951
8,120.0,81c7883d08afb46d4bc0d118dd96d30124701ef1c6e0e90e70a6b37f9383f951,113.0,39e5b4830d4d9c14db7368a95b65d5463ea3d09520373723430c03a5a453b5df
8,113.0,39e5b4830d4d9c14db7368a95b65d5463ea3d09520373723430c03a5a453b5df,112.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47
8,112.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47,114.0,24dc9bebea86dd4149d86b7ab672714b2c60b6e76e3f8809133c7f29b5c2d180
8,114.0,24dc9bebea86dd4149d86b7ab672714b2c60b6e76e3f8809133c7f29b5c2d180,112.0,e961ba8ecc78e96392273dd9021ae3908f7148716455a4d5fa83739bb1476154
8,112.0,e961ba8ecc78e96392273dd9021ae3908f7148716455a4d5fa83739bb1476154,111.0,c1d17b87a5a3905071d821268e78cd9f8b4741d3162de825054ef9d0543b5116
9,129.0,e0b96ef61f099f34011402befffdbac429df0578de5a66489bb4704109b56bca,113.0,b76ceb1259540da2d4d97657e25450dfb9fd522995b0e340100c420931aa61a4
9,113.0,b76ceb1259540da2d4d97657e25450dfb9fd522995b0e340100c420931aa61a4,111.0,c1d17b87a5a3905071d821268e78cd9f8b4741d3162de825054ef9d0543b5116
9,111.0,c1d17b87a5a3905071d821268e78cd9f8b4741d3162de825054ef9d0543b5116,114.0,24dc9bebea86dd4149d86b7ab672714b2c60b6e76e3f8809133c7f29b5c2d180
