Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,2257697ba4e690e7c8a106cd2d3791a125f8cfcaf3126c3cbce186017e276914,195.0,9297449e80fd6ad8262e239cc80011125caa485dff56b0bdba4a57ffca2243b7
1,195.0,9297449e80fd6ad8262e239cc80011125caa485dff56b0bdba4a57ffca2243b7,111.0,3710b9adddae141c5bd4227077dce199cd382eeb4617e8e4ef72a30391c609f3
1,111.0,3710b9adddae141c5bd4227077dce199cd382eeb4617e8e4ef72a30391c609f3,127.0,0ebdc162c92fc34d9f78d059936c203b0dc3bcefc135b4d978da207edab38546
1,127.0,0ebdc162c92fc34d9f78d059936c203b0dc3bcefc135b4d978da207edab38546,126.0,2159192fcf5fa4222306fc6a942bd4007398f8f14c4358dd40d2c2ae1bd8cc9d
1,126.0,2159192fcf5fa4222306fc6a942bd4007398f8f14c4358dd40d2c2ae1bd8cc9d,109.0,25e460ca434594fe4b972e6dec92abc42e1fa6693713bf9ffcae95876bbfd775
2,134.0,3e7c6782cd35e44f5ee5eb0c29f13045de3ce9ba0bc578cb9c417521bde231f0,127.0,14ec116a770ea76d699c7467b2c3082725d369a7813493fc25b60d2695ec30c5
2,127.0,14ec116a770ea76d699c7467b2c3082725d369a7813493fc25b60d2695ec30c5,126.0,258b8a5bd66937a0c9ecce5dbed72f2f19f62485af5a0a76924af40a80215d80
2,126.0,258b8a5bd66937a0c9ecce5dbed72f2f19f62485af5a0a76924af40a80215d80,128.0,c59dabec1d665335ed8b5ab1347e9bb1cea7a831e3c428e23cbfd17feb59cf7d
2,128.0,c59dabec1d665335ed8b5ab1347e9bb1cea7a831e3c428e23cbfd17feb59cf7d,111.0,332b10fcbae8f39f21601dd68ccebf1ac0f857fa1100e091a0e56035e9593279
2,111.0,332b10fcbae8f39f21601dd68ccebf1ac0f857fa1100e091a0e56035e9593279,109.0,5836164713bcd72a555e6784802065113d6627d178e0202d7b91b7a6371f051b
3,195.0,4e06b81699a6e125998b6652a6a9d1839a0fdd72df599ba0e79df6f0b5117dca,136.0,fc54ea7d3f083edca6c51782f13090802a58cd339c4b6353fa5aa03d693a936d
3,136.0,fc54ea7d3f083edca6c51782f13090802a58cd339c4b6353fa5aa03d693a936d,126.0,2159192fcf5fa4222306fc6a942bd4007398f8f14c4358dd40d2c2ae1bd8cc9d
3,126.0,2159192fcf5fa4222306fc6a942bd4007398f8f14c4358dd40d2c2ae1bd8cc9d,127.0,0ebdc162c92fc34d9f78d059936c203b0dc3bcefc135b4d978da207edab38546
3,127.0,0ebdc162c92fc34d9f78d059936c203b0dc3bcefc135b4d978da207edab38546,111.0,3710b9adddae141c5bd4227077dce199cd382eeb4617e8e4ef72a30391c609f3
3,111.0,3710b9adddae141c5bd4227077dce199cd382eeb4617e8e4ef72a30391c609f3,109.0,25e460ca434594fe4b972e6dec92abc42e1fa6693713bf9ffcae95876bbfd775
3,109.0,25e460ca434594fe4b972e6dec92abc42e1fa6693713bf9ffcae95876bbfd775,109.0,5836164713bcd72a555e6784802065113d6627d178e0202d7b91b7a6371f051b
4,191.0,459c2daec5458568864215c57d12fa0ae28243b080971bb90d09fe020f8f265e,127.0,2ff696de83ad729a118794bb4037a593f4a168726b4df74cb2fb0b88792cb7ae
4,127.0,2ff696de83ad729a118794bb4037a593f4a168726b4df74cb2fb0b88792cb7ae,126.0,258b8a5bd66937a0c9ecce5dbed72f2f19f62485af5a0a76924af40a80215d80
4,126.0,258b8a5bd66937a0c9ecce5dbed72f2f19f62485af5a0a76924af40a80215d80,127.0,2ff696de83ad729a118794bb4037a593f4a168726b4df74cb2fb0b88792cb7ae
4,127.0,2ff696de83ad729a118794bb4037a593f4a168726b4df74cb2fb0b88792cb7ae,127.0,8faa311102f3d7c7e28b0d2f113b901412b576ef7d7484c9a8f9fced3c63d382
4,127.0,8faa311102f3d7c7e28b0d2f113b901412b576ef7d7484c9a8f9fced3c63d382,110.0,bb3158fa61f413093dfcebb259e33d8eed16ff1dd92f03f8a7d98027fc0631a4
4,110.0,bb3158fa61f413093dfcebb259e33d8eed16ff1dd92f03f8a7d98027fc0631a4,109.0,25e460ca434594fe4b972e6dec92abc42e1fa6693713bf9ffcae95876bbfd775
4,109.0,25e460ca434594fe4b972e6dec92abc42e1fa6693713bf9ffcae95876bbfd775,109.0,5836164713bcd72a555e6784802065113d6627d178e0202d7b91b7a6371f051b
5,131.0,7834710d4f70dcf76723306e64a280681985331d00d3d785e7ea533cff516eb6,127.0,0ebdc162c92fc34d9f78d059936c203b0dc3bcefc135b4d978da207edab38546
5,127.0,0ebdc162c92fc34d9f78d059936c203b0dc3bcefc135b4d978da207edab38546,130.0,6da21f8975f53c826ca0cd92588799a8dbda30d89a445605f0b6cc62d070b2df
5,130.0,6da21f8975f53c826ca0cd92588799a8dbda30d89a445605f0b6cc62d070b2df,131.0,b7cd5f330d159c06c14895ed68731a4be28f898c52e352e0236a15bc5fea4757
5,131.0,b7cd5f330d159c06c14895ed68731a4be28f898c52e352e0236a15bc5fea4757,129.0,98b5f1ce0b3f7358371fcd68025c504b9a284cc4bbf665733897248ebd21e115
5,129.0,98b5f1ce0b3f7358371fcd68025c504b9a284cc4bbf665733897248ebd21e115,128.0,2743dac64d9b769f3308834c1cb3d1bfc9cb0533f62e2ddc98af1822c62adfe5
5,128.0,2743dac64d9b769f3308834c1cb3d1bfc9cb0533f62e2ddc98af1822c62adfe5,110.0,88c8c5dbb9938b17ba25c59892d27fc4214b45020433d3acf1659cb94cf3cffd
5,110.0,88c8c5dbb9938b17ba25c59892d27fc4214b45020433d3acf1659cb94cf3cffd,109.0,ce8df574ddd97bbad968a25ef95c3ac8e2040a83f872e7d75bd4d2950435801a
6,193.0,452298b09fa2a704b4e60f6827a382be159f5990330f4e0a766a89ebb6a36c4d,134.0,c130f3776d182d869a6d02727b8953f581603fe216d4fcf58de6e7d8bec29355
6,134.0,c130f3776d182d869a6d02727b8953f581603fe216d4fcf58de6e7d8bec29355,130.0,6da21f8975f53c826ca0cd92588799a8dbda30d89a445605f0b6cc62d070b2df
6,130.0,6da21f8975f53c826ca0cd92588799a8dbda30d89a445605f0b6cc62d070b2df,126.0,2159192fcf5fa4222306fc6a942bd4007398f8f14c4358dd40d2c2ae1bd8cc9d
6,126.0,2159192fcf5fa4222306fc6a942bd4007398f8f14c4358dd40d2c2ae1bd8cc9d,127.0,14ec116a770ea76d699c7467b2c3082725d369a7813493fc25b60d2695ec30c5
6,127.0,14ec116a770ea76d699c7467b2c3082725d369a7813493fc25b60d2695ec30c5,126.0,258b8a5bd66937a0c9ecce5dbed72f2f19f62485af5a0a76924af40a80215d80
6,126.0,258b8a5bd66937a0c9ecce5dbed72f2f19f62485af5a0a76924af40a80215d80,109.0,25e460ca434594fe4b972e6dec92abc42e1fa6693713bf9ffcae95876bbfd775
6,109.0,25e460ca434594fe4b972e6dec92abc42e1fa6693713bf9ffcae95876bbfd775,110.0,a6bd6c075db6fb140892341bde5a05ac51cb15bfd02d1d670e113cb47376cc4c
6,110.0,a6bd6c075db6fb140892341bde5a05ac51cb15bfd02d1d670e113cb47376cc4c,109.0,ce8df574ddd97bbad968a25ef95c3ac8e2040a83f872e7d75bd4d2950435801a
7,132.0,e9a956ead8d346ea85c3d92a1646aa884ba67609ac5e12e6ede00c69515e0bdd,127.0,8faa311102f3d7c7e28b0d2f113b901412b576ef7d7484c9a8f9fced3c63d382
7,127.0,8faa311102f3d7c7e28b0d2f113b901412b576ef7d7484c9a8f9fced3c63d382,135.0,e73bbc655197170c9a5460a56d0af21cc1ce7fae76b087419704db4bcdbbb319
7,135.0,e73bbc655197170c9a5460a56d0af21cc1ce7fae76b087419704db4bcdbbb319,134.0,3e7c6782cd35e44f5ee5eb0c29f13045de3ce9ba0bc578cb9c417521bde231f0
7,134.0,3e7c6782cd35e44f5ee5eb0c29f13045de3ce9ba0bc578cb9c417521bde231f0,127.0,14ec116a770ea76d699c7467b2c3082725d369a7813493fc25b60d2695ec30c5
7,127.0,14ec116a770ea76d699c7467b2c3082725d369a7813493fc25b60d2695ec30c5,129.0,21bd26348294f106c450a00615732272a1cc4a436203da89a15ca85be3a760e6
7,129.0,21bd26348294f106c450a00615732272a1cc4a436203da89a15ca85be3a760e6,128.0,03618377cb9bafbd5f45ed12b5f14c19c6a4fbebc9c0a33191f8bbcba0297093
7,128.0,03618377cb9bafbd5f45ed12b5f14c19c6a4fbebc9c0a33191f8bbcba0297093,110.0,bb3158fa61f413093dfcebb259e33d8eed16ff1dd92f03f8a7d98027fc0631a4
7,110.0,bb3158fa61f413093dfcebb259e33d8eed16ff1dd92f03f8a7d98027fc0631a4,109.0,5836164713bcd72a555e6784802065113d6627d178e0202d7b91b7a6371f051b
8,127.0,2ff696de83ad729a118794bb4037a593f4a168726b4df74cb2fb0b88792cb7ae,130.0,6da21f8975f53c826ca0cd92588799a8dbda30d89a445605f0b6cc62d070b2df
8,130.0,6da21f8975f53c826ca0cd92588799a8dbda30d89a445605f0b6cc62d070b2df,111.0,3710b9adddae141c5bd4227077dce199cd382eeb4617e8e4ef72a30391c609f3
