Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,7582e719959d76f09a5dfbb8ee95f962d08af8ca145eb79fc654644ff257b99b,195.0,cd1b9bf2b04ff9971439b6b56addea8df4496f485c78e9985d3cd9ab7c8f67c0
1,195.0,cd1b9bf2b04ff9971439b6b56addea8df4496f485c78e9985d3cd9ab7c8f67c0,130.0,69adf81d68f60aad4a4ad4bb6c651cc0111fdbf8c9268a7035ed219d70aa78e5
1,130.0,69adf81d68f60aad4a4ad4bb6c651cc0111fdbf8c9268a7035ed219d70aa78e5,128.0,0339e0d0fd8f70a480ac157a1eea1498e8ca3f6285f8b11640dd252fac9cd44d
1,128.0,0339e0d0fd8f70a480ac157a1eea1498e8ca3f6285f8b11640dd252fac9cd44d,126.0,ca04fac830c920e114b5a117ca2c2785248ee41b537185b9aa2a21d7333ebcf6
1,126.0,ca04fac830c920e114b5a117ca2c2785248ee41b537185b9aa2a21d7333ebcf6,110.0,3a69969ec699805cf3111c088c2bf3c6f095d24986842713e6447978bbc10f8e
1,110.0,3a69969ec699805cf3111c088c2bf3c6f095d24986842713e6447978bbc10f8e,109.0,c09321ac851566d10367e6c93a0d4b348e924ec5507c6cc2babb35cf52ab3849
2,205.0,98d96ad0d42b5ea7d7e1ba8f254bed295d5c3ebcc9dd30a2598f65401e6ae62b,135.0,26fdec90e1d42102064f7d13d204c6776ae6fa73ff9c9aa6db6a7220852c1d76
2,135.0,26fdec90e1d42102064f7d13d204c6776ae6fa73ff9c9aa6db6a7220852c1d76,129.0,62f39b5a974b8a8754331cb040846caa9fb1de0570b7bd351c3f99eb2de49a1e
2,129.0,62f39b5a974b8a8754331cb040846caa9fb1de0570b7bd351c3f99eb2de49a1e,128.0,e28739e74501449262fcf5626e72779e8d32ca1e77b37f6f2cd0ead6dd92f952
2,128.0,e28739e74501449262fcf5626e72779e8d32ca1e77b37f6f2cd0ead6dd92f952,111.0,9a8318e874560b3af556427ef1758b87ddae8f52952b17fb1016ca86f435439b
2,111.0,9a8318e874560b3af556427ef1758b87ddae8f52952b17fb1016ca86f435439b,110.0,67805189a37dd3b916cc1ab7701f3083ad3608d31644a6281b9226820dffdeae
