Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,00b477947122762a1dea6809e5e327cd4d2ae89697b654ea46028ff0ff0ad7bb,195.0,bf6dd09cc148c09a7cdbce9fef7cf38a2be416e4d09350ccbd2aaa0ac8db737a
1,195.0,bf6dd09cc148c09a7cdbce9fef7cf38a2be416e4d09350ccbd2aaa0ac8db737a,130.0,1607dae3e4242111f6c433c0080a2908cd9d5d2d0860aa1a96483b52ec8b7e40
1,130.0,1607dae3e4242111f6c433c0080a2908cd9d5d2d0860aa1a96483b52ec8b7e40,128.0,ab126b5744527ef6b9e8b74d99a06ab75b8db7f491c319b799b7c1560af0589f
1,128.0,ab126b5744527ef6b9e8b74d99a06ab75b8db7f491c319b799b7c1560af0589f,126.0,b871ebd149f5af75a2cc561434c0077090a58190a7d587b27d305154b0a8a64d
1,126.0,b871ebd149f5af75a2cc561434c0077090a58190a7d587b27d305154b0a8a64d,110.0,f7fd9a987ea7a0054309cb4b798b733cc3434c02347dc83c4ddba7c11efe5f3e
1,110.0,f7fd9a987ea7a0054309cb4b798b733cc3434c02347dc83c4ddba7c11efe5f3e,109.0,68b388282f79aa20fa77f8ad62e99d1ff78e10b6b7aa0260ec217a48d9857182
2,205.0,1f87651396a362aa2ffbd70ae686608240d9ee44b469069e7b5c0ae619185c1c,135.0,bf31b253873233bae0009ae1b33ebfa9433342c184e692b010e4760484cf2876
2,135.0,bf31b253873233bae0009ae1b33ebfa9433342c184e692b010e4760484cf2876,129.0,90df11fe07038d84b9983940da527d708c9e82c9f8b9566eee52500f27497d43
2,129.0,90df11fe07038d84b9983940da527d708c9e82c9f8b9566eee52500f27497d43,128.0,be0b29266e529cfc47d552149ed851419c5150db0bd954ae37f305f153e7614e
2,128.0,be0b29266e529cfc47d552149ed851419c5150db0bd954ae37f305f153e7614e,109.0,95e27754aa71d93131119197b071c696f9c468c03e4bd6f8b67438da147ebf20
2,109.0,95e27754aa71d93131119197b071c696f9c468c03e4bd6f8b67438da147ebf20,110.0,dce851184ad52e1c961c61d00928198fd0217bdeb530bb1a275fb21f57aa56c9
2,110.0,dce851184ad52e1c961c61d00928198fd0217bdeb530bb1a275fb21f57aa56c9,109.0,3a8e018e2fdd74163d7886563dfb2d3254a0d69c6931dabbc0fb58aeffa1ee75
3,195.0,68e7bade9ddcbfe7566064de9d8da234baff290b3afa10fba61fe0fbcfa7702a,136.0,5b9dc7b15fc80162dbc2baa59eaac684892edbc34e585bb1b80d59c90764a38e
