Run,Fitness1,Solution1,Fitness2,Solution2
1,121.0,939649169115a9550927fe0079f6a7f32da18e923676d7e49a349bf73a3c6a9e,122.0,51bc366093bf71200a278c545a303778aa7173cd835031bbf585407bc1971fae
1,122.0,51bc366093bf71200a278c545a303778aa7173cd835031bbf585407bc1971fae,123.0,cf30dd9cb78f6ac2b479da8e9f6952160d28e0589c53368d64ca9505d5202181
1,123.0,cf30dd9cb78f6ac2b479da8e9f6952160d28e0589c53368d64ca9505d5202181,122.0,51bc366093bf71200a278c545a303778aa7173cd835031bbf585407bc1971fae
1,122.0,51bc366093bf71200a278c545a303778aa7173cd835031bbf585407bc1971fae,113.0,c1087a9f7483ef7bd2cef1c2fb1e63fccff9cb733f17c629d5e7573f4711ef03
1,113.0,c1087a9f7483ef7bd2cef1c2fb1e63fccff9cb733f17c629d5e7573f4711ef03,109.0,01949ad79c88b74c8799592029b613ab94055f9e7b938f68a021ea0c2262f1e6
1,109.0,01949ad79c88b74c8799592029b613ab94055f9e7b938f68a021ea0c2262f1e6,113.0,c1087a9f7483ef7bd2cef1c2fb1e63fccff9cb733f17c629d5e7573f4711ef03
1,113.0,c1087a9f7483ef7bd2cef1c2fb1e63fccff9cb733f17c629d5e7573f4711ef03,110.0,a9d1db23ed4264a618413b69269ca8291f59bfa2df569408c382bb60717e272f
2,114.0,e97a44fa6d92742292eb3f4694badacf96540a2f3405f2d57c52fffe9f3c4ee7,116.0,4c1d77cf5e1123c03e8cbe8e01dcdeb6d4b146ca1d6c157fdf312d42713c3ea6
2,116.0,4c1d77cf5e1123c03e8cbe8e01dcdeb6d4b146ca1d6c157fdf312d42713c3ea6,120.0,040664aea1da4390e5ec1343070eb852ff8459cc7436a08332ea60d599c30828
2,120.0,040664aea1da4390e5ec1343070eb852ff8459cc7436a08332ea60d599c30828,118.0,aba6fd86ec2e24b1c74220f9527bd35fbf2eef4087ca105aa5566ada54f9a808
2,118.0,aba6fd86ec2e24b1c74220f9527bd35fbf2eef4087ca105aa5566ada54f9a808,117.0,81c5cd1bcca9c78d8d51c76dfb1770bf6509f09c3760179060f12057cf2281ee
2,117.0,81c5cd1bcca9c78d8d51c76dfb1770bf6509f09c3760179060f12057cf2281ee,115.0,e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75
2,115.0,e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75,114.0,a9788e889e31fccc4651902adb05d2f8c4bcc1845694d91202e72716ebe9a4a0
2,114.0,a9788e889e31fccc4651902adb05d2f8c4bcc1845694d91202e72716ebe9a4a0,111.0,8162e509861bf0b9ccdb512d6abb780ed03beacb777c62b761562a9c2458de5d
2,111.0,8162e509861bf0b9ccdb512d6abb780ed03beacb777c62b761562a9c2458de5d,112.0,4718021fe01050dbde3316fb352f7f00769ba43127b16224fad4485efaa7dae8
2,112.0,4718021fe01050dbde3316fb352f7f00769ba43127b16224fad4485efaa7dae8,111.0,caf42c350b933954e087b008bb5f8457f6cd247f4c06788ecd804a3a8c35cfe1
3,111.0,2a057642222a878bc360f52f8e1f0dfd2af93196f123269397423155a4ec4884,120.0,101aea509209a8386ae68779e363ffe80b69709fe969d06bcc772b097554829f
3,120.0,101aea509209a8386ae68779e363ffe80b69709fe969d06bcc772b097554829f,130.0,a78b7c21dc8ed6694424e4afcd8ccc7e45f9b454f2deec3e84bbb1befe1baeb9
3,130.0,a78b7c21dc8ed6694424e4afcd8ccc7e45f9b454f2deec3e84bbb1befe1baeb9,119.0,6a7bd1b72911ab800d1f1806f3d0f2b0d44dbb87ed4411fc841c40b8e704687a
