Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,028b5e66506bc3cbe2fcef58ae2729c21c546ca272a79f56067af9493a8efbcc,195.0,c11e9e623016c2f744cbaca3f7a8f60d18dc138ec002ad836554695daf260cce
1,195.0,c11e9e623016c2f744cbaca3f7a8f60d18dc138ec002ad836554695daf260cce,130.0,83ea2906bf9e4a151db5ff01bfd33bcfe9ac433a720daf9eb46830383c6371bb
1,130.0,83ea2906bf9e4a151db5ff01bfd33bcfe9ac433a720daf9eb46830383c6371bb,128.0,42dda0b54abdd690ed8c870ef833fcc53439b1c909ef6e2f71760f575cede644
1,128.0,42dda0b54abdd690ed8c870ef833fcc53439b1c909ef6e2f71760f575cede644,126.0,2ef7467c4adf631e8b8a824debf45d10b2b61ba78dab995f38a688426771ede9
1,126.0,2ef7467c4adf631e8b8a824debf45d10b2b61ba78dab995f38a688426771ede9,110.0,831663e35891454ad1595519ad62785f2f4c0dd2ac4597baa14bf7b6e16db41a
1,110.0,831663e35891454ad1595519ad62785f2f4c0dd2ac4597baa14bf7b6e16db41a,109.0,d3e1f7b7a1b62ee9dc334c812208e2ef90f92588b0d5f741bc48c7585a41e69d
2,205.0,000094b7f0062df58c71b975c85e051b4298f7fc1efdf82b915bd0b2618fe3cb,135.0,437fa2f432ce3bdf82e03c332e40fa500fed44fec1bbb5f6944dc86145e305be
2,135.0,437fa2f432ce3bdf82e03c332e40fa500fed44fec1bbb5f6944dc86145e305be,129.0,ae4ab9936b8f7ffc271706bccee63d1c85dfb4c4f3a629457719ecbdb8b7e19e
2,129.0,ae4ab9936b8f7ffc271706bccee63d1c85dfb4c4f3a629457719ecbdb8b7e19e,128.0,ad20e56ca409e757edd2c0bb9917aa2817207a55cebe46a95c3e3821ebde9379
2,128.0,ad20e56ca409e757edd2c0bb9917aa2817207a55cebe46a95c3e3821ebde9379,111.0,f33e6cb0d62573688ccb28b29706cc95fdec3f278307f55623cbb5b972d6d106
2,111.0,f33e6cb0d62573688ccb28b29706cc95fdec3f278307f55623cbb5b972d6d106,110.0,12d1c4ba64bc1e6edcf6aff55cced3d0b41bcfc7475bae558bf9d3a1669a5213
2,110.0,12d1c4ba64bc1e6edcf6aff55cced3d0b41bcfc7475bae558bf9d3a1669a5213,109.0,c44b12509d082890d5a01225e83fff8cd410827e61ab6d8a5af2ed06f5bd50cb
