Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,11a146a0f710cd8adb144011c496fa8e4339f08d24ea2d94f410a882c3bcf435,195.0,c14a37a23a78d0593f9b2cae878abb8d9ba7241eb7a5d4a0cd5ec9e2a0d53cbb
1,195.0,c14a37a23a78d0593f9b2cae878abb8d9ba7241eb7a5d4a0cd5ec9e2a0d53cbb,130.0,6c0224906a7d0d699e63f17844dd6173f423cc3849e8fee931915afb9f1e9994
1,130.0,6c0224906a7d0d699e63f17844dd6173f423cc3849e8fee931915afb9f1e9994,128.0,0c22c0d66d215e848adfaa77bef882150ce014049a1cf75b978e27f262063098
1,128.0,0c22c0d66d215e848adfaa77bef882150ce014049a1cf75b978e27f262063098,126.0,deaa2a39914e083cd21f37dc8b93e7c29f52ae824f692f7d4e423d050360be25
1,126.0,deaa2a39914e083cd21f37dc8b93e7c29f52ae824f692f7d4e423d050360be25,110.0,73fa9f5ce93964fae2727bc7e71143482290b15f082721bde38ac642caac13a7
1,110.0,73fa9f5ce93964fae2727bc7e71143482290b15f082721bde38ac642caac13a7,109.0,ab982a0ca356532902800165ffaef1a54a41b4ed327159cb5cceb18eb35f0078
2,205.0,e309680035856135a1f8eda6458a2c1c36ebd9065056d397b8823d830c796dab,135.0,69efcff10e9f1e73280f69491b8f0b01888539cd8aa4c9423025003aa252b5f3
2,135.0,69efcff10e9f1e73280f69491b8f0b01888539cd8aa4c9423025003aa252b5f3,129.0,6d3c01b843bd96badb916e5918f5e4c799093a5888258ca5c1411752e1d4f2a0
2,129.0,6d3c01b843bd96badb916e5918f5e4c799093a5888258ca5c1411752e1d4f2a0,128.0,5690cb1495ea34cd674e2adb8febca9e514c2b4caea6ee13a6bd7e998e59d448
2,128.0,5690cb1495ea34cd674e2adb8febca9e514c2b4caea6ee13a6bd7e998e59d448,111.0,b48b1c750f0477aac5d9b6141c08fb9b515e7a1cf8da3391137b6b072b86bc19
2,111.0,b48b1c750f0477aac5d9b6141c08fb9b515e7a1cf8da3391137b6b072b86bc19,110.0,c65bb50e333132d9ba4d52bb1511b8e2d7fd55f04a37fbe93f0682a5ef3192bc
2,110.0,c65bb50e333132d9ba4d52bb1511b8e2d7fd55f04a37fbe93f0682a5ef3192bc,109.0,0090a56d3d3db0b25cafc5fb769b3cf54ffeaf27c9f7dc0a5f78d09d0b737672
3,195.0,60f499dd875a51c2cbc90909eed3d69849ee502b467bfb6f03d0b92f71429e74,136.0,f2485c3c9368a3ff40c8e114a4f713f03084fd1f204fd147a8661ab91adfd9cf
3,136.0,f2485c3c9368a3ff40c8e114a4f713f03084fd1f204fd147a8661ab91adfd9cf,134.0,ededaaf33d495075c73615c22215d4e437489e7ecb0aa52cb9deb2843687bf5a
3,134.0,ededaaf33d495075c73615c22215d4e437489e7ecb0aa52cb9deb2843687bf5a,127.0,bd946906dd9118064d61bfec3268566455b47bc729811a88ab6d274498886d79
3,127.0,bd946906dd9118064d61bfec3268566455b47bc729811a88ab6d274498886d79,111.0,89edf7dcc3c92ee35db2ccd26d0551d860ffb8ce39a9d7bef109a2417d377e23
3,111.0,89edf7dcc3c92ee35db2ccd26d0551d860ffb8ce39a9d7bef109a2417d377e23,110.0,a42f892634affab9b62ab0ae527738a9c6589c22789ae936e80dd7480b183f5f
3,110.0,a42f892634affab9b62ab0ae527738a9c6589c22789ae936e80dd7480b183f5f,109.0,a898e80c738ab211b6f74a4c0a2429905449c5dc7e400c17bdd6f4331cde99f9
4,191.0,090718cc82a211d6536cc4e671f279f64f11fe1d9a9cba1a0b099501e67aa2ed,134.0,79992ab05868b45b10eb1eefa81eb0b5f848c9e91c769c2cf421c65567092492
4,134.0,79992ab05868b45b10eb1eefa81eb0b5f848c9e91c769c2cf421c65567092492,131.0,9c9cacb69cde129e2e5d17960f7281cf4e2d76ef07929461e06633b84dddcfd6
4,131.0,9c9cacb69cde129e2e5d17960f7281cf4e2d76ef07929461e06633b84dddcfd6,129.0,94d813e38a112c931a8f13abd579df35eac4fe50a4d653200c346a0388382591
4,129.0,94d813e38a112c931a8f13abd579df35eac4fe50a4d653200c346a0388382591,127.0,69717b9f51e663c67d343a127505c4773f83314f31fa7002c48e0106cabb6a44
4,127.0,69717b9f51e663c67d343a127505c4773f83314f31fa7002c48e0106cabb6a44,111.0,cffffa64d7f7e950bf7994e61569e6dfa761a2ed8aa69e7cb4e6608848a8e42d
