Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,ac491a7b2b5b652bc1c13e29c5a8935f9a7d58b1195a01239e601c892777029f,195.0,8f005267e381b51f676b690589b6041f866bd0ef55837a6d5cd4f03673049228
1,195.0,8f005267e381b51f676b690589b6041f866bd0ef55837a6d5cd4f03673049228,130.0,fc6467951bbc2fa99ad519d3f321dddafb4f993e744a84c2b4fb97958d587ff1
1,130.0,fc6467951bbc2fa99ad519d3f321dddafb4f993e744a84c2b4fb97958d587ff1,128.0,8b1af2c7b4bc739a3484cf5f62d302df524ed909e2e396b646ca6812a2538831
1,128.0,8b1af2c7b4bc739a3484cf5f62d302df524ed909e2e396b646ca6812a2538831,126.0,5fbaf95332e2092070ed1dc7462ac5fbc699b3674e3a2c39ea26abadb02ec814
1,126.0,5fbaf95332e2092070ed1dc7462ac5fbc699b3674e3a2c39ea26abadb02ec814,110.0,66e58aa25082965471744d92ec05b81b7ade88f134f5aeb42705e83b8b5319e6
1,110.0,66e58aa25082965471744d92ec05b81b7ade88f134f5aeb42705e83b8b5319e6,109.0,23119f17aa6218fbbd4cb22db38f5cc46107acb1aaa24d64a7d0d6d07eaad2aa
2,205.0,b92f69f7359b88322d1401a94317b310398f139ac755414e50071d4ae6860db7,135.0,5968918538ce2658357ed3e12d1d09ef0e0ea9788ab9b0bea089a69e9128d13e
2,135.0,5968918538ce2658357ed3e12d1d09ef0e0ea9788ab9b0bea089a69e9128d13e,129.0,762b123bc59a055befa9da76b2ff009bcd61e6acae7fb3afe452d134b4453f61
2,129.0,762b123bc59a055befa9da76b2ff009bcd61e6acae7fb3afe452d134b4453f61,128.0,7e4c22f9554fcbca29ce81d49c800b8e48ca26b1428dd8a482a54d3a05ec2bcb
2,128.0,7e4c22f9554fcbca29ce81d49c800b8e48ca26b1428dd8a482a54d3a05ec2bcb,111.0,0e7d3bede946a51939430a91e817b78ffa13e5b837045751a4ab0e8cd0feeb0b
2,111.0,0e7d3bede946a51939430a91e817b78ffa13e5b837045751a4ab0e8cd0feeb0b,110.0,5ead202c82abe060158e93ba0deffb4d7e239a0270410974c63a12fae80302ec
2,110.0,5ead202c82abe060158e93ba0deffb4d7e239a0270410974c63a12fae80302ec,109.0,7ca7366c6d85dfc4a296de73b24736aad1522bb68def964fda8002d6a8f7c669
3,195.0,4f98165062330216c594fd7e09a78ce9fa7f437c80a3bdbe8aa46ed09325e390,136.0,e4d15aca5e7edc1b7a5419d9161c6cf8402ad03df1f5c89153be52356bf375e0
3,136.0,e4d15aca5e7edc1b7a5419d9161c6cf8402ad03df1f5c89153be52356bf375e0,134.0,2de4c730e1a45d2edfcf37b719eb879b7442b6e0c95dd9484354f3772d06f39c
3,134.0,2de4c730e1a45d2edfcf37b719eb879b7442b6e0c95dd9484354f3772d06f39c,127.0,b49906c007781db7edaa8f999be3e6fb2a73be85b1d2eb5f5d3e9b5d2eb3c42c
3,127.0,b49906c007781db7edaa8f999be3e6fb2a73be85b1d2eb5f5d3e9b5d2eb3c42c,111.0,b277e11ba14f8faf0d85dc87cd41b384016545cefcf85f961117e5876cb71d9e
3,111.0,b277e11ba14f8faf0d85dc87cd41b384016545cefcf85f961117e5876cb71d9e,110.0,508c0770ab605b5e25781afbb4e6ab10e5435582d7194a24062b7feb6638b902
3,110.0,508c0770ab605b5e25781afbb4e6ab10e5435582d7194a24062b7feb6638b902,109.0,9f5d860fc25629cf923d416d051d51f97ae7ff924826c0f0bf140bf9fd6480f6
4,191.0,9a14688fc42f25ab964447f5d99d80c0c28056abe1fd899f2fbe915bd7d32241,134.0,a30b1393364a9871ee3f2d5cb5cd29a67c27934e81b6918ccbf0017a5048c9e5
4,134.0,a30b1393364a9871ee3f2d5cb5cd29a67c27934e81b6918ccbf0017a5048c9e5,131.0,4b1d608f8b0b209e9487443d67132ac14da20f3e262d2f955b485777d39cd1c3
4,131.0,4b1d608f8b0b209e9487443d67132ac14da20f3e262d2f955b485777d39cd1c3,129.0,25669315945d05e068d99d7707d738e3b0d4a7b5b944f1658e4001db33d2f09e
4,129.0,25669315945d05e068d99d7707d738e3b0d4a7b5b944f1658e4001db33d2f09e,127.0,248ef7790fc214945748033059e336c69976c21512c5cb3fd66f228bd79e2192
4,127.0,248ef7790fc214945748033059e336c69976c21512c5cb3fd66f228bd79e2192,111.0,b9e7c4fae7fee5e81103f5bb1f1f3befe8a067091721b8522e95ab7e429c66a3
4,111.0,b9e7c4fae7fee5e81103f5bb1f1f3befe8a067091721b8522e95ab7e429c66a3,110.0,173c9386b06982f434f3437c868004d520e2133c614a8c62456327eb6f34d31e
4,110.0,173c9386b06982f434f3437c868004d520e2133c614a8c62456327eb6f34d31e,109.0,57c6568a71e294a84db33148132cdab00be9446745e11baa042c5a530feba814
5,196.0,5a2c4166b64da91f534f38df22cbf13c56a2ca1327fe6bf95902a1b4365cd6bb,138.0,9d7d1e445a722a50f3bf09772eca498e0c030436116137c21f647d15167c5139
5,138.0,9d7d1e445a722a50f3bf09772eca498e0c030436116137c21f647d15167c5139,132.0,6379c154f92ca440d4c2e4ea6f5c2824e10f3d6406e8fb5b9311bce9be22d350
5,132.0,6379c154f92ca440d4c2e4ea6f5c2824e10f3d6406e8fb5b9311bce9be22d350,131.0,6e966a024b1c170f775be9c5df09f95b06802bff3375a194e1eac9d3ccedf0c6
5,131.0,6e966a024b1c170f775be9c5df09f95b06802bff3375a194e1eac9d3ccedf0c6,129.0,07e603f6d744aefb46b7d6deb5cc882b6fec08ec7b53e1301f79f2083c651da0
5,129.0,07e603f6d744aefb46b7d6deb5cc882b6fec08ec7b53e1301f79f2083c651da0,128.0,060c9e8e08ed94c6d815664016672dd6e1499b9e9fa23bd903743516b0272900
5,128.0,060c9e8e08ed94c6d815664016672dd6e1499b9e9fa23bd903743516b0272900,110.0,0abe4f4f4366330dce55f7bdf95c6ee89ca812f522880411996790816d6e0c4b
5,110.0,0abe4f4f4366330dce55f7bdf95c6ee89ca812f522880411996790816d6e0c4b,109.0,b12c6b15d702e0ef175404963002e0d32bfff6a57a9baca22f40f66330c3f07a
6,193.0,0b9226c1653d6b258c002b2be375d9a52df4c18ba251cc56efa9e8a81f2514da,134.0,84d7a16b54ef276f4536635851f240f8ce088fa92fa33b06d715844ad0ed0393
6,134.0,84d7a16b54ef276f4536635851f240f8ce088fa92fa33b06d715844ad0ed0393,130.0,ca66d4ab03b89e3c79a281a4b96a00bce057fa2ac9ffe8149d9d217f206fee19
6,130.0,ca66d4ab03b89e3c79a281a4b96a00bce057fa2ac9ffe8149d9d217f206fee19,129.0,de91fed98437cc2fe7503479061dc1759e3952e57e7ae0ce9d97ea3533b4acaa
6,129.0,de91fed98437cc2fe7503479061dc1759e3952e57e7ae0ce9d97ea3533b4acaa,127.0,f9b5bad3371be4faee674550b992ca6a39b964bf8baa21e8e019fa6a77034e58
6,127.0,f9b5bad3371be4faee674550b992ca6a39b964bf8baa21e8e019fa6a77034e58,126.0,b18aa02269494f66fe2a9d23911269d908c7aa370eb15fde5d2ded933a2eef69
6,126.0,b18aa02269494f66fe2a9d23911269d908c7aa370eb15fde5d2ded933a2eef69,111.0,2ced40f46232a27c9a923998adb94d4281967be3726508e941e8dce19c437a94
