Run,Fitness1,Solution1,Fitness2,Solution2
1,136.0,ddb6377c915b429934d64a7e96718427565424f204207ee16968b956b19e6371,132.0,10091102eecfa412beb963ccdf003bacbb1a4128acfceecc38c0ea0f63d9a7b4
1,132.0,10091102eecfa412beb963ccdf003bacbb1a4128acfceecc38c0ea0f63d9a7b4,122.0,63ee9c876466b40b7fa041ff385070d93e852a90a688fe85692bb14bb7988c82
1,122.0,63ee9c876466b40b7fa041ff385070d93e852a90a688fe85692bb14bb7988c82,123.0,252000eb3e1aced794f691831926e7bdde14f8bd4606f477e6ce68b7e4b7aecc
1,123.0,252000eb3e1aced794f691831926e7bdde14f8bd4606f477e6ce68b7e4b7aecc,122.0,63ee9c876466b40b7fa041ff385070d93e852a90a688fe85692bb14bb7988c82
1,122.0,63ee9c876466b40b7fa041ff385070d93e852a90a688fe85692bb14bb7988c82,121.0,7e161d99e5bdfa20b8628e93fd5c682563496ac471e7435f6af6c3b7f10e8da7
1,121.0,7e161d99e5bdfa20b8628e93fd5c682563496ac471e7435f6af6c3b7f10e8da7,120.0,9dd39ebe24817029b10ed4046802595c9f08d2629aa03296943ee6342b038f48
1,120.0,9dd39ebe24817029b10ed4046802595c9f08d2629aa03296943ee6342b038f48,119.0,96812d4b1e184bc160722dd9482bea9e7b9c9347accc88e0e7e3ff40f8033951
1,119.0,96812d4b1e184bc160722dd9482bea9e7b9c9347accc88e0e7e3ff40f8033951,118.0,a40982d0d454325ee6e72bf54440a3eb7470c4da3a4f627a6d289c4f5f1f37fc
1,118.0,a40982d0d454325ee6e72bf54440a3eb7470c4da3a4f627a6d289c4f5f1f37fc,116.0,14eb5e52c5dde17c162732e0e7539788de2e89672cf4998e997b5d339a2c5098
1,116.0,14eb5e52c5dde17c162732e0e7539788de2e89672cf4998e997b5d339a2c5098,113.0,7e3dba92e4fc6dd998275b23ac61a4499962e9afe85fee93b0280c7765d5abe7
1,113.0,7e3dba92e4fc6dd998275b23ac61a4499962e9afe85fee93b0280c7765d5abe7,115.0,f3bdf72be9f207984cc23a7fa15c963bf5d72b458ebf757cdc131a0f89725e5e
1,115.0,f3bdf72be9f207984cc23a7fa15c963bf5d72b458ebf757cdc131a0f89725e5e,114.0,06fb24b6e01e0e0a2d3c43ffc2e6bc4ff3bf4ac8a519763db1d3bc0c4c63df84
1,114.0,06fb24b6e01e0e0a2d3c43ffc2e6bc4ff3bf4ac8a519763db1d3bc0c4c63df84,113.0,7e3dba92e4fc6dd998275b23ac61a4499962e9afe85fee93b0280c7765d5abe7
1,113.0,7e3dba92e4fc6dd998275b23ac61a4499962e9afe85fee93b0280c7765d5abe7,112.0,ef7695d137e8727fb5b9fe856322971444b9dea9ee04d8817a1a5d3dc717c698
2,133.0,24b5dd5c140d88e0f18967cfa0a9b51d1d6225d283e36696b35ffe3b704da785,131.0,e3682bdfc66efecfb7b457f129ff28f58399b7ae0fdcceff519ec241d9997cc3
2,131.0,e3682bdfc66efecfb7b457f129ff28f58399b7ae0fdcceff519ec241d9997cc3,125.0,3eada805bb8bf73fa7dd827021a2c3267975c5b3797d235b5e58dee84db9b4fb
2,125.0,3eada805bb8bf73fa7dd827021a2c3267975c5b3797d235b5e58dee84db9b4fb,123.0,d80944180c7125b22ab5c1953b83c53c19d4d7c6743c3fec053f2ecc242bc284
2,123.0,d80944180c7125b22ab5c1953b83c53c19d4d7c6743c3fec053f2ecc242bc284,121.0,16c62ae64c38d3ba0b6660cda6e2621da51d317bf1745217a502d6391649e018
2,121.0,16c62ae64c38d3ba0b6660cda6e2621da51d317bf1745217a502d6391649e018,120.0,898fce3b3e5df81a5f91ca457015cf351c22102b6494a1b48984e16a286e3074
2,120.0,898fce3b3e5df81a5f91ca457015cf351c22102b6494a1b48984e16a286e3074,118.0,c8db6ebcbea7e981d521d7ea82f40457f53a2332d330a665ec7b531930a0496b
2,118.0,c8db6ebcbea7e981d521d7ea82f40457f53a2332d330a665ec7b531930a0496b,117.0,19c898ec35cc35e6de3be8588a50a7d5d0d1b2657284f41e247281a133d392b7
2,117.0,19c898ec35cc35e6de3be8588a50a7d5d0d1b2657284f41e247281a133d392b7,115.0,96a6b1e9da2cb7ee68e5257d60a0a5aecd6cdc022a22ea511d73a8bdfde2f070
2,115.0,96a6b1e9da2cb7ee68e5257d60a0a5aecd6cdc022a22ea511d73a8bdfde2f070,114.0,2548b406f5f09fe3f01ff39351c1f4387c1384c086d03dc0849d9d8774f333ef
2,114.0,2548b406f5f09fe3f01ff39351c1f4387c1384c086d03dc0849d9d8774f333ef,113.0,9b08f4f36fb3c45f5c78e178a29959faa063512a78182f36d39a1db596c8de5d
2,113.0,9b08f4f36fb3c45f5c78e178a29959faa063512a78182f36d39a1db596c8de5d,112.0,2463caefab7fc5ef5e52d9dabcf3d52ef0d8444d91581000cf6a119f0e0ddf9b
