Run,Fitness1,Solution1,Fitness2,Solution2
1,110.0,4639346f504e511dca2c51d4429f26f1e9bd758a65d87135fe8bbdcb54c033a1,132.0,d18263b5cb3d81e3e7ef830d4e5143f0e98c9fd7a07bab73d2844fd0dc58d07d
1,132.0,d18263b5cb3d81e3e7ef830d4e5143f0e98c9fd7a07bab73d2844fd0dc58d07d,126.0,acc494ea40d1e917d049091a704e38f40a1691cb9c96344f6cf4f3b2d3358aeb
1,126.0,acc494ea40d1e917d049091a704e38f40a1691cb9c96344f6cf4f3b2d3358aeb,114.0,1e6c30ab91d1f1d61996ae17bc9af1ca8bcded8a0414de79258dc0c52d2215ee
1,114.0,1e6c30ab91d1f1d61996ae17bc9af1ca8bcded8a0414de79258dc0c52d2215ee,123.0,a9d1db23ed4264a618413b69269ca8291f59bfa2df569408c382bb60717e272f
1,123.0,a9d1db23ed4264a618413b69269ca8291f59bfa2df569408c382bb60717e272f,109.0,1c24f7f4f0b13a0f08c04ba315a765ae800fc1555dfbdf4bd66ec3861d12aedf
2,205.0,e13733d9305592cb21939f9525f2e216866b2d85cbf12c1ea3f3fce754e47997,127.0,f129c69c347e57cfc26a09300f9b527f93a823d7553676a988c6cfb5ae158e96
2,127.0,f129c69c347e57cfc26a09300f9b527f93a823d7553676a988c6cfb5ae158e96,123.0,a9d1db23ed4264a618413b69269ca8291f59bfa2df569408c382bb60717e272f
2,123.0,a9d1db23ed4264a618413b69269ca8291f59bfa2df569408c382bb60717e272f,114.0,205b2cce1d0220683fcd07cd08731ccf2b1398583f32f22ae05aea31dd0995e3
2,114.0,205b2cce1d0220683fcd07cd08731ccf2b1398583f32f22ae05aea31dd0995e3,109.0,d3dd01b70a42b6e091eb12e5a2d55912c73d8abac3ab97c0fcf39aa35fc35927
2,109.0,d3dd01b70a42b6e091eb12e5a2d55912c73d8abac3ab97c0fcf39aa35fc35927,109.0,1c24f7f4f0b13a0f08c04ba315a765ae800fc1555dfbdf4bd66ec3861d12aedf
2,109.0,1c24f7f4f0b13a0f08c04ba315a765ae800fc1555dfbdf4bd66ec3861d12aedf,109.0,2a057642222a878bc360f52f8e1f0dfd2af93196f123269397423155a4ec4884
3,109.0,e9126f469646506b8e82b4214d075bf72d9d324d357650ba670ed6f6fbbf2a75,129.0,1b527626476d0b34565bc1ed5db94a5afbd946fa618ea3441dd5bae7dc84a97a
3,129.0,1b527626476d0b34565bc1ed5db94a5afbd946fa618ea3441dd5bae7dc84a97a,123.0,a9d1db23ed4264a618413b69269ca8291f59bfa2df569408c382bb60717e272f
3,123.0,a9d1db23ed4264a618413b69269ca8291f59bfa2df569408c382bb60717e272f,125.0,161652878e6276f6524f339828c9ce54d35f04e3f4d1c3e7d632248697bb715d
