Run,Fitness1,Solution1,Fitness2,Solution2
1,195,ec2e990b934dde55cb87300629cedfc21b15cd28bbcf77d8bbdc55359d7689da,195.0,ec2e990b934dde55cb87300629cedfc21b15cd28bbcf77d8bbdc55359d7689da
1,195.0,ec2e990b934dde55cb87300629cedfc21b15cd28bbcf77d8bbdc55359d7689da,130,2ac878b0e2180616993b4b6aa71e61166fdc86c28d47e359d0ee537eb11d46d3
1,130,2ac878b0e2180616993b4b6aa71e61166fdc86c28d47e359d0ee537eb11d46d3,130.0,2ac878b0e2180616993b4b6aa71e61166fdc86c28d47e359d0ee537eb11d46d3
1,130.0,2ac878b0e2180616993b4b6aa71e61166fdc86c28d47e359d0ee537eb11d46d3,128,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392
1,128,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,128.0,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392
1,128.0,eeca91fd439b6d5e827e8fda7fee35046f2def93508637483f6be8a2df7a4392,126,e0f05da93a0f5a86a3be5fc0e301606513c9f7e59dac2357348aa0f2f47db984
1,126,e0f05da93a0f5a86a3be5fc0e301606513c9f7e59dac2357348aa0f2f47db984,126.0,e0f05da93a0f5a86a3be5fc0e301606513c9f7e59dac2357348aa0f2f47db984
1,126.0,e0f05da93a0f5a86a3be5fc0e301606513c9f7e59dac2357348aa0f2f47db984,110,4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3
1,110,4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3,110.0,4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3
1,110.0,4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3,109,d8d1790737d57ac4fe91a2c0a28087c0a97c81f5dc6b19d5e4aec20c08bb95ae
2,205.0,684fe39f03758de6a882ae61fa62312b67e5b1e665928cbf3dc3d8f4f53e3562,135,72440a20f54075ac43f51a2cf0dbb2a14366b38a5c01b110ae174abc1cb44238
2,135,72440a20f54075ac43f51a2cf0dbb2a14366b38a5c01b110ae174abc1cb44238,135.0,72440a20f54075ac43f51a2cf0dbb2a14366b38a5c01b110ae174abc1cb44238
2,135.0,72440a20f54075ac43f51a2cf0dbb2a14366b38a5c01b110ae174abc1cb44238,129,dfe62e836a0a6f2633422230c81287700a56e2639652c73f264e6562220c207a
2,129,dfe62e836a0a6f2633422230c81287700a56e2639652c73f264e6562220c207a,129.0,dfe62e836a0a6f2633422230c81287700a56e2639652c73f264e6562220c207a
2,129.0,dfe62e836a0a6f2633422230c81287700a56e2639652c73f264e6562220c207a,128,6c658ee83fb7e812482494f3e416a876f63f418a0b8a1f5e76d47ee4177035cb
2,128,6c658ee83fb7e812482494f3e416a876f63f418a0b8a1f5e76d47ee4177035cb,128.0,6c658ee83fb7e812482494f3e416a876f63f418a0b8a1f5e76d47ee4177035cb
2,128.0,6c658ee83fb7e812482494f3e416a876f63f418a0b8a1f5e76d47ee4177035cb,111,c17edaae86e4016a583e098582f6dbf3eccade8ef83747df9ba617ded9d31309
2,111,c17edaae86e4016a583e098582f6dbf3eccade8ef83747df9ba617ded9d31309,111.0,c17edaae86e4016a583e098582f6dbf3eccade8ef83747df9ba617ded9d31309
2,111.0,c17edaae86e4016a583e098582f6dbf3eccade8ef83747df9ba617ded9d31309,110,4c970004b0678d439f177e77d3cabdb7e9a44df770948ddc2467cbc76b7211c3
2,110,4c970004b0678d439f177e77d3cabdb7e9a44df770948ddc2467cbc76b7211c3,110.0,4c970004b0678d439f177e77d3cabdb7e9a44df770948ddc2467cbc76b7211c3
2,110.0,4c970004b0678d439f177e77d3cabdb7e9a44df770948ddc2467cbc76b7211c3,109,82c01ce15b431d420eb6a1febfba7d7a2b69e5bcdcb929cb42cd3e9179d43fc4
3,195.0,0f8ef3377b30fc47f96b48247f463a726a802f62f3faa03d56403751d2f66c67,136,f57e5cb1f4532c008183057ecc94283801fcb5afe2d1c190e3dfd38c4da08042
3,136,f57e5cb1f4532c008183057ecc94283801fcb5afe2d1c190e3dfd38c4da08042,136.0,f57e5cb1f4532c008183057ecc94283801fcb5afe2d1c190e3dfd38c4da08042
3,136.0,f57e5cb1f4532c008183057ecc94283801fcb5afe2d1c190e3dfd38c4da08042,134,19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7
3,134,19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,134.0,19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7
3,134.0,19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,127,33512007840ced1bb0aab68f47cb5f702abd494a15f26bcbe26a1e47af03d841
3,127,33512007840ced1bb0aab68f47cb5f702abd494a15f26bcbe26a1e47af03d841,127.0,33512007840ced1bb0aab68f47cb5f702abd494a15f26bcbe26a1e47af03d841
3,127.0,33512007840ced1bb0aab68f47cb5f702abd494a15f26bcbe26a1e47af03d841,111,749fc650cacb0f06547520d53c31505c8156e0a3be07073eddb2ef3ad9e383ba
3,111,749fc650cacb0f06547520d53c31505c8156e0a3be07073eddb2ef3ad9e383ba,111.0,749fc650cacb0f06547520d53c31505c8156e0a3be07073eddb2ef3ad9e383ba
3,111.0,749fc650cacb0f06547520d53c31505c8156e0a3be07073eddb2ef3ad9e383ba,110,835d5e8314340ab852a2f979ab4cd53e994dbe38366afb6eed84fe4957b980c8
3,110,835d5e8314340ab852a2f979ab4cd53e994dbe38366afb6eed84fe4957b980c8,110.0,835d5e8314340ab852a2f979ab4cd53e994dbe38366afb6eed84fe4957b980c8
3,110.0,835d5e8314340ab852a2f979ab4cd53e994dbe38366afb6eed84fe4957b980c8,109,51e8ea280b44e16934d4d611901f3d3afc41789840acdff81942c2f65009cd52
4,191.0,6af1f692e9496c6d0b668316eccb93276ae6b6774fa728aac31ff40a38318760,134,bfa7634640c53da7cb5e9c39031128c4e583399f936896f27f999f1d58d7b37e
4,134,bfa7634640c53da7cb5e9c39031128c4e583399f936896f27f999f1d58d7b37e,134.0,bfa7634640c53da7cb5e9c39031128c4e583399f936896f27f999f1d58d7b37e
4,134.0,bfa7634640c53da7cb5e9c39031128c4e583399f936896f27f999f1d58d7b37e,131,b1556dea32e9d0cdbfed038fd7787275775ea40939c146a64e205bcb349ad02f
4,131,b1556dea32e9d0cdbfed038fd7787275775ea40939c146a64e205bcb349ad02f,131.0,b1556dea32e9d0cdbfed038fd7787275775ea40939c146a64e205bcb349ad02f
4,131.0,b1556dea32e9d0cdbfed038fd7787275775ea40939c146a64e205bcb349ad02f,129,0a2d643bfd24a028cd236e76575d828424ccffbfa47392bd09d8ca9dc85e2f8d
4,129,0a2d643bfd24a028cd236e76575d828424ccffbfa47392bd09d8ca9dc85e2f8d,129.0,0a2d643bfd24a028cd236e76575d828424ccffbfa47392bd09d8ca9dc85e2f8d
4,129.0,0a2d643bfd24a028cd236e76575d828424ccffbfa47392bd09d8ca9dc85e2f8d,127,28dae7c8bde2f3ca608f86d0e16a214dee74c74bee011cdfdd46bc04b655bc14
4,127,28dae7c8bde2f3ca608f86d0e16a214dee74c74bee011cdfdd46bc04b655bc14,127.0,28dae7c8bde2f3ca608f86d0e16a214dee74c74bee011cdfdd46bc04b655bc14
4,127.0,28dae7c8bde2f3ca608f86d0e16a214dee74c74bee011cdfdd46bc04b655bc14,111,f8809aff4d69bece79dabe35be0c708b890d7eafb841f121330667b77d2e2590
4,111,f8809aff4d69bece79dabe35be0c708b890d7eafb841f121330667b77d2e2590,111.0,f8809aff4d69bece79dabe35be0c708b890d7eafb841f121330667b77d2e2590
4,111.0,f8809aff4d69bece79dabe35be0c708b890d7eafb841f121330667b77d2e2590,110,da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c
4,110,da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,110.0,da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c
4,110.0,da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,109,5966abd0cbfc86f98a186531b2b4ee5f6e910120ce13222f98207203dfc9a9a2
5,196.0,01d54579da446ae1e75cda808cd188438834fa6249b151269db0f9123c9ddc61,138,f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b
5,138,f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b,138.0,f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b
5,138.0,f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b,132,d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103
5,132,d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103,132.0,d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103
5,132.0,d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103,131,9537f32ec7599e1ae953af6c9f929fe747ff9dadf79a9beff1f304c550173011
