Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,40d6bbbfbded63e1c92731f103bd709a5b62f3f1412135a7f655fe695c4b36ec,195.0,5e77ebf4fb43e6d36cf39105d7cbc4d546be028d8f8ddd42a6c0dec7276dd26a
1,195.0,5e77ebf4fb43e6d36cf39105d7cbc4d546be028d8f8ddd42a6c0dec7276dd26a,130.0,de75008f49ecdaa6e3068cf8d236a641deac6e76af4d3ba47953573d7cdaabcb
1,130.0,de75008f49ecdaa6e3068cf8d236a641deac6e76af4d3ba47953573d7cdaabcb,128.0,bdfe610bcb90ae6f20dc3f83b3324d0e5aba61dd3e899e68ac508012237ecebf
1,128.0,bdfe610bcb90ae6f20dc3f83b3324d0e5aba61dd3e899e68ac508012237ecebf,126.0,fee1c12321653e1d5c2189c8d9035598db1a2d2b58ba7254cf063257230eafe3
1,126.0,fee1c12321653e1d5c2189c8d9035598db1a2d2b58ba7254cf063257230eafe3,110.0,2f27fac5ebcce4de4cfa4480ea83cb0c0ad6245f3455f91b729fe394d125a749
1,110.0,2f27fac5ebcce4de4cfa4480ea83cb0c0ad6245f3455f91b729fe394d125a749,109.0,dcb2526719eae32045ca0ede8478a68df9d8e19ddf434f5bf69f1a6b0df184d1
2,205.0,38108fc1eeebe26a72854b12eb184206840cdd00334fd2f95a12c26c0f30732e,135.0,b5a6eee9e8b5d58076249eaf552af3869a6db98b32ec337bc25a8b27a23b24a0
2,135.0,b5a6eee9e8b5d58076249eaf552af3869a6db98b32ec337bc25a8b27a23b24a0,129.0,2fad394dae664b1401a3567572496d1a0adf651ab0777f46fc63d57182924542
2,129.0,2fad394dae664b1401a3567572496d1a0adf651ab0777f46fc63d57182924542,128.0,ff588029f245573819a33c2dae0fac322462bfb36795926fc51d9c1df987e498
2,128.0,ff588029f245573819a33c2dae0fac322462bfb36795926fc51d9c1df987e498,111.0,fcaa5e3b84d2c35ca03302e78daf55e4c068e3f2a9fe7f299921d659acbc25be
2,111.0,fcaa5e3b84d2c35ca03302e78daf55e4c068e3f2a9fe7f299921d659acbc25be,110.0,1fcb1c6c212c64b023b9190c453f013dd7ca4757afcfe9b567b2a9bb0d8eada6
2,110.0,1fcb1c6c212c64b023b9190c453f013dd7ca4757afcfe9b567b2a9bb0d8eada6,109.0,09d06a210dadd503c1bfdb1369ff98ffe6ea4dad99767a8525a1ede1e0df76ce
3,195.0,d5c31f5f403dc1c82897f295a00468fc8434f2a0e663466e9412c7b68a75e67d,136.0,34de424f1a087ee68da1bac74f482883da433a68bef0a8811e98a564cbfba7ba
3,136.0,34de424f1a087ee68da1bac74f482883da433a68bef0a8811e98a564cbfba7ba,134.0,8b1c269fbf82ed210d4b87ea03dcbdcb62e668a0ce47fe7d644bf7e26d18fddd
3,134.0,8b1c269fbf82ed210d4b87ea03dcbdcb62e668a0ce47fe7d644bf7e26d18fddd,127.0,8d5fe283226c91c5560d61881abc45c2f2a59c9381bc4408f7d8b3e727b4d76a
3,127.0,8d5fe283226c91c5560d61881abc45c2f2a59c9381bc4408f7d8b3e727b4d76a,111.0,a5c0b8592e352a8b4cda5aa53d447a3c14b6c8c23171fda25f0d121bdcccba7b
3,111.0,a5c0b8592e352a8b4cda5aa53d447a3c14b6c8c23171fda25f0d121bdcccba7b,110.0,4d63a5a2bd7f1ccc097b7ad75ee5ae33a45f11cd2d8eb19064f5663863a608d0
3,110.0,4d63a5a2bd7f1ccc097b7ad75ee5ae33a45f11cd2d8eb19064f5663863a608d0,109.0,d76326f3bc022862fad9bc8b4b53cdc887f8cd2ad7a07c8f3df289fcfae55709
4,191.0,53b5c2bd027af163e3e6a1fc5c8e6f06335200f4a0659aea08decf1a2552a74a,134.0,2117f67d08675da2e5b6a2b7d6e5de4a871a4827563d0824e702f2423466c05e
4,134.0,2117f67d08675da2e5b6a2b7d6e5de4a871a4827563d0824e702f2423466c05e,131.0,613cb886c523a85722fb96daf74f51c486e6e795ae1657bfaa8ecc10cf85cfca
4,131.0,613cb886c523a85722fb96daf74f51c486e6e795ae1657bfaa8ecc10cf85cfca,129.0,7240025a61fc71baadef85ca7e150949ed51b73efd4f618098545c495814119e
4,129.0,7240025a61fc71baadef85ca7e150949ed51b73efd4f618098545c495814119e,127.0,2e43aab38fdd7c95016e3c3ee002860938162cf038b7c532836785495b633751
4,127.0,2e43aab38fdd7c95016e3c3ee002860938162cf038b7c532836785495b633751,111.0,96247d211b507642c5d54b3b914ac3b9cff4ba2fd536f54075e2f135c8f82ebf
4,111.0,96247d211b507642c5d54b3b914ac3b9cff4ba2fd536f54075e2f135c8f82ebf,110.0,b1b6fd84f7c187285604bb51fc1b64cfc5f99e2e76e4dbc5f3962c5e899fab28
