Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,0bbe7607024b1bb23ad97a9e3b1d16d8c021083513aa4e4b620430b3b8f8e395,195.0,4e6ab5da3f6d161ec8ae0716ee5c2899578c21418160de2bb2227fdaf87c0baf
1,195.0,4e6ab5da3f6d161ec8ae0716ee5c2899578c21418160de2bb2227fdaf87c0baf,130.0,2a021b39b42aca397d4a78c47facca497a2d3c9e1a65746c1aa0becf36cdc4d3
1,130.0,2a021b39b42aca397d4a78c47facca497a2d3c9e1a65746c1aa0becf36cdc4d3,119.0,f7b3cbd28543c9a084ecb1a0005239b9a9b192258719c3bc0434fdbe8179eb94
1,119.0,f7b3cbd28543c9a084ecb1a0005239b9a9b192258719c3bc0434fdbe8179eb94,126.0,f02238fb8df06a2e55d33c633b269870cd264d7b900386f93b0cdfcbe2333ca2
1,126.0,f02238fb8df06a2e55d33c633b269870cd264d7b900386f93b0cdfcbe2333ca2,110.0,26b1a1b873edecbc4dbbb62c9a03fc8df0b545215a0ca1266d1366a70044d57b
1,110.0,26b1a1b873edecbc4dbbb62c9a03fc8df0b545215a0ca1266d1366a70044d57b,109.0,4c527563c5bda0f8b0d540c5dec99d00edd4f3bbccc7fce166f9663ea45fbb2b
2,205.0,947a4ac4c52bbec018744f561d082589ff968c01110ef4d6ee3b2e3ea56a5b83,135.0,747ce0e579ef6a37129aef94feeee9393de44aadf14e2ba3041cd4535fc9258b
2,135.0,747ce0e579ef6a37129aef94feeee9393de44aadf14e2ba3041cd4535fc9258b,127.0,e8c88f23ce6c70e56ab0373fb0a17ad45c234ba6c69e1ecc323c2c39881e55d7
2,127.0,e8c88f23ce6c70e56ab0373fb0a17ad45c234ba6c69e1ecc323c2c39881e55d7,128.0,6060f6094cfe5adb9a8a555a70218a328afc11cbef4370b6e40d6479be348e57
2,128.0,6060f6094cfe5adb9a8a555a70218a328afc11cbef4370b6e40d6479be348e57,109.0,6fa89fdf4ffc9ef32209347a8e5a7939db58f267ba8eff8653b051732636ddae
2,109.0,6fa89fdf4ffc9ef32209347a8e5a7939db58f267ba8eff8653b051732636ddae,110.0,21a057da1e33192173b75b360da8e2bcfec85373964c88425d34dad142999194
2,110.0,21a057da1e33192173b75b360da8e2bcfec85373964c88425d34dad142999194,109.0,23c4820db8ed78249ce158d9f2706636a692a3d0ef73650bbbdbb3b619518bc0
3,195.0,dccdab7a9e2e2fa5f85871dec567e16404c540ddd8199ceafd98afa739e84b7c,136.0,273815edf24a1ab5ef98608eefa583c1462964b9784f5ff29a8635e63d5e8232
3,136.0,273815edf24a1ab5ef98608eefa583c1462964b9784f5ff29a8635e63d5e8232,134.0,ac63420e3f76ac4ab2e1b0c46bb627ad94cea7743bb6f4aeaee2a316d332dd56
3,134.0,ac63420e3f76ac4ab2e1b0c46bb627ad94cea7743bb6f4aeaee2a316d332dd56,127.0,0dfe1f2d1e5f6d3cffb9c8942c139edbc361b913f08a7550f04f6f0a30b82371
3,127.0,0dfe1f2d1e5f6d3cffb9c8942c139edbc361b913f08a7550f04f6f0a30b82371,111.0,e96bdc74e1bdcf41b30f0fb29521e5588e4163b3df9b532520fe825311f40c33
3,111.0,e96bdc74e1bdcf41b30f0fb29521e5588e4163b3df9b532520fe825311f40c33,110.0,df10c782a311dbd357d539ed918e829c84c207182e72abefe64681e322b68d38
3,110.0,df10c782a311dbd357d539ed918e829c84c207182e72abefe64681e322b68d38,109.0,498378a69e8c053bd156a69accf8d18c1a017868a27cf04365da554c2fe13e14
4,191.0,697f400862af1f382aa902517233b5684bd4524f23a90936174b4dda7a5faba5,130.0,06f2ce1dbb09c342e9296fc828813175588c2ce097a78333339d337ad1c89a4b
4,130.0,06f2ce1dbb09c342e9296fc828813175588c2ce097a78333339d337ad1c89a4b,131.0,8c863409082a6f2ae912a469d0695e55c085c6bb1f80e0d684c69906cc95e398
4,131.0,8c863409082a6f2ae912a469d0695e55c085c6bb1f80e0d684c69906cc95e398,129.0,fd13e7e9a403f26cec760f4e0691e68f594d3029445a0ed0670536eecd285fb3
4,129.0,fd13e7e9a403f26cec760f4e0691e68f594d3029445a0ed0670536eecd285fb3,127.0,54351391c7339c8def443781a94be4e779c0f54b1de4b5f5dbc0d461ec17af59
4,127.0,54351391c7339c8def443781a94be4e779c0f54b1de4b5f5dbc0d461ec17af59,111.0,d9a63c753410c25b0e5f7e1abf21ead8347909c95f3bc5bc48f0a6c2cca831a3
4,111.0,d9a63c753410c25b0e5f7e1abf21ead8347909c95f3bc5bc48f0a6c2cca831a3,110.0,2bfaf09d59bc915c0a6776ac47e3f0673ea3eede1a781e644a3a2bbff5d9e193
4,110.0,2bfaf09d59bc915c0a6776ac47e3f0673ea3eede1a781e644a3a2bbff5d9e193,109.0,4c527563c5bda0f8b0d540c5dec99d00edd4f3bbccc7fce166f9663ea45fbb2b
5,196.0,2813dca4e75fae09cc8ac1ff5ce493e550e2c8ea75ea161b53e72d1577df915f,138.0,2b783890395e0b2e64ff723002296c7c0f5e4cf864b2078bfa892ee5de3e5006
5,138.0,2b783890395e0b2e64ff723002296c7c0f5e4cf864b2078bfa892ee5de3e5006,132.0,d61ed565b99bc6ac54c7591df2b3144061d147258ab635dbe54d8f383806721b
5,132.0,d61ed565b99bc6ac54c7591df2b3144061d147258ab635dbe54d8f383806721b,131.0,5d63b36f175717bff3ec6e756b8bda03371c2b8365ff90ff7c9887b631123e87
5,131.0,5d63b36f175717bff3ec6e756b8bda03371c2b8365ff90ff7c9887b631123e87,129.0,9dbb18f7eb51a2228816a83f41491ba49fd948fb6c9a40b2986e55e39da8aa9f
