Run,Fitness1,Solution1,Fitness2,Solution2
1,136.0,7dcca4d734c33c2509344386063c6cf9ba43cdef26b9cc1dedef077603cc7641,132.0,26d6dc05aaeea25ae863e4fe50a43f27650d1ce968d6742f502c9ce62280b33c
1,132.0,26d6dc05aaeea25ae863e4fe50a43f27650d1ce968d6742f502c9ce62280b33c,130.0,8674b16893276fbecf1c2138d3d63232557909c5043506af6a7a08114f03b390
1,130.0,8674b16893276fbecf1c2138d3d63232557909c5043506af6a7a08114f03b390,123.0,b606777c44bd9c3ffbf87f849fe183f37ff358ffebd05c5fc0e3093efe969265
1,123.0,b606777c44bd9c3ffbf87f849fe183f37ff358ffebd05c5fc0e3093efe969265,122.0,41999b501c95a380691e682134bbcb223ae3819ad6d27b12e15ac803bef897df
1,122.0,41999b501c95a380691e682134bbcb223ae3819ad6d27b12e15ac803bef897df,119.0,16f63f050bc25791420b3434c3007f76e07a57ddecf363ee69ceef6ec8de4019
1,119.0,16f63f050bc25791420b3434c3007f76e07a57ddecf363ee69ceef6ec8de4019,117.0,ad82a39973e93ebb795f5f2e21c1fbad2e9e7c230fd9feb27bcc6fee85875705
1,117.0,ad82a39973e93ebb795f5f2e21c1fbad2e9e7c230fd9feb27bcc6fee85875705,116.0,ab9007a5a36e71ede2dffcde33c7d02c3200e3be3b6126b5ead36d800067b322
1,116.0,ab9007a5a36e71ede2dffcde33c7d02c3200e3be3b6126b5ead36d800067b322,115.0,560c7112c034ebea1820b80dcb4cc7ff05afeb8462cb58f2748ba8db7666d2ae
1,115.0,560c7112c034ebea1820b80dcb4cc7ff05afeb8462cb58f2748ba8db7666d2ae,114.0,d7fe03961bd9a07f3c5ede01acdca6e06e5f8f5138669b47dfa2984f24d1e9f3
1,114.0,d7fe03961bd9a07f3c5ede01acdca6e06e5f8f5138669b47dfa2984f24d1e9f3,113.0,953f57c14172774d37ea78652a3679e301e795e51988661922bff145bccf3032
