Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,db973c3396ace34678f95fecad2ffad54c94825fa2a0761a53cbc3fad15a9343,119.0,f74d46c18f5e165d82a033b7691ce8be00827ccab2d3bc4afb612523e5260785
1,119.0,f74d46c18f5e165d82a033b7691ce8be00827ccab2d3bc4afb612523e5260785,130.0,5d222d00a361912a11765d4e6a1798e938ffaebf39a36dc8f05021bd2a9ec529
1,130.0,5d222d00a361912a11765d4e6a1798e938ffaebf39a36dc8f05021bd2a9ec529,119.0,1e29c9e9ceb6768be103cdd5ac036d7f2f64957155329fd0a15afd9bb97b26c5
1,119.0,1e29c9e9ceb6768be103cdd5ac036d7f2f64957155329fd0a15afd9bb97b26c5,126.0,c8e47ccb834e545790bd44593cd72b93192a0c26fdb8e0c8533b42f0fb2245fb
1,126.0,c8e47ccb834e545790bd44593cd72b93192a0c26fdb8e0c8533b42f0fb2245fb,110.0,565dbecdb74a80e443da51217d4bcb3a74a3dbe6c7ddbdefc0d6d71a0b0e2a93
1,110.0,565dbecdb74a80e443da51217d4bcb3a74a3dbe6c7ddbdefc0d6d71a0b0e2a93,109.0,c73111193950bc6ef2470ea27c943dbd2cf298eada8e01794e21de132ff3d598
2,205.0,b63828f7f82e2db0383f77edc8c040779b4d35c9de06e53a30ec6643c2df6d03,135.0,5c0414d743ea3e96468abbc3644996b1a0051ca58b5ef7d49e7bd24102a8b429
2,135.0,5c0414d743ea3e96468abbc3644996b1a0051ca58b5ef7d49e7bd24102a8b429,127.0,1774fc79cd1126f62fa1729f58e6633ac80cbc581a5ea464725fe5ecfaff8534
2,127.0,1774fc79cd1126f62fa1729f58e6633ac80cbc581a5ea464725fe5ecfaff8534,128.0,ea254b0636bf4afda3d49693a66213013ad2b8894dc5bc0c5dcb21b675108d90
2,128.0,ea254b0636bf4afda3d49693a66213013ad2b8894dc5bc0c5dcb21b675108d90,109.0,fcfbec3bc3282ecffeee24e821d7639b847442b88a7c98147abcc5213c9c46be
2,109.0,fcfbec3bc3282ecffeee24e821d7639b847442b88a7c98147abcc5213c9c46be,110.0,03d53726fee60a0d74b44b7cd12c7fc47e284f2d217929ea0a2a52112c791cff
2,110.0,03d53726fee60a0d74b44b7cd12c7fc47e284f2d217929ea0a2a52112c791cff,109.0,fcfbec3bc3282ecffeee24e821d7639b847442b88a7c98147abcc5213c9c46be
3,195.0,9998d8fdf3ff8bc5b951143e3f0f43bfc2a1ed5e18d04d492752176ba2138c70,136.0,82c24e545be1b3dd37a13fdbfb18f07b983ff3a68857f1568f2d9d11ac84df39
3,136.0,82c24e545be1b3dd37a13fdbfb18f07b983ff3a68857f1568f2d9d11ac84df39,134.0,044e4af456167c6d6d00304b158631a1d895554b0b501fb813a96da4af7252eb
3,134.0,044e4af456167c6d6d00304b158631a1d895554b0b501fb813a96da4af7252eb,127.0,4661426c39afded2a3a907176cda063c54c07a9ba2e96f55b4a06db49cea99ef
3,127.0,4661426c39afded2a3a907176cda063c54c07a9ba2e96f55b4a06db49cea99ef,111.0,7d73a7e8d5f9039b01084d3461f0188585ed323e80f8900dbf18d08e7f9753bb
3,111.0,7d73a7e8d5f9039b01084d3461f0188585ed323e80f8900dbf18d08e7f9753bb,110.0,4e4606b1192fca50be964c42f83fc7a7b9fa2f72d9fe038b8434b3d0ebb610a3
3,110.0,4e4606b1192fca50be964c42f83fc7a7b9fa2f72d9fe038b8434b3d0ebb610a3,109.0,abe6d115068a16cadc50524310f21cecd6f4a07e334379d5e74a7e269948f316
4,191.0,bad2291f2ce9d023e015677637e9956d39024e95da66c6db55af83057d1b677b,129.0,f741107b3cd3987363b0f3cae6239da681f5edfea3bf9ebc022362a0099cdff3
4,129.0,f741107b3cd3987363b0f3cae6239da681f5edfea3bf9ebc022362a0099cdff3,131.0,9192c16e16e84468cbfd68dcf7e86bf14e441971d1be7ee784b68aaa756b940e
4,131.0,9192c16e16e84468cbfd68dcf7e86bf14e441971d1be7ee784b68aaa756b940e,129.0,9470f5f5d3d14cbb61870a2be22b2fdc807c4cdc8c1c6059508007381a545388
4,129.0,9470f5f5d3d14cbb61870a2be22b2fdc807c4cdc8c1c6059508007381a545388,127.0,c6768069c4aa3e037945704e442a9bd8e7702b7f742bb86f57e13d7ac117efb6
4,127.0,c6768069c4aa3e037945704e442a9bd8e7702b7f742bb86f57e13d7ac117efb6,109.0,abe6d115068a16cadc50524310f21cecd6f4a07e334379d5e74a7e269948f316
4,109.0,abe6d115068a16cadc50524310f21cecd6f4a07e334379d5e74a7e269948f316,110.0,a883b77243b9e63ca15f5399b50849ab6a73edd8d574687d8aebd8d371a94493
4,110.0,a883b77243b9e63ca15f5399b50849ab6a73edd8d574687d8aebd8d371a94493,109.0,c73111193950bc6ef2470ea27c943dbd2cf298eada8e01794e21de132ff3d598
5,196.0,0115b52294c89ed35dc7c583bf8baebdf668324f11ad9d565672b7d417c256c7,115.0,f35975af1a8560b16442ab232d06d5f8d401ea42066da0eca67b9771906e22ec
5,115.0,f35975af1a8560b16442ab232d06d5f8d401ea42066da0eca67b9771906e22ec,132.0,4cf05687049025c3bab3f295f24fc99f54a788020644ed0232e23605dddfc52d
5,132.0,4cf05687049025c3bab3f295f24fc99f54a788020644ed0232e23605dddfc52d,131.0,90bfbc63e4cfa67b27569868317ec3b94e71b81a0dbdab2952de1799e2c6851d
5,131.0,90bfbc63e4cfa67b27569868317ec3b94e71b81a0dbdab2952de1799e2c6851d,129.0,36e86ae5d73f16eb3c8ea02e17f675c8a1a6d3c2eae2a1793feeb7a8a0aa9619
5,129.0,36e86ae5d73f16eb3c8ea02e17f675c8a1a6d3c2eae2a1793feeb7a8a0aa9619,128.0,dfdec63d0c055f51e7d4205de15ce42e2b48d8049b7a0d1185a8912133d870e3
5,128.0,dfdec63d0c055f51e7d4205de15ce42e2b48d8049b7a0d1185a8912133d870e3,110.0,ee165486f149fd5c21b10a91cf9be810172cdb2703cb8946b0be61c911306f3a
