Run,Fitness1,Solution1,Fitness2,Solution2
1,132.0,2bbf5e160e4941682dab9ce21dd8a3465aa4de67dae67efb37e99a249c172ab7,131.0,fa3fc4a4e337bd0f45689a3a838295990d39a65acc74529c4875054d59e8c1e0
1,131.0,fa3fc4a4e337bd0f45689a3a838295990d39a65acc74529c4875054d59e8c1e0,117.0,c45e98d9196238a31bc27bdfed03b12b6b99ffad7664e40cf4f2d3f0c48e1028
1,117.0,c45e98d9196238a31bc27bdfed03b12b6b99ffad7664e40cf4f2d3f0c48e1028,111.0,f85637cb1a8d7c37ba7847ac308688b90866f7b90eea3ffbb435c4bd829e1306
1,111.0,f85637cb1a8d7c37ba7847ac308688b90866f7b90eea3ffbb435c4bd829e1306,110.0,5da9cc78923b962beed0893b8a5c672a0c83b6b8ec876dfa174c0e7111704f71
1,110.0,5da9cc78923b962beed0893b8a5c672a0c83b6b8ec876dfa174c0e7111704f71,109.0,a0cae7c5584a5a1e2cc385497885f7c46438b274bce8c0639d436b5967da2835
2,133.0,a25240623f7172c364520ba9430af9f3d857ed58e24c3def1330f8cd95ef5bca,114.0,58d23ee1862c83976c0a772c7073b04499439bb139bbfc5cb5be9a257048402a
2,114.0,58d23ee1862c83976c0a772c7073b04499439bb139bbfc5cb5be9a257048402a,111.0,d66a16e51f8dbc026488c9cb595d32b7ea452c39b6aa45aa0f027c3a693e79a7
2,111.0,d66a16e51f8dbc026488c9cb595d32b7ea452c39b6aa45aa0f027c3a693e79a7,110.0,b5aa9fb4d76b93467b6c81067fc4c96d20e66eda45c6c0eb413119408243d8e1
2,110.0,b5aa9fb4d76b93467b6c81067fc4c96d20e66eda45c6c0eb413119408243d8e1,109.0,5e8b0150580a8cd0166986cbc71f03168175d57339588ff458c375fa6ba08dc3
3,132.0,2528c048900522d585abcb6a4c0fa727b19618950c4944f647c18d9d05bd067c,116.0,8d579f10c521b5e3696cec5364e5c1dd134bab38f7151ec36f18b84682496480
3,116.0,8d579f10c521b5e3696cec5364e5c1dd134bab38f7151ec36f18b84682496480,112.0,fc4868721629f7e4347f969bd93bb9a67f0ee973f7facf6bf88328de095b46af
3,112.0,fc4868721629f7e4347f969bd93bb9a67f0ee973f7facf6bf88328de095b46af,110.0,56aba7f09ff55ed7f29ee2987df49cea0538b9c0dd60229b6d1ab6c053a7878f
3,110.0,56aba7f09ff55ed7f29ee2987df49cea0538b9c0dd60229b6d1ab6c053a7878f,109.0,42728ab2ed8e5a6ede75b6d7ad809b7f776bdac380de4a971fad896b2ebb897a
