Run,Fitness1,Solution1,Fitness2,Solution2
1,132.0,dad33255459ea4917ea352a96a5a1dfd952674875cf7fc719fb817885efed38b,111.0,3b0556cb9030f74640d3156fe6c7370412fd32e8727dc03f6f1852d8dd533c94
1,111.0,3b0556cb9030f74640d3156fe6c7370412fd32e8727dc03f6f1852d8dd533c94,117.0,750d432568f5d75acfbc9b66ce0543c83eb1c734665c7bc6ae57cc2f147c4837
1,117.0,750d432568f5d75acfbc9b66ce0543c83eb1c734665c7bc6ae57cc2f147c4837,109.0,bb679851217460d3c2ccc54af1c01b20960ed4313729625ea8d57266a2710d5e
1,109.0,bb679851217460d3c2ccc54af1c01b20960ed4313729625ea8d57266a2710d5e,110.0,b947b15c6abe4b3731eb458e3af6f7784b0e2a0afbc9529c5ad062afa676ec2b
1,110.0,b947b15c6abe4b3731eb458e3af6f7784b0e2a0afbc9529c5ad062afa676ec2b,109.0,69f89b5bbf9e1129f627943a80be22d97c2b036b45f6f30ca6acb3ce5064fc64
2,112.0,2281d865434e02c9513085b9c1d040cc26d847de0d6b09416b05869276443e94,114.0,c9edf4cbe8e6daf5ae028e6403176266319f8732a8e847a6e74838fc57cfe1d8
2,114.0,c9edf4cbe8e6daf5ae028e6403176266319f8732a8e847a6e74838fc57cfe1d8,109.0,b9a942dbda21cd3335343183b691ac0dcb7a7a91513c6035ec2fcd4dbc15f2ec
2,109.0,b9a942dbda21cd3335343183b691ac0dcb7a7a91513c6035ec2fcd4dbc15f2ec,110.0,4bfa1a09ac70d3b9342ebd344d5548ddcf1435475ec86a8b045988b8303eb0ae
2,110.0,4bfa1a09ac70d3b9342ebd344d5548ddcf1435475ec86a8b045988b8303eb0ae,109.0,237320d509717dc3f0d6bdcd5e8dc8f88f8fd94b06c728c1aaf94118ed34af38
3,129.0,310269c25d4b412c66227af076ad9fc5e92191de11456de40e62bbc6c558d4cd,116.0,332b10fcbae8f39f21601dd68ccebf1ac0f857fa1100e091a0e56035e9593279
3,116.0,332b10fcbae8f39f21601dd68ccebf1ac0f857fa1100e091a0e56035e9593279,112.0,95fac2ed1b89e9cb3bfde61a4c1d07c60d8aeb5c664f6784b1c6aa4e5d0fb5fb
3,112.0,95fac2ed1b89e9cb3bfde61a4c1d07c60d8aeb5c664f6784b1c6aa4e5d0fb5fb,110.0,b8fba9db75a14cd6d1f3c505b8a5ac13fbf47d6d51246944969732656986e9ec
3,110.0,b8fba9db75a14cd6d1f3c505b8a5ac13fbf47d6d51246944969732656986e9ec,109.0,69f89b5bbf9e1129f627943a80be22d97c2b036b45f6f30ca6acb3ce5064fc64
4,133.0,94dede033521c2744497998cd5b34651457809e90fa9ac8bab552642e0e11ed1,121.0,4643941cf9a23911ce5e4421cbed6f3287c194b7cfde20cf65d38e5e49f2a90d
4,121.0,4643941cf9a23911ce5e4421cbed6f3287c194b7cfde20cf65d38e5e49f2a90d,113.0,73c3c0ab5a84605d9274896a3afbc86eb623b064b7602cb0e97636cb8ffc2b1a
4,113.0,73c3c0ab5a84605d9274896a3afbc86eb623b064b7602cb0e97636cb8ffc2b1a,111.0,4e06b81699a6e125998b6652a6a9d1839a0fdd72df599ba0e79df6f0b5117dca
4,111.0,4e06b81699a6e125998b6652a6a9d1839a0fdd72df599ba0e79df6f0b5117dca,111.0,147c476b8b3a9c860319710d4c37d12f102282fc47b8fabacdfb8afab6b4c7ec
4,111.0,147c476b8b3a9c860319710d4c37d12f102282fc47b8fabacdfb8afab6b4c7ec,109.0,237320d509717dc3f0d6bdcd5e8dc8f88f8fd94b06c728c1aaf94118ed34af38
5,133.0,97066e386dda1244dafafc118ee21a1453b79542be970dea37499e8bef828f36,112.0,0b5ed71d1d2ad36f4210a108bbb03875f955b3e6e13560abf2fe5db0beb417b2
5,112.0,0b5ed71d1d2ad36f4210a108bbb03875f955b3e6e13560abf2fe5db0beb417b2,115.0,c46314532de2d55ffacb9d58054144cf46296356889a3484b2bf9eb4339ab673
5,115.0,c46314532de2d55ffacb9d58054144cf46296356889a3484b2bf9eb4339ab673,112.0,b69d29447ddd7cd4024b70d31566376075ec5141e22d10ddce94e8edf3fd7149
5,112.0,b69d29447ddd7cd4024b70d31566376075ec5141e22d10ddce94e8edf3fd7149,111.0,4e06b81699a6e125998b6652a6a9d1839a0fdd72df599ba0e79df6f0b5117dca
5,111.0,4e06b81699a6e125998b6652a6a9d1839a0fdd72df599ba0e79df6f0b5117dca,110.0,b947b15c6abe4b3731eb458e3af6f7784b0e2a0afbc9529c5ad062afa676ec2b
5,110.0,b947b15c6abe4b3731eb458e3af6f7784b0e2a0afbc9529c5ad062afa676ec2b,109.0,237320d509717dc3f0d6bdcd5e8dc8f88f8fd94b06c728c1aaf94118ed34af38
6,135.0,8a79d4c18da790d9dfabd83b3a59d5331c57bf40724f8de8519e65187012da64,134.0,ce8e85c9de6ad62d7443085e42b8f73dabdbac62a1a5e3eddd5c97b3b44c1e24
6,134.0,ce8e85c9de6ad62d7443085e42b8f73dabdbac62a1a5e3eddd5c97b3b44c1e24,115.0,ee79976c9380d5e337fc1c095ece8c8f22f91f306ceeb161fa51fecede2c4ba1
6,115.0,ee79976c9380d5e337fc1c095ece8c8f22f91f306ceeb161fa51fecede2c4ba1,110.0,1f95f543c15d22e19e8a9f959f603469ac31026f75400df7d5a0f12eecbe1217
6,110.0,1f95f543c15d22e19e8a9f959f603469ac31026f75400df7d5a0f12eecbe1217,110.0,c3ef09f566f31d864c253deef7b9d95ffebc1eb570a7144e9622573c509e0d23
6,110.0,c3ef09f566f31d864c253deef7b9d95ffebc1eb570a7144e9622573c509e0d23,109.0,69f89b5bbf9e1129f627943a80be22d97c2b036b45f6f30ca6acb3ce5064fc64
7,136.0,7c26d7f6d66d7a738d09831592f509d88241a9d12435d7d0cc8559b511ecd526,116.0,5e45bc514e6d375cfaca6a872077e9e8321eb17a0f92f44c64bcbb1263d9a0a0
7,116.0,5e45bc514e6d375cfaca6a872077e9e8321eb17a0f92f44c64bcbb1263d9a0a0,110.0,b8fba9db75a14cd6d1f3c505b8a5ac13fbf47d6d51246944969732656986e9ec
7,110.0,b8fba9db75a14cd6d1f3c505b8a5ac13fbf47d6d51246944969732656986e9ec,110.0,b947b15c6abe4b3731eb458e3af6f7784b0e2a0afbc9529c5ad062afa676ec2b
7,110.0,b947b15c6abe4b3731eb458e3af6f7784b0e2a0afbc9529c5ad062afa676ec2b,109.0,69f89b5bbf9e1129f627943a80be22d97c2b036b45f6f30ca6acb3ce5064fc64
8,135.0,8a79d4c18da790d9dfabd83b3a59d5331c57bf40724f8de8519e65187012da64,133.0,97066e386dda1244dafafc118ee21a1453b79542be970dea37499e8bef828f36
8,133.0,97066e386dda1244dafafc118ee21a1453b79542be970dea37499e8bef828f36,128.0,dcab1cd3c8d5128b52c28e0a02321212fa360a9060805e042b3009a7735cba6c
8,128.0,dcab1cd3c8d5128b52c28e0a02321212fa360a9060805e042b3009a7735cba6c,110.0,4bfa1a09ac70d3b9342ebd344d5548ddcf1435475ec86a8b045988b8303eb0ae
8,110.0,4bfa1a09ac70d3b9342ebd344d5548ddcf1435475ec86a8b045988b8303eb0ae,112.0,0b5ed71d1d2ad36f4210a108bbb03875f955b3e6e13560abf2fe5db0beb417b2
8,112.0,0b5ed71d1d2ad36f4210a108bbb03875f955b3e6e13560abf2fe5db0beb417b2,111.0,3b0556cb9030f74640d3156fe6c7370412fd32e8727dc03f6f1852d8dd533c94
8,111.0,3b0556cb9030f74640d3156fe6c7370412fd32e8727dc03f6f1852d8dd533c94,110.0,2ff696de83ad729a118794bb4037a593f4a168726b4df74cb2fb0b88792cb7ae
8,110.0,2ff696de83ad729a118794bb4037a593f4a168726b4df74cb2fb0b88792cb7ae,109.0,69f89b5bbf9e1129f627943a80be22d97c2b036b45f6f30ca6acb3ce5064fc64
9,117.0,f3cfa2a911c85dd55736a2624f8e37a7388315063df5041e44d468d7e7730fa6,133.0,1653b3c8288358863be53774e9bdec5434134a3e9478d13efae2418d4cbd30ff
9,133.0,1653b3c8288358863be53774e9bdec5434134a3e9478d13efae2418d4cbd30ff,112.0,25d0b03d2188c6150c99aa9206082b5d5c10aee372ffca3773ee3555beea5eec
9,112.0,25d0b03d2188c6150c99aa9206082b5d5c10aee372ffca3773ee3555beea5eec,111.0,6da21f8975f53c826ca0cd92588799a8dbda30d89a445605f0b6cc62d070b2df
9,111.0,6da21f8975f53c826ca0cd92588799a8dbda30d89a445605f0b6cc62d070b2df,110.0,a5e2a6d951e0c1b96e9e410d72de89274699ec48c78f7a4f6774e98c5f4236d0
10,128.0,03618377cb9bafbd5f45ed12b5f14c19c6a4fbebc9c0a33191f8bbcba0297093,112.0,a30936cd62a257a690a32b7ddbb1d6d857473cceda299799a43eee197b60376b
10,112.0,a30936cd62a257a690a32b7ddbb1d6d857473cceda299799a43eee197b60376b,110.0,210dd3fb6e52a66321e425a27512cf543abde64bd218d7493e3d39f84b649b91
10,110.0,210dd3fb6e52a66321e425a27512cf543abde64bd218d7493e3d39f84b649b91,109.0,69f89b5bbf9e1129f627943a80be22d97c2b036b45f6f30ca6acb3ce5064fc64
