Run,Fitness1,Solution1,Fitness2,Solution2
1,132.0,ddbd5900c750c45fcd0b11e33521718405ed7ffc05b2170ece4d34bae80b0091,131.0,0cf2cec09d1a0b4ab879f09c5563c40b617ca8f8b0e27f7a36dd6288207c5d05
1,131.0,0cf2cec09d1a0b4ab879f09c5563c40b617ca8f8b0e27f7a36dd6288207c5d05,117.0,a321b15ed63c9451a18e630935b8aea63194d8068476049056f2371e4638c017
1,117.0,a321b15ed63c9451a18e630935b8aea63194d8068476049056f2371e4638c017,111.0,9117e27a1c5f245d5fba86ad7dec26cecee65b31f9ddbeaf8cf3b226c6e2c8e3
1,111.0,9117e27a1c5f245d5fba86ad7dec26cecee65b31f9ddbeaf8cf3b226c6e2c8e3,110.0,253d7f6761e1bcfa50f8e48913725ea55fdf5efc08394f2f8d5b6d52a5c99f09
1,110.0,253d7f6761e1bcfa50f8e48913725ea55fdf5efc08394f2f8d5b6d52a5c99f09,109.0,4a1f197e9dcca9ecb12accfc4ddbb01e2a6b2fa7592dafa2deff236824796146
2,133.0,8ecd549fb8597e6aaa6a9ba787fb779f70dafd586ae99f52f6e489e47adec07e,114.0,7c4e9982eb59df52e74b8f51b2ffe065caf0e64782bdea1366b7fd57f751bd9b
2,114.0,7c4e9982eb59df52e74b8f51b2ffe065caf0e64782bdea1366b7fd57f751bd9b,111.0,f89e433d26358aa8707e2dc46ae13217f2c155d8df18ab196eb22189ff0846b3
2,111.0,f89e433d26358aa8707e2dc46ae13217f2c155d8df18ab196eb22189ff0846b3,110.0,1c1631716cc127f3c6abea4db77b39e80d4ea4a9e9d9323256345c3329bdf55c
2,110.0,1c1631716cc127f3c6abea4db77b39e80d4ea4a9e9d9323256345c3329bdf55c,109.0,da73f98f0498b0db50d5d6afb680f2e3f757568582afe9a3f96825686f3120c8
3,132.0,6efc3f224d2aa3927a28193c87b50ea2b4e6b6c1a60d84928fb04d8b8fa6c8b7,116.0,09930895b5cded5c25058f625976ec0ccbfbf47e03e0557d12bd41a6fccc34b3
3,116.0,09930895b5cded5c25058f625976ec0ccbfbf47e03e0557d12bd41a6fccc34b3,112.0,f0249eeccdfdaa9ac5076483b80233459915ea655701809fc984bb87c15cc950
3,112.0,f0249eeccdfdaa9ac5076483b80233459915ea655701809fc984bb87c15cc950,110.0,9bec8c6f6363700d0a0d2b4f57a9531edca7e9eadd5c05e81b0e8a347ee07a2d
3,110.0,9bec8c6f6363700d0a0d2b4f57a9531edca7e9eadd5c05e81b0e8a347ee07a2d,109.0,5db795e4f869da83dfa465c85200692517c857e3e2be3df62dcb62f5359451b9
4,133.0,627c5374a2ce857d1af3d646b4244c27d08bc6fde511ad4f72f04a93436e9743,132.0,b5a8b42ba1a64c32a71acb3b0d79594a1af94c9ce5e4f8fdb9d896e1405ba5b1
4,132.0,b5a8b42ba1a64c32a71acb3b0d79594a1af94c9ce5e4f8fdb9d896e1405ba5b1,113.0,67246768c5697ba747591fa2511b08a39402a7e1ea73a28a8f5395c217dbdae7
4,113.0,67246768c5697ba747591fa2511b08a39402a7e1ea73a28a8f5395c217dbdae7,112.0,0682e6e6e5f1d0eddc150a380b9a5ec655637f92b59d718aa2db0f6207cea173
4,112.0,0682e6e6e5f1d0eddc150a380b9a5ec655637f92b59d718aa2db0f6207cea173,111.0,19a16970e2a6f83fff6f3a7a3286fb3615ccb7e8bab69d832a239fe7ce39a125
4,111.0,19a16970e2a6f83fff6f3a7a3286fb3615ccb7e8bab69d832a239fe7ce39a125,110.0,4c86ddeaac6e4791ebe1b3888a3f8da592d8017edc1785857b9ba0ec368c9b05
4,110.0,4c86ddeaac6e4791ebe1b3888a3f8da592d8017edc1785857b9ba0ec368c9b05,109.0,c2e2021990a43662f3440370502206c10c6b81cb9476ec1fec9bf9bf7153f4f0
5,136.0,06cabb7789ff7ed27736c3151b485832f46f170dde051d48bf72925c6a0728a4,133.0,5133549a3cbba8aed8d43a37e98a594b3a86fd5d93cf36412d5aab470c37428d
5,133.0,5133549a3cbba8aed8d43a37e98a594b3a86fd5d93cf36412d5aab470c37428d,132.0,0ca8009a5aca84ea3d1c6dba5619d15cd2ab8bba4ed1948fd99e4daee52d66bc
5,132.0,0ca8009a5aca84ea3d1c6dba5619d15cd2ab8bba4ed1948fd99e4daee52d66bc,115.0,c1c7ed0b41b7956a62c31f7dfce1ebb811b517162f7674524db9aa60881dffb4
5,115.0,c1c7ed0b41b7956a62c31f7dfce1ebb811b517162f7674524db9aa60881dffb4,112.0,7afd7974ff8876df6b8bb070d6f441e82099686d968af7db735d394a8790b8c1
5,112.0,7afd7974ff8876df6b8bb070d6f441e82099686d968af7db735d394a8790b8c1,111.0,69fe74bd55e46c7279415b181ad42c161a6af22a25827e348ff74fffd01a7059
5,111.0,69fe74bd55e46c7279415b181ad42c161a6af22a25827e348ff74fffd01a7059,110.0,b33a9b5b0b6688a77e0e8294f0696589c11a8b4120ba9f26038ba3703de4d28d
5,110.0,b33a9b5b0b6688a77e0e8294f0696589c11a8b4120ba9f26038ba3703de4d28d,109.0,d301f95fd7fbf72bf1c40d191ad6f8fe97c8cd0873e3d956fdd5fb3710438b17
6,136.0,726b436c3cd719fbc910cd36fbe63a7a72c0e8af61d6847cf9b7428d511cce2b,134.0,c6d1f7aa8819371be146351a927bd22ce115a1991a2f3f651de09f463dc9d3fa
