Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,b589c2c6fe8174028d88e3f675843f0fdac7eef79c5f61d88c7af28eae9ff3a4,116.0,8f3fedcf25b94f5a27149e8d90ab8e277f22812616b99671756dc7813e4677e7
1,116.0,8f3fedcf25b94f5a27149e8d90ab8e277f22812616b99671756dc7813e4677e7,121.0,8ac977e8f7f84cb7c6abd6aeb1b3ee795a6f6ff9023aa1e7470247ed5a8db7bf
1,121.0,8ac977e8f7f84cb7c6abd6aeb1b3ee795a6f6ff9023aa1e7470247ed5a8db7bf,119.0,630a85e4c6b4fcefcea5fdc8f76808b1954f8289bcff5965ae12f95e0dd40a7a
1,119.0,630a85e4c6b4fcefcea5fdc8f76808b1954f8289bcff5965ae12f95e0dd40a7a,123.0,bbc87a73787c2c4e43ccf0fb5837507756c12d2de722beffa4747d94d5a06844
1,123.0,bbc87a73787c2c4e43ccf0fb5837507756c12d2de722beffa4747d94d5a06844,109.0,699df1d35dff2d3e68581f6c67e6c4533c310d1dab6b7e34358abde47b0971db
2,122.0,be60e08930108df12541567a106ccf2070b50c83e4515d913a119d53bcb6c923,116.0,882278790d244ded2b11aa1b3de565e4f6237b2f1d91446806e6db2f3de03f84
2,116.0,882278790d244ded2b11aa1b3de565e4f6237b2f1d91446806e6db2f3de03f84,110.0,052406571f610d3e950745e02d1a7f4550765dd123ed182dafffa36d1c4ace34
2,110.0,052406571f610d3e950745e02d1a7f4550765dd123ed182dafffa36d1c4ace34,115.0,bbcc81917d3b19d54fb37bebd0b915c2c01e9e5906f143918e5bb6a09797b03f
2,115.0,bbcc81917d3b19d54fb37bebd0b915c2c01e9e5906f143918e5bb6a09797b03f,109.0,24fafe3ebf31224746b188639978e04dd78fba82bff3767c0e3595ddf79401f8
2,109.0,24fafe3ebf31224746b188639978e04dd78fba82bff3767c0e3595ddf79401f8,109.0,fad4416ff8418ff205cb995dd9521b58026e18ea1700a3c9b7b79ec8806ae351
2,109.0,fad4416ff8418ff205cb995dd9521b58026e18ea1700a3c9b7b79ec8806ae351,109.0,24fafe3ebf31224746b188639978e04dd78fba82bff3767c0e3595ddf79401f8
3,115.0,b4acfc90a2f9822ecce4971b4b96a78a6edb776621ead66831de794552f182f0,121.0,8ac977e8f7f84cb7c6abd6aeb1b3ee795a6f6ff9023aa1e7470247ed5a8db7bf
3,121.0,8ac977e8f7f84cb7c6abd6aeb1b3ee795a6f6ff9023aa1e7470247ed5a8db7bf,134.0,935789cb3a3c7756802bd37079165d0bfc95fb7b7994041bd4cc81128a4d5f59
3,134.0,935789cb3a3c7756802bd37079165d0bfc95fb7b7994041bd4cc81128a4d5f59,127.0,2558a34d4d20964ca1d272ab26ccce9511d880579593cd4c9e01ab91ed00f325
3,127.0,2558a34d4d20964ca1d272ab26ccce9511d880579593cd4c9e01ab91ed00f325,111.0,ab7b20ad7f9295522f4e9256621025504e2f9040e49b176815e24b9ca4663b9e
