Run,Fitness1,Solution1,Fitness2,Solution2
1,132.0,2e0e6c6192890aea190223df87daa638fe7a929f4baf93e25f9b7c6f05235bb5,131.0,7025616a4e304830064fd5633e9fa3e63de306d95a01beb7e489ea02fbba7063
1,131.0,7025616a4e304830064fd5633e9fa3e63de306d95a01beb7e489ea02fbba7063,117.0,6522d5f9253448f5278b641715b212bfef794144f3204b7ee7ef30ca7d4decbe
1,117.0,6522d5f9253448f5278b641715b212bfef794144f3204b7ee7ef30ca7d4decbe,111.0,3b8ea6aa4c34c8d70d1b0535e925beb503fd004d6f4b3235f305711375556909
1,111.0,3b8ea6aa4c34c8d70d1b0535e925beb503fd004d6f4b3235f305711375556909,110.0,a8d0812ac38672c4651a9d991933673e1bd1968a439e8ee4230d02482db8dc27
1,110.0,a8d0812ac38672c4651a9d991933673e1bd1968a439e8ee4230d02482db8dc27,109.0,f3d51f21087f50ed3134291934af297b61688ed0d3224accbf1e7010e87e002e
2,133.0,fd9801c092c8ebb16d381791d8c622249eac432d880a2af06b0458009ed45166,114.0,c4d056f528572e291fa51cb5900a81329862f99e435e9f8748bd21f06682bf82
2,114.0,c4d056f528572e291fa51cb5900a81329862f99e435e9f8748bd21f06682bf82,111.0,ff03f1aa07393b0b7ca928d195d468e55d51895a2f7f7678e6c1bc353af83744
2,111.0,ff03f1aa07393b0b7ca928d195d468e55d51895a2f7f7678e6c1bc353af83744,110.0,eaba4507813126b6a60fe7923b364505a45aefb1a0c7c56c2f1073738b7f286d
2,110.0,eaba4507813126b6a60fe7923b364505a45aefb1a0c7c56c2f1073738b7f286d,109.0,7a329e35a35add6dd3725d498818d6879143f564f4bdf6b8ec18d0c7ca5523d5
3,132.0,6dcdf22e8ed1351edc1ce96dfdea07d58b75aec6ec9e5963380f10eeb948ee47,116.0,c097e26dc09537169258b22f76ba1a95176e4f74fff2ff16d4ff4be952574f41
3,116.0,c097e26dc09537169258b22f76ba1a95176e4f74fff2ff16d4ff4be952574f41,112.0,79a76ec9af7e124897a93e1669b62aaba1a26c40778e1a3a8b7ef612b349ebfa
3,112.0,79a76ec9af7e124897a93e1669b62aaba1a26c40778e1a3a8b7ef612b349ebfa,110.0,61aff44dca209771f7ed441e66bd08910c86e6b0c5dc825de66f7220467cd02f
3,110.0,61aff44dca209771f7ed441e66bd08910c86e6b0c5dc825de66f7220467cd02f,109.0,48556a125671bcd2e1de63e320c45ea86573ffb2ffbfb80e57823be7172d25cc
4,133.0,c0a8766a7d101e9ff8189aacf743308a73d2eb3b889db25f28e185c37ee4478b,132.0,53442810c3aa6fe30020e1b459b868240ed50ba02dd09032ec2ad606ce52acbd
4,132.0,53442810c3aa6fe30020e1b459b868240ed50ba02dd09032ec2ad606ce52acbd,113.0,bec74475afc0d028be8d41ae2cbab9a2336cd98a7793aa53834f3d01108a3303
4,113.0,bec74475afc0d028be8d41ae2cbab9a2336cd98a7793aa53834f3d01108a3303,112.0,d060786743a24e30e8ec0c1a7f5d8a3fb09ed3b61d253d75e8f7b3c51ef5d10e
4,112.0,d060786743a24e30e8ec0c1a7f5d8a3fb09ed3b61d253d75e8f7b3c51ef5d10e,111.0,569c9ced7514de24665f2c24a2057252a6ffc217aef3cb2b773f25f6f4e538eb
4,111.0,569c9ced7514de24665f2c24a2057252a6ffc217aef3cb2b773f25f6f4e538eb,110.0,d8cf721657991e94dfe1c152f62364c55064853085ea7c9de592df9867350710
4,110.0,d8cf721657991e94dfe1c152f62364c55064853085ea7c9de592df9867350710,109.0,288fc519df34155121fd8a3081dbcb2a11aaa34118d2dc16a8da35580d0d2a33
5,136.0,c5a030993b41bc5525a59551b753d6c47c829b3e47596c0dcf57634a464ddeb8,133.0,c01985ffe54ac37d4d6313fe0372dabcf99cded17af934b7b5db1a3d724980f7
5,133.0,c01985ffe54ac37d4d6313fe0372dabcf99cded17af934b7b5db1a3d724980f7,132.0,be78d8954912e96bc225db27505bf7423ae41cac807b560332f77462ed912c98
5,132.0,be78d8954912e96bc225db27505bf7423ae41cac807b560332f77462ed912c98,115.0,e202848cd85e083564c916acac7e01fc5b5f48a0f5b092168651bc8138aaf60d
5,115.0,e202848cd85e083564c916acac7e01fc5b5f48a0f5b092168651bc8138aaf60d,112.0,e9e467060ba4fb6297035bfe9a456e160580e9768eb008dcce7120797d243b63
