Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,c31a67b94819afeba8e6d9b78e2e78c9b2231340129e954192f02c8f34e72f63,195.0,0cd6ca83fec3a22d83eecc1bbfd1a6df9816351ac1c20944bfc4472e1d52a94d
1,195.0,0cd6ca83fec3a22d83eecc1bbfd1a6df9816351ac1c20944bfc4472e1d52a94d,130.0,0c2d996448ff8dbf2f5ef26d310129fca9a67a3c94fcacaf6b16bb0d544c5945
1,130.0,0c2d996448ff8dbf2f5ef26d310129fca9a67a3c94fcacaf6b16bb0d544c5945,128.0,1c879afcd13ec113077299bc376bddd3f857a868dd1268f2ada245dc1ab9e54d
1,128.0,1c879afcd13ec113077299bc376bddd3f857a868dd1268f2ada245dc1ab9e54d,126.0,5c72cb15df2bb5a9e2face7bc2242d4e52f945d03b8a44cdcb2dfcbc8fddc4d1
1,126.0,5c72cb15df2bb5a9e2face7bc2242d4e52f945d03b8a44cdcb2dfcbc8fddc4d1,110.0,7eea77cbf9dc26432a66bc12f0711c5c2f4a78bb693e2ba71175fb2eac2717a8
1,110.0,7eea77cbf9dc26432a66bc12f0711c5c2f4a78bb693e2ba71175fb2eac2717a8,109.0,f7a5735606be63aa667b945d4c928785abc05ec0c9e5c35a2006cdd3ea4ecfee
2,205.0,c760275115a7606273630da5c1fcbcfc00c5addc8f98d3e1e47035efa8eb4101,135.0,1206cf9327928d056159e11799d1c54e4532a9810ab54f502c02a4a99f83edce
2,135.0,1206cf9327928d056159e11799d1c54e4532a9810ab54f502c02a4a99f83edce,129.0,76fe80c12ec3efc3356d1287ae22f156b6ab854effc7d8d0690096f394281d5e
2,129.0,76fe80c12ec3efc3356d1287ae22f156b6ab854effc7d8d0690096f394281d5e,128.0,477e2171ef687994ec9fa43f045c64a943d02b90156555c867e41b44a77a6eb9
2,128.0,477e2171ef687994ec9fa43f045c64a943d02b90156555c867e41b44a77a6eb9,111.0,975f44c5bb3bb95adfa0718f2218b7c049e25eedef43f8b292c2add3a153522e
2,111.0,975f44c5bb3bb95adfa0718f2218b7c049e25eedef43f8b292c2add3a153522e,110.0,90c1b37df4b4b051244909f8ecccf7e7dc923a3e4c29dea0ecbad84a28a5132a
2,110.0,90c1b37df4b4b051244909f8ecccf7e7dc923a3e4c29dea0ecbad84a28a5132a,109.0,2ec19375feade68400460bf96d661287a8c27efc405512fbccdef241f2d7f9e0
3,195.0,9971babc7829df3c76c5b8eabf0b1730bd0007f967e65b07754b855ac2978929,136.0,a94bffea16dcf7825f12d207cb3f6a29dbd829b13a100cace9e73f08cf3d08cf
3,136.0,a94bffea16dcf7825f12d207cb3f6a29dbd829b13a100cace9e73f08cf3d08cf,134.0,31265b25320e163201db5d7a0b7bfef9de6899410474693db6e42aa0b7bbf6ca
