Run,Fitness1,Solution1,Fitness2,Solution2
1,132.0,e09fb0b84c9fee2494aaa4e77d9086e6b3a278323016a3a9f9446c65805be77d,131.0,28a7dd613cfc77066c1de707e25ff4184205693999caf12d68af0b9beff78094
1,131.0,28a7dd613cfc77066c1de707e25ff4184205693999caf12d68af0b9beff78094,117.0,327f2663e5598b7c687ac55888f5cbf8895196c2c9d1d24218ebace18e14354e
1,117.0,327f2663e5598b7c687ac55888f5cbf8895196c2c9d1d24218ebace18e14354e,111.0,78f18dbccc6d27834a2361c3ae1b4b0ccc4ff9df50c522369a7b6b1c8c2c04a9
1,111.0,78f18dbccc6d27834a2361c3ae1b4b0ccc4ff9df50c522369a7b6b1c8c2c04a9,110.0,33489030434b213f7bb056f2a04e0d8a16d62cc2ac3712535e7c4172d6f7cc90
1,110.0,33489030434b213f7bb056f2a04e0d8a16d62cc2ac3712535e7c4172d6f7cc90,109.0,265727c49093016cea26f6fd4808fb0fe798cea91e981dc13bdfdb3369d37152
2,133.0,a0c1a6474de4cde7f3f9ad97d1d7e02e5df3de47968b0406c8c82435038b68d9,114.0,a11209f062a55e9a1dbc6416cb30694674b9365c657d5aaac1599e8ee2a54ccc
2,114.0,a11209f062a55e9a1dbc6416cb30694674b9365c657d5aaac1599e8ee2a54ccc,111.0,2f9a7fbdfb972844a8ae10f9e3f00ba6af8481541558fe8c68152568a017cdb4
2,111.0,2f9a7fbdfb972844a8ae10f9e3f00ba6af8481541558fe8c68152568a017cdb4,110.0,15acc250357382e3d27123fae71d417cd74708a3d39d833bbd65e25f8920cb89
2,110.0,15acc250357382e3d27123fae71d417cd74708a3d39d833bbd65e25f8920cb89,109.0,902dd38c53d253ce666167a241d2e6a482a0e337fac4c4d9995c8d1432b69f11
3,132.0,99cdf0045c318a8b52c6dda87fc8c42dd1fabfb751cd927a92477af88f862835,116.0,b3c121b9b8a1262fca8f3453777e7ab777f5d05a1a6b2ac12309291297dd7c66
3,116.0,b3c121b9b8a1262fca8f3453777e7ab777f5d05a1a6b2ac12309291297dd7c66,112.0,5214b1be0c5cae8abfc2d3742bcc5c1b194810378dcdbcde6ad388e657efdece
3,112.0,5214b1be0c5cae8abfc2d3742bcc5c1b194810378dcdbcde6ad388e657efdece,110.0,8df377f41a10c1e5ff3a2fbd4c88d558fc7edc893d050d98e8fe9c955fbdda47
3,110.0,8df377f41a10c1e5ff3a2fbd4c88d558fc7edc893d050d98e8fe9c955fbdda47,109.0,265727c49093016cea26f6fd4808fb0fe798cea91e981dc13bdfdb3369d37152
4,133.0,516881c9e97b8e0d4176a702957c9002778911a9695bdca32657aeff55d3d142,132.0,7b1590012df6a441606983ea3efa9c6380a6e21909535b6e7c75918c649536a8
4,132.0,7b1590012df6a441606983ea3efa9c6380a6e21909535b6e7c75918c649536a8,113.0,15bacd215293b4bc1bec9de74f69eb9d0c1abff65760004bf7722e5c7a533a8b
4,113.0,15bacd215293b4bc1bec9de74f69eb9d0c1abff65760004bf7722e5c7a533a8b,111.0,9623b9e444b383454cdc0ead0f8a5cf403649fe1cb3b6abddec0f0ae8c746760
4,111.0,9623b9e444b383454cdc0ead0f8a5cf403649fe1cb3b6abddec0f0ae8c746760,111.0,d82e66ce26ddceca6a94ea04642141d87cadd639a1bcbae4b654a0aeda8f201d
4,111.0,d82e66ce26ddceca6a94ea04642141d87cadd639a1bcbae4b654a0aeda8f201d,109.0,cabf9042193e7c656cf6ce84bc18c7a909e1b611a18057fdf8bc81fdb23d1e3c
4,109.0,cabf9042193e7c656cf6ce84bc18c7a909e1b611a18057fdf8bc81fdb23d1e3c,109.0,cabf9042193e7c656cf6ce84bc18c7a909e1b611a18057fdf8bc81fdb23d1e3c
5,136.0,4a6078523c613b535de85daf3557e031aa388a5cf70fdae0299bc3b0621f03ca,133.0,4df5e35b0cf704d94adfc3cf7fc277ae5cc3bf63b3e83d605899983ee950f398
