Run,Fitness1,Solution1,Fitness2,Solution2
1,200.0,f3e6e9870ec576873a0c06bb652ba1bb51af5aa89290babdaa10839f8fd6f8d5,195.0,5d31006f1984e113e08a987cbaa73010b4bef23ad629ef4df2f6372e7b26c03d
1,195.0,5d31006f1984e113e08a987cbaa73010b4bef23ad629ef4df2f6372e7b26c03d,126.0,4f3a102f00bc7ed3256f3abdea6580a958eea29b2a51ce684f4ad4eddab87e12
1,126.0,4f3a102f00bc7ed3256f3abdea6580a958eea29b2a51ce684f4ad4eddab87e12,118.0,834c6a5a2bfa9c89f57764263bce8e9da7c4f94d22432c2d71d5fde2b26f7321
1,118.0,834c6a5a2bfa9c89f57764263bce8e9da7c4f94d22432c2d71d5fde2b26f7321,126.0,89c1531ee0bd93aefb7d6cbe04d6e8af01e7ea4474f8c3b31f2f3d95223ae243
1,126.0,89c1531ee0bd93aefb7d6cbe04d6e8af01e7ea4474f8c3b31f2f3d95223ae243,109.0,69f89b5bbf9e1129f627943a80be22d97c2b036b45f6f30ca6acb3ce5064fc64
2,205.0,cbe6833b876463cff20768353d0cd1e30e00b33cc2b726519c52e4f2177d3383,129.0,310269c25d4b412c66227af076ad9fc5e92191de11456de40e62bbc6c558d4cd
2,129.0,310269c25d4b412c66227af076ad9fc5e92191de11456de40e62bbc6c558d4cd,126.0,89c1531ee0bd93aefb7d6cbe04d6e8af01e7ea4474f8c3b31f2f3d95223ae243
2,126.0,89c1531ee0bd93aefb7d6cbe04d6e8af01e7ea4474f8c3b31f2f3d95223ae243,128.0,dcab1cd3c8d5128b52c28e0a02321212fa360a9060805e042b3009a7735cba6c
2,128.0,dcab1cd3c8d5128b52c28e0a02321212fa360a9060805e042b3009a7735cba6c,109.0,b9a942dbda21cd3335343183b691ac0dcb7a7a91513c6035ec2fcd4dbc15f2ec
2,109.0,b9a942dbda21cd3335343183b691ac0dcb7a7a91513c6035ec2fcd4dbc15f2ec,110.0,fa15e858186cf5bde28aa44bc093f3d232da10032a14eaa953ee6f1e4dc2d61e
2,110.0,fa15e858186cf5bde28aa44bc093f3d232da10032a14eaa953ee6f1e4dc2d61e,109.0,237320d509717dc3f0d6bdcd5e8dc8f88f8fd94b06c728c1aaf94118ed34af38
3,195.0,b2a7293dfa300ef2e529d7510a2d6648e14660066587f326aeb9475a1c9285a7,136.0,135a184905e9155e725faa6619e47a57165ca92fb5e6a5d7006aab4dd67f7143
3,136.0,135a184905e9155e725faa6619e47a57165ca92fb5e6a5d7006aab4dd67f7143,132.0,def53b8e8e7d2136ac5ed3dc03319f2af7ab67cd196d4f9c01e148a0eb37f407
3,132.0,def53b8e8e7d2136ac5ed3dc03319f2af7ab67cd196d4f9c01e148a0eb37f407,127.0,a90d5bdcc7f77e67b37a7e473f080760d065ca11e6bf91a2528df025e74f19ef
3,127.0,a90d5bdcc7f77e67b37a7e473f080760d065ca11e6bf91a2528df025e74f19ef,110.0,f9f2bf5f4d65b84d80b1c442e407d77af5390164b8035fe75a74286ce96979eb
3,110.0,f9f2bf5f4d65b84d80b1c442e407d77af5390164b8035fe75a74286ce96979eb,110.0,1f95f543c15d22e19e8a9f959f603469ac31026f75400df7d5a0f12eecbe1217
3,110.0,1f95f543c15d22e19e8a9f959f603469ac31026f75400df7d5a0f12eecbe1217,109.0,69f89b5bbf9e1129f627943a80be22d97c2b036b45f6f30ca6acb3ce5064fc64
4,191.0,e340c1744b3570aa58c6112d647481bfe501ba4c5cfae53a8d9096bc34fa0073,130.0,0d84744e8ceefaedf5b26e32402b76fd350948ee7cdfc3e3dedd19eb11beee8a
4,130.0,0d84744e8ceefaedf5b26e32402b76fd350948ee7cdfc3e3dedd19eb11beee8a,131.0,b8d476ea0bdc404f227ae56b010ffe749932ead8e8e1679a91c8426c1d2f06f2
4,131.0,b8d476ea0bdc404f227ae56b010ffe749932ead8e8e1679a91c8426c1d2f06f2,129.0,310269c25d4b412c66227af076ad9fc5e92191de11456de40e62bbc6c558d4cd
4,129.0,310269c25d4b412c66227af076ad9fc5e92191de11456de40e62bbc6c558d4cd,127.0,6e13cedc248a04dca5a9ec274d49f6cf4d982118992931b9b62f08d1bfd89a9b
4,127.0,6e13cedc248a04dca5a9ec274d49f6cf4d982118992931b9b62f08d1bfd89a9b,109.0,69f89b5bbf9e1129f627943a80be22d97c2b036b45f6f30ca6acb3ce5064fc64
4,109.0,69f89b5bbf9e1129f627943a80be22d97c2b036b45f6f30ca6acb3ce5064fc64,109.0,237320d509717dc3f0d6bdcd5e8dc8f88f8fd94b06c728c1aaf94118ed34af38
4,109.0,237320d509717dc3f0d6bdcd5e8dc8f88f8fd94b06c728c1aaf94118ed34af38,109.0,69f89b5bbf9e1129f627943a80be22d97c2b036b45f6f30ca6acb3ce5064fc64
5,128.0,03618377cb9bafbd5f45ed12b5f14c19c6a4fbebc9c0a33191f8bbcba0297093,134.0,a72f8099d6f2dc9e054e713ea21335a4f27860fcd34cc0a39e6ff03c4512f2a9
5,134.0,a72f8099d6f2dc9e054e713ea21335a4f27860fcd34cc0a39e6ff03c4512f2a9,113.0,73c3c0ab5a84605d9274896a3afbc86eb623b064b7602cb0e97636cb8ffc2b1a
5,113.0,73c3c0ab5a84605d9274896a3afbc86eb623b064b7602cb0e97636cb8ffc2b1a,131.0,f615873a351b17717c649516e39a0b2e7b7f413dd203befb1fa0801764844a9b
5,131.0,f615873a351b17717c649516e39a0b2e7b7f413dd203befb1fa0801764844a9b,129.0,9aca59a52eb60c95aa155b1b780dd6cb50a53dec677b3906fed583e65a0dd871
5,129.0,9aca59a52eb60c95aa155b1b780dd6cb50a53dec677b3906fed583e65a0dd871,128.0,1fe598600bbabeb0b1c3f23a16256adc02004bea5d5fb9795fd425d8d8498872
5,128.0,1fe598600bbabeb0b1c3f23a16256adc02004bea5d5fb9795fd425d8d8498872,110.0,c30104d759ee6339fbe03785673606488672881f93c713caf0541756fc26bf68
5,110.0,c30104d759ee6339fbe03785673606488672881f93c713caf0541756fc26bf68,109.0,bb679851217460d3c2ccc54af1c01b20960ed4313729625ea8d57266a2710d5e
6,193.0,514c9308ea8fe9fe0fd8a42e9527511d245a947c967e80edd21e3fde565795ef,131.0,92a166dcf0f468b2124fb0b905a44e0159f4b9265cb5192df2c8d2c78c47fe3e
6,131.0,92a166dcf0f468b2124fb0b905a44e0159f4b9265cb5192df2c8d2c78c47fe3e,130.0,283b1de8ec3f205647038a53258e1fe8de5c1a67041e5fd7092785cd85977f7a
6,130.0,283b1de8ec3f205647038a53258e1fe8de5c1a67041e5fd7092785cd85977f7a,129.0,c4a7db19b72fcf706f8282a5ab0419bcec16ed555bb392eeb4471703f3c496a4
6,129.0,c4a7db19b72fcf706f8282a5ab0419bcec16ed555bb392eeb4471703f3c496a4,127.0,bb3158fa61f413093dfcebb259e33d8eed16ff1dd92f03f8a7d98027fc0631a4
6,127.0,bb3158fa61f413093dfcebb259e33d8eed16ff1dd92f03f8a7d98027fc0631a4,126.0,46b24deb0d71ecc0917b715665c10f345b1d7d4f93d311ce324c8a09bc3dc591
6,126.0,46b24deb0d71ecc0917b715665c10f345b1d7d4f93d311ce324c8a09bc3dc591,109.0,237320d509717dc3f0d6bdcd5e8dc8f88f8fd94b06c728c1aaf94118ed34af38
6,109.0,237320d509717dc3f0d6bdcd5e8dc8f88f8fd94b06c728c1aaf94118ed34af38,110.0,46ab08acc8e4a96f43b5f92d10fa15c36d010cc8809358cae330a4aa205cf3cf
6,110.0,46ab08acc8e4a96f43b5f92d10fa15c36d010cc8809358cae330a4aa205cf3cf,109.0,bb679851217460d3c2ccc54af1c01b20960ed4313729625ea8d57266a2710d5e
7,200.0,4a77ea65e0efeca998e529292d825464e796da434f58f99eb1237b9cfad87f5b,139.0,da22fb773abdda180f7703c40f00ec630490cfbe0b9dd173a734e1330e272265
7,139.0,da22fb773abdda180f7703c40f00ec630490cfbe0b9dd173a734e1330e272265,135.0,07fbd4dae28e11e49ec4c5f7e34e341b7135d17a6ad7c74f4bb624bb5e18be66
7,135.0,07fbd4dae28e11e49ec4c5f7e34e341b7135d17a6ad7c74f4bb624bb5e18be66,129.0,4bf521bed206918eb6ddb366249020058e68398cd5cd891bbbdbb8b1bfc8ad87
7,129.0,4bf521bed206918eb6ddb366249020058e68398cd5cd891bbbdbb8b1bfc8ad87,130.0,0d84744e8ceefaedf5b26e32402b76fd350948ee7cdfc3e3dedd19eb11beee8a
7,130.0,0d84744e8ceefaedf5b26e32402b76fd350948ee7cdfc3e3dedd19eb11beee8a,129.0,4bf521bed206918eb6ddb366249020058e68398cd5cd891bbbdbb8b1bfc8ad87
7,129.0,4bf521bed206918eb6ddb366249020058e68398cd5cd891bbbdbb8b1bfc8ad87,128.0,d1a5981d7710b81a78fc2886bff80a6ff7720afcfd8d532b63ed81e42c55ea64
7,128.0,d1a5981d7710b81a78fc2886bff80a6ff7720afcfd8d532b63ed81e42c55ea64,110.0,fa15e858186cf5bde28aa44bc093f3d232da10032a14eaa953ee6f1e4dc2d61e
