Run,Fitness1,Solution1,Fitness2,Solution2
1,110.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47,132.0,e961ba8ecc78e96392273dd9021ae3908f7148716455a4d5fa83739bb1476154
1,132.0,e961ba8ecc78e96392273dd9021ae3908f7148716455a4d5fa83739bb1476154,117.0,13068ca63ad0eddea5ba6641cc284b2da0b670b7a8db6f139961c7e065bd9096
1,117.0,13068ca63ad0eddea5ba6641cc284b2da0b670b7a8db6f139961c7e065bd9096,114.0,c1d17b87a5a3905071d821268e78cd9f8b4741d3162de825054ef9d0543b5116
1,114.0,c1d17b87a5a3905071d821268e78cd9f8b4741d3162de825054ef9d0543b5116,123.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708
1,123.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708,109.0,4a01ae2c6a1801146dcb069e710f702f1292edfca9a9c302e7fe18d2eed0cea0
1,109.0,4a01ae2c6a1801146dcb069e710f702f1292edfca9a9c302e7fe18d2eed0cea0,109.0,4a01ae2c6a1801146dcb069e710f702f1292edfca9a9c302e7fe18d2eed0cea0
2,205.0,db757b73dcd501203e0148fb2ac8cb90c76be44c207d981bcc2dcf9c3c78d5d0,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42
2,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42,123.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708
2,123.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708,114.0,999f7ef3274e9c8eab482bdbf0f196e80520b6aeda886924a868c845f5199b5b
2,114.0,999f7ef3274e9c8eab482bdbf0f196e80520b6aeda886924a868c845f5199b5b,109.0,83dc8ab9acc8e45c2d2dec3e34a08e2c1e84c91cef7262fb086f0192040fa4cf
2,109.0,83dc8ab9acc8e45c2d2dec3e34a08e2c1e84c91cef7262fb086f0192040fa4cf,109.0,4a01ae2c6a1801146dcb069e710f702f1292edfca9a9c302e7fe18d2eed0cea0
2,109.0,4a01ae2c6a1801146dcb069e710f702f1292edfca9a9c302e7fe18d2eed0cea0,109.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068
3,109.0,8597f1e3043654da36e26467d59c6c6bbc9c44d498cc15ab2f91fc84440bbc35,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42
3,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42,123.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708
3,123.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708,116.0,4c9bf88bc02a3ea8c292f151e5d7895abc5f963363613f5d52764350df2cb869
3,116.0,4c9bf88bc02a3ea8c292f151e5d7895abc5f963363613f5d52764350df2cb869,109.0,83dc8ab9acc8e45c2d2dec3e34a08e2c1e84c91cef7262fb086f0192040fa4cf
3,109.0,83dc8ab9acc8e45c2d2dec3e34a08e2c1e84c91cef7262fb086f0192040fa4cf,109.0,25f0d9bd686d3b5c80d5ab7119f9a9dcedccb13195042e3b632278029a0343f6
3,109.0,25f0d9bd686d3b5c80d5ab7119f9a9dcedccb13195042e3b632278029a0343f6,109.0,4a01ae2c6a1801146dcb069e710f702f1292edfca9a9c302e7fe18d2eed0cea0
4,191.0,81c7883d08afb46d4bc0d118dd96d30124701ef1c6e0e90e70a6b37f9383f951,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42
4,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42,126.0,ddf3ff7c110ced585a4061e3a3c66f7051fe6847fd4b561f03bbad2b072a9cf0
4,126.0,ddf3ff7c110ced585a4061e3a3c66f7051fe6847fd4b561f03bbad2b072a9cf0,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42
4,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42,117.0,82243db0f119039859f6dd169e3009b23971cfa5634eec63b6f5a3246313d7f0
4,117.0,82243db0f119039859f6dd169e3009b23971cfa5634eec63b6f5a3246313d7f0,109.0,4a01ae2c6a1801146dcb069e710f702f1292edfca9a9c302e7fe18d2eed0cea0
4,109.0,4a01ae2c6a1801146dcb069e710f702f1292edfca9a9c302e7fe18d2eed0cea0,109.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068
4,109.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068,109.0,4a01ae2c6a1801146dcb069e710f702f1292edfca9a9c302e7fe18d2eed0cea0
5,123.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708,126.0,ddf3ff7c110ced585a4061e3a3c66f7051fe6847fd4b561f03bbad2b072a9cf0
5,126.0,ddf3ff7c110ced585a4061e3a3c66f7051fe6847fd4b561f03bbad2b072a9cf0,113.0,8566ee8cc961a20f2f00208063764cfc75082eff5b90f989b36e4da08f935e2a
5,113.0,8566ee8cc961a20f2f00208063764cfc75082eff5b90f989b36e4da08f935e2a,117.0,13068ca63ad0eddea5ba6641cc284b2da0b670b7a8db6f139961c7e065bd9096
5,117.0,13068ca63ad0eddea5ba6641cc284b2da0b670b7a8db6f139961c7e065bd9096,116.0,4c9bf88bc02a3ea8c292f151e5d7895abc5f963363613f5d52764350df2cb869
5,116.0,4c9bf88bc02a3ea8c292f151e5d7895abc5f963363613f5d52764350df2cb869,121.0,48a26f566b1a8decc716b50b26d67708882b46e1ab6d5771606a271d276b4e0e
5,121.0,48a26f566b1a8decc716b50b26d67708882b46e1ab6d5771606a271d276b4e0e,109.0,8597f1e3043654da36e26467d59c6c6bbc9c44d498cc15ab2f91fc84440bbc35
5,109.0,8597f1e3043654da36e26467d59c6c6bbc9c44d498cc15ab2f91fc84440bbc35,109.0,25f0d9bd686d3b5c80d5ab7119f9a9dcedccb13195042e3b632278029a0343f6
6,193.0,39e5b4830d4d9c14db7368a95b65d5463ea3d09520373723430c03a5a453b5df,123.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708
6,123.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708,113.0,8566ee8cc961a20f2f00208063764cfc75082eff5b90f989b36e4da08f935e2a
6,113.0,8566ee8cc961a20f2f00208063764cfc75082eff5b90f989b36e4da08f935e2a,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42
6,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42
6,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42,115.0,b76ceb1259540da2d4d97657e25450dfb9fd522995b0e340100c420931aa61a4
6,115.0,b76ceb1259540da2d4d97657e25450dfb9fd522995b0e340100c420931aa61a4,109.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068
6,109.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068,110.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47
6,110.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47,109.0,25f0d9bd686d3b5c80d5ab7119f9a9dcedccb13195042e3b632278029a0343f6
7,132.0,e961ba8ecc78e96392273dd9021ae3908f7148716455a4d5fa83739bb1476154,117.0,82243db0f119039859f6dd169e3009b23971cfa5634eec63b6f5a3246313d7f0
7,117.0,82243db0f119039859f6dd169e3009b23971cfa5634eec63b6f5a3246313d7f0,114.0,999f7ef3274e9c8eab482bdbf0f196e80520b6aeda886924a868c845f5199b5b
7,114.0,999f7ef3274e9c8eab482bdbf0f196e80520b6aeda886924a868c845f5199b5b,111.0,d17f25ecfbcc7857f7bebea469308be0b2580943e96d13a3ad98a13675c4bfc2
7,111.0,d17f25ecfbcc7857f7bebea469308be0b2580943e96d13a3ad98a13675c4bfc2,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42
7,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42,111.0,d17f25ecfbcc7857f7bebea469308be0b2580943e96d13a3ad98a13675c4bfc2
7,111.0,d17f25ecfbcc7857f7bebea469308be0b2580943e96d13a3ad98a13675c4bfc2,121.0,48a26f566b1a8decc716b50b26d67708882b46e1ab6d5771606a271d276b4e0e
7,121.0,48a26f566b1a8decc716b50b26d67708882b46e1ab6d5771606a271d276b4e0e,109.0,4a01ae2c6a1801146dcb069e710f702f1292edfca9a9c302e7fe18d2eed0cea0
7,109.0,4a01ae2c6a1801146dcb069e710f702f1292edfca9a9c302e7fe18d2eed0cea0,109.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068
7,109.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068,109.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068
8,132.0,e961ba8ecc78e96392273dd9021ae3908f7148716455a4d5fa83739bb1476154,193.0,39e5b4830d4d9c14db7368a95b65d5463ea3d09520373723430c03a5a453b5df
8,193.0,39e5b4830d4d9c14db7368a95b65d5463ea3d09520373723430c03a5a453b5df,109.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068
8,109.0,1ac6d62156549c474e950ab50f862197cfcb362f12541897f1a2fbe4ec310068,115.0,b76ceb1259540da2d4d97657e25450dfb9fd522995b0e340100c420931aa61a4
8,115.0,b76ceb1259540da2d4d97657e25450dfb9fd522995b0e340100c420931aa61a4,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42
8,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42
8,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42,115.0,b76ceb1259540da2d4d97657e25450dfb9fd522995b0e340100c420931aa61a4
8,115.0,b76ceb1259540da2d4d97657e25450dfb9fd522995b0e340100c420931aa61a4,109.0,25f0d9bd686d3b5c80d5ab7119f9a9dcedccb13195042e3b632278029a0343f6
8,109.0,25f0d9bd686d3b5c80d5ab7119f9a9dcedccb13195042e3b632278029a0343f6,109.0,8597f1e3043654da36e26467d59c6c6bbc9c44d498cc15ab2f91fc84440bbc35
9,127.0,17214e2d30ebb0eafe4b8866d63e3431e7258a23bbbc214cd92ddc72e114ba42,113.0,8566ee8cc961a20f2f00208063764cfc75082eff5b90f989b36e4da08f935e2a
9,113.0,8566ee8cc961a20f2f00208063764cfc75082eff5b90f989b36e4da08f935e2a,123.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708
9,123.0,82650b18218e40db1853bf9deec91b7bafabe333a21dca4873ff70ec99645708,116.0,4c9bf88bc02a3ea8c292f151e5d7895abc5f963363613f5d52764350df2cb869
9,116.0,4c9bf88bc02a3ea8c292f151e5d7895abc5f963363613f5d52764350df2cb869,110.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47
9,110.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47,110.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47
9,110.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47,109.0,25f0d9bd686d3b5c80d5ab7119f9a9dcedccb13195042e3b632278029a0343f6
10,113.0,8566ee8cc961a20f2f00208063764cfc75082eff5b90f989b36e4da08f935e2a,109.0,4a01ae2c6a1801146dcb069e710f702f1292edfca9a9c302e7fe18d2eed0cea0
10,109.0,4a01ae2c6a1801146dcb069e710f702f1292edfca9a9c302e7fe18d2eed0cea0,116.0,4c9bf88bc02a3ea8c292f151e5d7895abc5f963363613f5d52764350df2cb869
10,116.0,4c9bf88bc02a3ea8c292f151e5d7895abc5f963363613f5d52764350df2cb869,111.0,d17f25ecfbcc7857f7bebea469308be0b2580943e96d13a3ad98a13675c4bfc2
10,111.0,d17f25ecfbcc7857f7bebea469308be0b2580943e96d13a3ad98a13675c4bfc2,111.0,24dc9bebea86dd4149d86b7ab672714b2c60b6e76e3f8809133c7f29b5c2d180
10,111.0,24dc9bebea86dd4149d86b7ab672714b2c60b6e76e3f8809133c7f29b5c2d180,110.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47
10,110.0,af2aef7071ca92fd7c9b80f9eb2263ffacf7d6dae5d0612e1ba4bbc04e04fc47,109.0,83dc8ab9acc8e45c2d2dec3e34a08e2c1e84c91cef7262fb086f0192040fa4cf
10,109.0,83dc8ab9acc8e45c2d2dec3e34a08e2c1e84c91cef7262fb086f0192040fa4cf,109.0,83dc8ab9acc8e45c2d2dec3e34a08e2c1e84c91cef7262fb086f0192040fa4cf
